geo,time,fr_inr_rinr
abw,1987,6.46646
abw,1988,6.93494
abw,1989,6.25884
abw,1990,4.52131
abw,1991,4.79384
abw,1992,6.55868
abw,1993,5.03671
abw,1994,4.04207
abw,1995,6.99363
abw,1996,6.86945
abw,1997,6.31057
abw,1998,4.19682
abw,1999,10.70626
abw,2000,10.90409
abw,2001,6.59946
abw,2002,6.47918
abw,2003,8.42512
abw,2004,7.27118
abw,2005,7.41991
abw,2006,6.36717
abw,2007,4.20028
abw,2008,5.1651
abw,2009,8.82059
abw,2010,11.05188
abw,2011,5.71511
abw,2012,7.55133
abw,2013,5.04742
abw,2014,5.19249
abw,2015,6.53134
abw,2016,8.3865
abw,2017,4.61152
afg,2006,10.0469
afg,2007,-3.58511
afg,2008,12.55796
afg,2009,17.54293
afg,2010,11.36409
afg,2011,-1.24151
afg,2012,7.17439
afg,2013,9.7845
afg,2014,14.35169
afg,2015,12.25255
afg,2016,17.58394
afg,2017,12.14118
ago,1995,-84.095
ago,1996,-93.51346
ago,1997,-29.52271
ago,1998,4.04756
ago,1999,-72.5785
ago,2000,-60.78133
ago,2001,-5.03293
ago,2002,-33.5534
ago,2003,1.12834
ago,2004,36.64113
ago,2005,17.7998
ago,2006,2.04299
ago,2007,12.83733
ago,2008,-5.727
ago,2009,38.97595
ago,2010,-7.34887
ago,2011,-9.87642
ago,2012,8.76479
ago,2013,12.61073
ago,2014,12.3806
ago,2015,21.14418
ago,2016,-4.92201
ago,2017,-5.5527
ago,2018,-6.49974
ago,2019,-6.86647
ago,2020,9.38945
alb,1986,3.50195
alb,1987,1.00031
alb,1988,1.00058
alb,1989,0.99628
alb,1990,1.43757
alb,1991,-25.46909
alb,1992,-63.78712
alb,1993,-42.57351
alb,1994,-8.96318
alb,1995,8.80175
alb,1996,-10.28697
alb,1997,19.29949
alb,1999,19.11029
alb,2000,15.57541
alb,2001,15.26171
alb,2002,11.24648
alb,2003,8.62387
alb,2004,8.34605
alb,2005,9.45551
alb,2006,10.20876
alb,2007,9.30474
alb,2008,8.55052
alb,2009,10.00075
alb,2010,7.97104
alb,2011,9.88846
alb,2012,9.73611
alb,2013,9.5104
alb,2014,6.32456
alb,2015,7.27249
alb,2016,7.41372
alb,2017,4.70073
alb,2018,4.39471
alb,2019,4.99385
alb,2020,6.59802
arg,2010,-8.56603
arg,2011,-7.77341
arg,2012,-6.7482
arg,2013,-5.48584
arg,2014,-11.6007
arg,2015,-1.31471
arg,2016,-7.00604
arg,2017,0.45589
arg,2018,4.56441
arg,2019,10.82196
arg,2020,-7.50849
arm,1995,-24.91306
arm,1996,39.10517
arm,1997,30.99435
arm,1998,34.13461
arm,1999,38.77367
arm,2000,33.39846
arm,2001,21.78215
arm,2002,18.34707
arm,2003,15.51699
arm,2004,11.62482
arm,2005,14.31615
arm,2006,11.38149
arm,2007,12.69474
arm,2008,10.43491
arm,2009,15.87088
arm,2010,10.60764
arm,2011,12.91976
arm,2012,11.28119
arm,2013,12.21684
arm,2014,13.78125
arm,2015,16.18001
arm,2016,17.04236
arm,2017,11.99734
arm,2018,9.73398
arm,2019,10.95958
arm,2020,9.40704
atg,1982,-0.31697
atg,1983,6.13042
