global,time,se_prm_gint_fe_zs
world,1970,95.65449
world,1971,96.15172
world,1972,96.81683
world,1973,97.44983
world,1974,97.85006
world,1975,99.23354
world,1976,99.78678
world,1977,100.7678
world,1978,100.0349
world,1979,101.7491
world,1980,101.4228
world,1981,101.5448
world,1982,101.2418
world,1983,102.6539
world,1984,103.0831
world,1985,103.2213
world,1986,102.8702
world,1987,101.8607
world,1988,101.2998
world,1989,100.0395
world,1990,101.0841
world,1991,98.57558
world,1992,98.42234
world,1993,99.00405
world,1994,98.93851
world,1995,99.20842
world,1996,99.28982
world,1997,100.2005
world,1998,100.4147
world,1999,100.2567
world,2000,101.8774
world,2001,103.2625
world,2002,105.0977
world,2003,109.3934
world,2004,108.485
world,2005,108.7114
world,2006,108.1798
world,2007,109.1508
world,2008,109.5977
world,2009,106.7632
world,2010,107.3538
world,2011,106.7666
world,2012,105.987
world,2013,105.4848
world,2014,104.5231
world,2015,104.2481
world,2016,104.9381
world,2017,103.3512
world,2018,103.5473
