global,time,sl_tlf_totl_fe_zs
world,1990,39.23258
world,1991,39.27207
world,1992,39.32263
world,1993,39.31557
world,1994,39.42323
world,1995,39.44796
world,1996,39.48133
world,1997,39.51858
world,1998,39.56127
world,1999,39.62553
world,2000,39.65754
world,2001,39.64969
world,2002,39.64359
world,2003,39.66827
world,2004,39.65908
world,2005,39.69917
world,2006,39.61456
world,2007,39.57312
world,2008,39.45779
world,2009,39.41326
world,2010,39.29065
world,2011,39.21224
world,2012,39.14352
world,2013,39.1465
world,2014,39.17968
world,2015,39.23001
world,2016,39.27552
world,2017,39.33257
world,2018,39.35329
world,2019,39.45973
world,2020,39.16903
world,2021,39.22713
