geo,time,se_prm_prs5_zs
abw,1999,96.70978
abw,2000,95.90518
abw,2001,95.33232
abw,2002,94.84613
abw,2003,94.92009
abw,2004,93.99658
abw,2005,94.93933
abw,2006,94.3853
abw,2007,88.19789
abw,2008,93.04123
abw,2009,93.44484
abw,2013,96.00281
afg,1973,64.30613
afg,1976,72.75457
afg,1977,77.91239
afg,1980,61.68826
afg,1984,81.95312
ago,2008,40.10215
ago,2009,44.79809
alb,1995,18.93384
alb,2008,92.16953
alb,2009,95.22871
alb,2010,97.86436
alb,2011,98.78337
alb,2012,98.66704
alb,2013,98.71253
alb,2014,95.72013
alb,2015,88.84383
alb,2016,93.17854
alb,2017,92.40209
alb,2018,89.04618
alb,2019,89.43762
and,2006,97.78196
and,2007,95.83643
and,2008,94.78371
and,2009,94.32993
and,2010,91.63594
and,2011,93.93239
and,2012,95.02497
and,2013,98.16422
and,2014,97.24967
and,2016,98.79672
and,2018,97.25688
and,2019,98.2638
are,1973,70.04327
are,1974,81.53057
are,1977,96.64131
are,1978,92.5626
are,1979,95.62125
are,1982,97.95816
are,1983,90.03134
are,1984,83.81931
are,1985,91.849
are,1986,87.91056
are,1987,91.98776
are,1988,96.39985
are,1989,96.97374
are,1990,95.88827
are,1991,80.0416
are,1992,88.77713
are,1993,98.43257
are,1994,97.7958
are,1995,81.98227
are,1996,83.41521
are,1997,92.83267
are,1998,96.96559
are,1999,92.11349
are,2000,95.12084
are,2001,95.6329
are,2003,94.05126
are,2004,95.21975
are,2005,97.93887
are,2006,96.68172
are,2010,84.44566
are,2012,91.95901
arg,1970,75.23362
arg,1973,77.53878
arg,1974,72.61444
arg,1975,75.82643
arg,1996,70.11639
arg,1998,90.46371
arg,1999,96.28778
arg,2000,92.95915
arg,2001,92.10876
arg,2002,84.23222
arg,2003,96.31289
arg,2004,89.68296
arg,2005,95.98793
arg,2006,96.30182
arg,2007,98.16814
arg,2008,95.34542
arg,2009,96.56891
arg,2010,94.89816
arg,2011,97.36656
arg,2012,95.97455
arg,2013,97.11264
arg,2014,96.37509
arg,2015,98.26012
arg,2016,95.49637
arg,2017,95.50919
arg,2018,95.04828
atg,2007,93.538
atg,2014,89.82096
bdi,1972,15.58713
bdi,1973,50.47499
bdi,1974,67.1289
bdi,1975,58.87431
bdi,1976,56.85781
bdi,1977,80.58911
bdi,1978,61.19401
bdi,1979,76.46471
bdi,1980,81.28105
bdi,1982,85.39925
bdi,1983,84.6365
bdi,1984,83.35873
bdi,1986,86.29895
bdi,1987,84.02321
bdi,1988,68.33956
bdi,1989,69.81234
bdi,1990,76.10686
bdi,1991,61.82161
bdi,1992,73.42621
bdi,2000,58.81238
bdi,2001,64.76079
bdi,2002,68.32414
bdi,2003,64.23312
bdi,2004,68.55364
bdi,2006,68.9919
bdi,2007,64.68186
bdi,2008,72.58261
bdi,2009,62.34657
bdi,2010,58.99393
bdi,2011,53.59346
bdi,2012,59.30956
bdi,2013,64.39936
bdi,2014,58.70145
bdi,2015,56.33576
bdi,2016,53.80987
bdi,2017,54.43822
bdi,2018,53.27819
bel,1974,73.06806
bel,1975,70.72687
bel,1976,74.71316
bel,1977,69.82644
bel,1978,72.96999
bel,1979,75.29585
bel,1980,76.28196
bel,1981,76.06737
bel,1982,68.12284
bel,1983,70.05633
bel,1984,75.10001
bel,1985,79.79265
bel,1986,80.95174
bel,1987,80.79051
bel,2005,96.41868
bel,2006,96.25921
bel,2007,91.23937
bel,2008,96.52165
bel,2009,98.94107
bel,2012,99.11041
bel,2013,95.71796
bel,2014,96.65347
bel,2015,98.06944
bel,2016,96.13728
bel,2017,96.98259
bel,2018,97.01845
ben,1971,66.29314
ben,1972,61.89712
ben,1973,47.75336
ben,1974,67.11709
ben,1975,60.57138
ben,1976,51.67945
ben,1977,53.31798
ben,1978,60.14761
ben,1979,58.91004
ben,1980,55.05413
ben,1982,59.42763
ben,1983,39.77822
ben,1984,55.10815
ben,1985,43.61223
ben,1986,50.118
ben,1987,42.04295
ben,1988,46.81313
ben,1989,14.17
ben,1990,67.11257
ben,1991,55.07095
ben,1992,67.30011
ben,1993,55.37371
ben,1994,64.78954
ben,1995,60.93913
ben,1996,66.36045
ben,1997,64.62261
ben,2000,84.16477
ben,2001,72.03342
ben,2002,68.47564
ben,2003,69.80017
ben,2009,60.41586
ben,2010,62.98361
ben,2011,67.52653
ben,2012,61.14569
ben,2013,62.70079
ben,2014,66.83199
ben,2015,57.59239
ben,2018,43.41254
ben,2019,48.88681
bfa,1971,56.41642
bfa,1972,52.70958
bfa,1973,57.49251
bfa,1974,62.72359
bfa,1975,63.28786
bfa,1976,64.01311
bfa,1977,63.71685
bfa,1978,65.28162
bfa,1979,67.87145
bfa,1980,67.82713
bfa,1981,75.47411
bfa,1982,72.18103
bfa,1983,73.75901
bfa,1984,73.47121
bfa,1986,75.21479
bfa,1987,72.06023
bfa,1988,70.86469
bfa,1989,69.90952
bfa,1990,75.50522
bfa,1991,69.73984
bfa,1994,78.65804
bfa,1998,66.70597
bfa,1999,68.30041
bfa,2000,69.13507
bfa,2001,65.3875
bfa,2002,73.15962
bfa,2003,75.85374
bfa,2004,75.51167
bfa,2005,72.48996
bfa,2006,80.57848
bfa,2007,79.61045
bfa,2008,82.22698
bfa,2009,75.08869
bfa,2011,80.30587
bfa,2012,80.71406
bfa,2013,79.05086
bfa,2014,78.55381
bfa,2015,80.45252
bfa,2016,77.04088
bfa,2017,81.28009
bfa,2018,69.29017
bfa,2019,67.94672
bgd,1976,21.03004
bgd,1980,20.50402
bgd,1988,46.67785
bgd,2008,66.60086
bgd,2009,66.20096
bhr,1981,88.9482
bhr,1982,87.86079
bhr,1984,81.29306
bhr,1985,89.33524
bhr,1986,86.51686
bhr,1987,90.98943
bhr,1988,97.11017
bhr,1991,89.24384
bhr,1992,98.55365
bhr,1993,98.3138
bhr,1994,98.28591
bhr,1995,91.14735
bhr,1997,97.06046
bhr,1998,98.62559
bhr,1999,95.62724
bhr,2000,98.05159
bhr,2001,98.67002
bhr,2003,99.14842
bhr,2004,98.36335
bhr,2011,97.9494
bhr,2015,98.69848
bhr,2016,97.32776
bhr,2017,97.85533
bhr,2018,97.46527
bhs,1993,77.71872
bhs,2005,85.04883
bhs,2006,93.86783
bhs,2007,92.31513
bhs,2008,82.77015
bhs,2009,91.36166
bhs,2011,75.51632
bhs,2012,70.83298
bhs,2013,89.40862
bhs,2015,70.24091
bih,2009,73.22801
bih,2010,80.56391
bih,2011,83.3074
bih,2012,82.77215
bih,2013,86.51722
bih,2014,97.03734
bih,2015,95.59525
bih,2016,98.35739
bih,2017,93.93491
bih,2018,93.96211
bih,2019,93.59387
blr,1971,99.34194
blr,1972,99.29691
blr,1973,99.61151
blr,1974,99.08707
blr,1975,99.33698
blr,1976,99.2808
blr,1977,99.52541
blr,1978,99.26271
blr,1979,96.30535
blr,1980,89.39005
blr,1981,82.00065
blr,1982,76.98516
blr,1983,72.87736
blr,1984,69.29875
blr,1985,66.05687
blr,1988,98.44648
blr,1989,45.74443
blz,1991,67.41408
blz,1994,70.4301
blz,1995,70.05544
blz,1999,76.09452
blz,2000,84.52919
blz,2005,91.0416
blz,2006,87.33787
blz,2007,92.69371
blz,2008,95.58221
blz,2009,91.10532
blz,2010,91.95578
blz,2012,93.56238
blz,2013,96.41918
blz,2014,99.12871
blz,2016,94.7656
blz,2017,96.33172
blz,2019,93.0183
bmu,2001,89.07488
bmu,2002,96.44247
bmu,2003,93.41088
bmu,2004,93.0957
bmu,2005,87.49523
bmu,2010,90.13455
bmu,2011,86.89925
bmu,2012,81.37296
bol,2009,87.57154
bol,2010,90.07855
bol,2011,92.82802
bol,2012,98.00489
bol,2013,96.4242
bol,2014,97.74914
bol,2015,97.09259
bol,2016,96.19281
bol,2017,96.85767
bol,2018,98.63891
brb,1999,91.82063
brb,2000,95.56134
brb,2001,94.49447
brb,2002,96.08223
brb,2003,96.29389
brb,2004,97.49188
brb,2005,93.30956
brb,2006,92.70714
brb,2007,93.58485
brb,2008,92.17871
brb,2009,93.33131
brb,2010,94.46119
brn,1975,79.2456
brn,1983,85.76353
brn,1993,95.27003
brn,1994,95.06052
brn,1998,94.49759
brn,2003,97.68299
brn,2004,98.26171
brn,2005,98.02515
brn,2006,98.03487
brn,2007,97.61852
brn,2008,98.34142
brn,2009,98.06829
brn,2010,98.8421
brn,2011,98.6326
brn,2016,96.29432
brn,2017,98.1116
brn,2018,97.30326
brn,2019,99.17221
btn,1976,18.39202
btn,1977,13.96722
btn,1978,30.12995
btn,1993,82.10716
btn,1997,86.22988
btn,1998,87.48272
btn,1999,90.45216
btn,2000,91.0735
btn,2003,93.22869
btn,2004,94.35909
btn,2005,93.11538
btn,2006,95.35728
btn,2007,92.4052
btn,2008,95.50386
btn,2009,93.16137
btn,2010,95.53869
btn,2011,97.39101
btn,2016,94.81049
btn,2017,89.54376
bwa,1970,64.03631
bwa,1973,90.87877
bwa,1974,90.14637
bwa,1975,88.08677
bwa,1976,90.62355
bwa,1977,84.5873
bwa,1978,88.66437
bwa,1979,94.96842
bwa,1980,82.37731
bwa,1981,86.39603
bwa,1982,89.09969
bwa,1983,87.16124
bwa,1984,91.44465
bwa,1985,89.63758
bwa,1986,91.98297
bwa,1987,89.83168
bwa,1989,86.2313
bwa,1990,94.22246
bwa,1991,84.03397
bwa,1992,89.18645
bwa,1993,88.71504
bwa,1994,86.80169
bwa,1995,89.9221
bwa,1998,87.55586
bwa,1999,86.60237
bwa,2000,89.02752
bwa,2001,88.25125
bwa,2002,89.35147
bwa,2003,90.16632
bwa,2004,89.6709
bwa,2005,89.05587
bwa,2006,78.84611
bwa,2007,79.60433
bwa,2008,96.59287
bwa,2012,96.30051
caf,1971,35.86718
caf,1972,51.26821
caf,1973,46.82453
caf,1975,56.96029
caf,1976,57.35511
caf,1977,50.17549
caf,1980,44.06373
caf,1981,58.85
caf,1982,55.49168
caf,1985,50.38604
caf,1986,26.28651
caf,1987,67.02062
caf,1988,60.5132
caf,1990,36.08526
caf,1991,24.13403
caf,2008,53.59219
caf,2009,56.26721
caf,2010,54.95309
caf,2011,56.69952
can,1998,97.68675
can,1999,98.89634
che,1977,78.70239
che,1978,73.79645
che,1979,73.7985
che,1980,54.9876
che,1981,74.10089
che,1982,73.10917
che,1983,73.00276
che,1984,72.49599
che,1985,72.72615
che,1986,73.38161
che,2015,99.52496
che,2016,99.61822
che,2017,99.72451
che,2018,99.49503
chl,1970,81.6488
chl,1971,74.1571
chl,1972,76.14982
chl,1973,75.96087
chl,1974,74.11075
chl,1975,73.96536
chl,1976,78.56223
chl,1982,94.82995
chl,1996,98.76174
chl,2010,98.1455
chl,2011,98.7274
chl,2013,99.63693
chl,2014,99.6205
chl,2015,99.6204
chl,2016,99.64203
chl,2017,99.81457
chl,2018,99.85135
chn,1988,80.02333
chn,1989,80.61738
chn,1990,85.06454
chn,1991,86.0029
chn,1992,88.03084
chn,1993,88.05602
chn,1994,90.64579
chn,1995,92.15009
chn,1996,93.57094
chn,2019,99.90033
civ,1972,86.2265
civ,1973,82.18717
civ,1974,85.04706
civ,1975,79.42805
civ,1976,93.76428
civ,1977,92.31221
civ,1978,93.13854
civ,1979,88.99329
civ,1980,89.44265
civ,1981,83.32544
civ,1982,82.78891
civ,1983,74.56952
civ,1984,70.84159
civ,1985,72.98008
civ,1986,74.77508
civ,1987,76.92209
civ,1988,80.38134
civ,1989,75.0258
civ,1990,67.70814
civ,1991,72.97933
civ,1992,61.36959
civ,1993,84.00972
civ,1994,74.26828
civ,1995,72.66229
civ,1996,71.88029
civ,1997,69.81987
civ,1998,83.08443
