global,time,en_atm_co2e_pc
world,1990,3.90247
world,1991,3.87411
world,1992,3.80354
world,1993,3.76886
world,1994,3.73193
world,1995,3.78152
world,1996,3.80623
world,1997,3.81305
world,1998,3.78015
world,1999,3.74731
world,2000,3.81219
world,2001,3.82719
world,2002,3.8343
world,2003,3.95803
world,2004,4.09176
world,2005,4.1958
world,2006,4.2805
world,2007,4.39134
world,2008,4.37639
world,2009,4.27662
world,2010,4.48261
world,2011,4.56899
world,2012,4.57597
world,2013,4.60592
world,2014,4.55547
world,2015,4.48296
world,2016,4.43079
world,2017,4.43499
world,2018,4.4771
