global,time,ny_gnp_pcap_kd
world,1981,6179.79093
world,1982,6086.85951
world,1983,6151.68299
world,1984,6318.69738
world,1985,6431.23781
world,1986,6519.88514
world,1987,6641.89436
world,1988,6815.99187
world,1989,6967.06803
world,1990,7017.47022
world,1991,6989.88812
world,1992,6988.94278
world,1993,6958.79983
world,1994,7038.98454
world,1995,7116.26808
world,1996,7261.67012
world,1997,7433.70197
world,1998,7541.04233
world,1999,7714.12784
world,2000,7955.56918
world,2001,8015.45613
world,2002,8081.48634
world,2003,8238.18365
world,2004,8493.35297
world,2005,8719.5462
world,2006,9000.85332
world,2007,9276.6993
world,2008,9327.8944
world,2009,9092.94708
world,2010,9378.90433
world,2011,9571.6774
world,2012,9706.95075
world,2013,9850.06416
world,2014,10049.6113
world,2015,10239.6026
world,2016,10402.62169
world,2017,10649.87899
world,2018,10864.4902
world,2019,11037.03049
world,2020,10555.88943
