global,time,eg_fec_rnew_zs
world,1990,17.06715
world,1991,17.22382
world,1992,17.58433
world,1993,17.59844
world,1994,17.69286
world,1995,17.75535
world,1996,17.74182
world,1997,17.7683
world,1998,17.92092
world,1999,18.12984
world,2000,17.85491
world,2001,17.54853
world,2002,17.56108
world,2003,17.3829
world,2004,17.09046
world,2005,16.91535
world,2006,16.91266
world,2007,16.76457
world,2008,16.97834
world,2009,17.49792
world,2010,17.14964
world,2011,17.08285
world,2012,17.26945
world,2013,17.48064
world,2014,17.57179
world,2015,17.63726
