geo,time,se_ter_cuat_st_fe_zs
abw,1991,5.48976
abw,2000,14.74587
abw,2010,12.84414
ago,2014,2.00061
alb,2001,5.66423
alb,2008,8.11303
alb,2011,11.4997
alb,2012,12.395
and,2003,29.1866
and,2004,29.31476
and,2005,27.42966
and,2006,31.50927
and,2014,33.20038
and,2015,32.87336
and,2016,32.62832
are,2005,25.07186
are,2017,47.24244
are,2018,48.48142
are,2019,51.82012
arg,1970,2.5
arg,1980,5.8
arg,1991,11.76038
arg,2001,12.77619
arm,2011,45.4631
arm,2015,49.13714
arm,2017,45.24963
arm,2020,44.95979
aus,2004,32.5626
aus,2005,33.12775
aus,2006,35.34354
aus,2007,36.05375
aus,2008,38.91982
aus,2009,39.76361
aus,2010,40.85512
aus,2011,42.06328
aus,2012,44.94715
aus,2013,40.85939
aus,2014,42.24571
aus,2015,44.02236
aus,2016,44.71767
aus,2017,46.76378
aus,2018,47.72289
aus,2019,48.25298
aus,2020,50.94384
aut,2005,12.53104
aut,2007,12.08245
aut,2008,10.87923
aut,2009,13.98505
aut,2010,14.4147
aut,2011,14.20327
aut,2012,14.74315
aut,2013,15.58136
aut,2014,23.11287
aut,2015,23.76195
aut,2016,24.95007
aut,2017,25.80676
aut,2019,27.44239
aze,2008,22.91914
aze,2009,22.94918
aze,2010,23.46016
aze,2011,23.5409
aze,2012,23.57732
aze,2013,23.58863
aze,2014,23.59365
aze,2015,23.57454
aze,2016,23.61278
aze,2017,23.51867
aze,2019,23.39822
bdi,1990,0.2018
bdi,2008,2.36455
bdi,2014,0.7658
bdi,2017,1.05278
bel,2006,26.38529
bel,2008,27.07222
bel,2009,28.23868
bel,2010,30.05078
bel,2011,29.90479
bel,2012,30.72151
bel,2013,30.98568
bel,2014,31.84225
bel,2015,32.87921
bel,2016,33.30365
bel,2017,36.12027
bel,2019,37.46716
ben,1979,0.09988
ben,2002,0.80236
bfa,2006,0.99404
bfa,2007,0.02708
bfa,2014,0
bfa,2018,1.17189
bgd,2011,3.21265
bgd,2012,3.37341
bgd,2013,3.25101
bgd,2014,3.94473
bgd,2015,5.52793
bgd,2016,5.67552
bgd,2017,6.1564
bgd,2018,6.61173
bgd,2019,6.93848
bgd,2020,10.87763
bhr,2001,11.94125
bhr,2010,21.56208
bhs,2010,26.95834
bih,2010,8.00965
bih,2011,8.20488
bih,2014,10.08393
bih,2015,9.71088
bih,2016,10.23624
bih,2018,10.06783
bih,2020,13.02127
blr,1989,11.47488
blr,2009,53.99411
blr,2019,63.51744
blz,2010,5.56085
blz,2020,22.77137
bmu,2010,41.29874
bmu,2016,45.28085
bol,1976,3.28488
bol,1992,8.6718
bol,2001,11.92997
bol,2006,19.20283
bol,2008,18.69003
bol,2009,21.02771
bol,2012,22.76597
bol,2015,25.99873
bol,2019,29.63483
bra,1970,1.01814
bra,1976,3.2
bra,1980,4.13836
bra,2004,8.6289
bra,2006,9.1212
bra,2007,10.14061
bra,2008,10.83581
bra,2009,11.56658
bra,2010,12.51467
bra,2011,12.64609
bra,2012,13.24935
