global,time,ne_exp_gnfs_kd
world,1970,2158623271067.95996
world,1971,2289167384533.10938
world,1972,2485490942594.79004
world,1973,2754517194223.83008
world,1974,2896971854824.91992
world,1975,2815976084990.54004
world,1976,3082242508602.62012
world,1977,3248996806893.25977
world,1978,3406599029831.16943
world,1979,3612433471164.43018
world,1980,3720218954304.72949
world,1981,3896145952004.16943
world,1982,3906602339205.60938
world,1983,4035824465830.87061
world,1984,4401409970975.76953
world,1985,4592687081246.82031
world,1986,4715100200857.5498
world,1987,5012472383499.51953
world,1988,5415992967868.80957
world,1989,5813380989193.0498
world,1990,6123999213775.12988
world,1991,6303139459329
world,1992,6494231516454.30957
world,1993,6738469762266.84961
world,1994,7334495849118.78125
world,1995,8004372008903.25
world,1996,8518075635464.25
world,1997,9374948256147.90039
world,1998,9788085869021.83008
world,1999,10280001077422.5
world,2000,11502677749855.09961
world,2001,11577579222051.09961
world,2002,11916518423157.09961
world,2003,12450843732789.69922
world,2004,13724887296354.40039
world,2005,14684935031780
world,2006,15970574999858.5
world,2007,17036069649548.69922
world,2008,17538039040215.09961
world,2009,15808087737602
world,2010,17658836051560.19922
world,2011,18793295279676.30078
world,2012,19302880096302.80078
world,2013,19878403783171.19922
world,2014,20572493764532.39844
world,2015,21279265975235
world,2016,21847489316224.5
world,2017,22979007262814.5
world,2018,23979323394784
world,2019,24236072307359.5
world,2020,22070594753522.60156
