global,time,se_sec_nenr_fe
world,1998,51.54027
world,1999,51.83273
world,2000,52.71753
world,2001,53.60913
world,2002,54.37
world,2003,55.55534
world,2004,56.57707
world,2005,57.44694
world,2006,58.15202
world,2007,59.15708
world,2008,60.02488
world,2009,60.71055
world,2010,62.09554
world,2011,63.27635
world,2012,63.8382
world,2013,64.8316
world,2014,65.6666
world,2015,65.76561
world,2016,65.8486
world,2017,66.26728
world,2018,66.26578
