geo,time,gc_xpn_othr_cn
bgd,2016,109080000000
bgr,1990,0
bgr,1991,0
bgr,1992,701000
bgr,1993,0
bgr,1994,0
bgr,1995,28281000
bgr,1996,34112000
bgr,1997,45924000
bgr,1998,839153000
bgr,1999,608626000
bgr,2000,358425000
bgr,2001,362114000
bgr,2002,395616000
bgr,2003,412200000
bgr,2004,412961000
bgr,2005,436781000
bgr,2006,525540000
bgr,2007,671724000
bgr,2008,780268000
bgr,2009,874411000
bgr,2010,967349000
bgr,2011,1085357000
bgr,2012,1111422000
bgr,2013,1112890000
bgr,2014,1207811000
bgr,2015,1733243000
bgr,2016,1756200000
bgr,2017,1772507000
bgr,2018,1741923000
bgr,2019,1764335000
bhr,2001,0
bhr,2003,0
bhr,2004,137100000
bhs,1990,32800000
bhs,1991,35300000
bhs,1992,31600000
bhs,1993,7600000
bhs,1994,1800000
bhs,1995,1500000
bhs,1996,1200000
bhs,1997,1700000
bhs,1998,1793000
bhs,1999,1831000
bhs,2000,5759000
bhs,2001,3200000
bhs,2002,5200000
bhs,2003,4600000
bhs,2004,5539000
bhs,2005,7183000
bhs,2006,75293000
bhs,2007,33900000
bhs,2008,47600000
bhs,2009,85845000
bhs,2010,177437336.53
bhs,2011,185607718.72
bhs,2012,275284184
bhs,2013,224308483.51
bhs,2014,226737842.09
bhs,2015,259838389.3
bhs,2016,206756679.58
bhs,2017,311037817.57
bhs,2018,236087000
bhs,2019,233829000
bih,2005,237808686.5966
bih,2006,245710921.72
bih,2007,301393999.15
bih,2008,318525308.59
bih,2009,348829662.17
bih,2010,507122862.26
bih,2011,387988174.2
bih,2012,485335588.5
bih,2013,350808851.7
bih,2014,513005262.48
bih,2015,569132598.99
bih,2016,559634256.44
bih,2017,583517102.71
bih,2018,789089268.43
bih,2019,685872257.935
blr,1992,0
blr,1993,0
blr,1994,0
blr,1995,0
blr,1996,500
blr,1997,36880
blr,1998,760
blr,1999,8390630
blr,2000,9567000
blr,2001,13020000
blr,2002,19319000
blr,2003,64734531
blr,2004,73393300
blr,2005,175526000
blr,2006,161371300
blr,2007,181700660
blr,2008,322399000
blr,2009,272371000
blr,2010,369787539.3162
blr,2011,363480000
blr,2012,561240000
blr,2013,399056000
blr,2014,354316200
blr,2015,318530133.72
blr,2016,365252508.7
blr,2017,1076888291
blr,2018,1147601021.4
blr,2019,947690862.3
blz,1991,0
blz,1992,1253000
blz,1993,1670000
blz,1994,1426000
blz,1995,910000
blz,1996,906000
blz,1997,0
blz,1998,0
blz,1999,0
blz,2000,0
