geo,time,sl_uem_basc_fe_zs
afg,2014,14.09
afg,2017,24.02
afg,2020,19.85
ago,2004,42.45
ago,2009,7.07
ago,2011,19.73
ago,2014,18.12
alb,2007,12.22
alb,2008,10.48
alb,2009,12.38
alb,2010,13.82
alb,2011,10.45
alb,2012,8.44
alb,2013,10.31
alb,2014,10.75
alb,2015,11.12
alb,2016,10.51
alb,2017,9.77
alb,2018,7.33
alb,2019,8.93
are,1995,0.89
are,2005,4
are,2017,4.31
are,2018,2.74
arg,2002,19.64
arg,2003,20.97
arg,2004,18.15
arg,2005,15.88
arg,2006,14.61
arg,2008,12.47
arg,2009,11.97
arg,2010,10.91
arg,2011,9.6
arg,2012,10.31
arg,2013,10.23
arg,2014,10.16
arg,2017,12.48
arg,2018,13.15
arg,2019,13.87
arg,2020,17.11
arm,2007,25.21
arm,2008,30.68
arm,2009,9.79
arm,2010,7.82
arm,2011,10.81
arm,2012,9.61
arm,2013,9.06
arm,2014,10.28
arm,2015,9.03
arm,2016,11.79
arm,2017,12.84
arm,2018,9.18
arm,2019,13.64
arm,2020,19.86
aus,1995,11.19
aus,1997,11.54
aus,1998,9.82
aus,2000,9.6
aus,2001,10.04
aus,2002,8.46
aus,2003,8.76
aus,2004,7.73
aus,2005,8.26
aus,2006,7.29
aus,2007,9.05
aus,2008,9.23
aus,2009,7.69
aus,2010,8.71
aus,2011,8.93
aus,2012,9.49
aus,2013,8.03
aus,2014,10
aus,2015,10.34
aus,2016,9.91
aus,2017,9.55
aut,1994,5.52
aut,1998,8.6
aut,1999,6.7
aut,2000,7.26
aut,2001,6.72
aut,2002,7.11
aut,2003,7.41
aut,2004,11.45
aut,2005,10.45
aut,2006,9.32
aut,2007,9.02
aut,2008,8.2
aut,2009,9.47
aut,2010,7.93
aut,2011,8.19
aut,2012,8.73
aut,2013,9.2
aut,2014,9.93
aut,2015,9.58
aut,2016,10.8
aut,2017,11.08
aut,2018,9.56
aut,2019,8.69
aut,2020,10.5
aze,2007,6.22
aze,2008,11.43
aze,2009,5.43
aze,2010,9.16
aze,2011,10.97
aze,2012,8.03
aze,2014,7.78
aze,2015,8.12
aze,2016,7.86
aze,2017,7.67
aze,2018,9.55
aze,2020,13.31
bdi,2014,3.61
bel,1998,19.29
bel,1999,17.22
bel,2000,14.1
bel,2001,12.15
bel,2002,14.02
bel,2003,12.49
bel,2004,14.26
bel,2005,16.32
bel,2006,15.26
bel,2007,14.14
bel,2008,13.19
bel,2009,13.8
bel,2010,15.15
bel,2011,13.81
bel,2012,13.55
bel,2013,15.13
bel,2014,14.81
bel,2015,14.78
bel,2016,15.49
bel,2017,13.72
bel,2018,12.7
bel,2019,11.68
bel,2020,12.55
ben,2011,3.51
ben,2018,1.35
bfa,2014,8.3
bfa,2018,8.87
bgd,2006,6.55
bgd,2010,3.89
bgd,2013,5.14
bgd,2016,5.9
bgd,2017,5.66
bgr,2000,27.01
bgr,2001,33.05
bgr,2002,29.39
bgr,2003,23.99
bgr,2004,20.59
bgr,2005,19.62
bgr,2006,22.18
bgr,2007,19.92
bgr,2008,15.42
bgr,2009,15.9
bgr,2010,22.32
bgr,2011,26.02
bgr,2012,26.27
bgr,2013,27.84
bgr,2014,27.07
bgr,2015,25.25
bgr,2016,22.47
bgr,2017,19.86
bgr,2018,15.66
bgr,2019,14.15
bgr,2020,15.8
bhs,1994,5.46
bih,2006,45.96
bih,2007,40.95
bih,2008,30.41
bih,2009,32.38
bih,2010,31.92
bih,2011,34
bih,2012,27.19
bih,2013,28.81
bih,2014,34.95
bih,2015,29.31
bih,2016,29.04
bih,2017,22.53
bih,2018,18.89
bih,2019,16.25
bih,2020,18.04
blr,2016,6.34
blr,2017,11.5
blr,2018,11.69
blr,2019,9.58
blr,2020,10.09
blz,2005,21.57
blz,2012,28.42
blz,2013,14.49
blz,2014,16.75
blz,2015,12.82
blz,2016,12.36
blz,2017,11.04
blz,2019,16.98
bmu,2000,2.82
bmu,2009,11.48
bmu,2010,4.46
bmu,2012,11.86
bol,1996,5.94
bol,1997,1.29
bol,1999,6.71
bol,2000,4.56
bol,2001,7.62
bol,2002,6.16
bol,2004,3.27
bol,2005,6.31
bol,2006,6.1
bol,2007,5
bol,2008,3.25
bol,2009,4.03
bol,2011,3.11
bol,2012,2.83
bol,2013,4.24
bol,2014,3.21
bol,2015,3.99
bol,2016,3.04
bol,2017,3.08
bol,2018,2.43
bol,2019,3.22
bol,2020,9.76
bra,1995,10.39
bra,1996,12.11
bra,1997,13.73
bra,1998,15.8
bra,1999,16.18
bra,2001,15.14
bra,2002,14.36
bra,2003,15.28
bra,2004,14.41
bra,2005,15.04
bra,2006,13.48
bra,2007,12.91
bra,2008,11.48
bra,2009,13.33
bra,2011,11.34
bra,2012,8.83
bra,2013,8.72
bra,2014,8.09
bra,2015,10.69
bra,2016,16.77
bra,2017,18.66
bra,2018,18.08
bra,2019,18.32
bra,2020,22.07
brb,1997,3.85
brb,2003,1.93
brb,2015,10.87
brb,2016,9.07
brb,2017,9.85
brb,2018,9.38
brb,2019,7.89
brn,2014,9.46
brn,2017,12.8
brn,2018,10.71
brn,2019,10.7
btn,2009,9.91
btn,2010,6.62
btn,2012,4.86
btn,2013,3.46
btn,2015,3.2
bwa,2006,21.45
bwa,2009,25.31
bwa,2010,24.72
bwa,2019,26.35
bwa,2020,26.87
can,1990,12.25
can,1991,14.56
can,1992,16.47
can,1993,16
can,1994,15.7
can,1995,14.69
can,1996,15.33
can,1997,15.93
can,1998,14.38
can,1999,13.6
can,2000,12.81
can,2001,12.68
can,2002,13.27
can,2003,13.5
can,2004,13.67
can,2005,12.91
can,2006,12.45
can,2007,11.74
can,2008,11.22
can,2009,14.53
can,2010,15.25
can,2011,15.41
can,2012,15.36
can,2013,15.01
can,2014,14.22
can,2015,14.13
can,2016,13.73
can,2017,12.51
can,2018,12.19
can,2019,11.52
can,2020,18.44
can,2021,15.87
che,1991,2.11
che,1992,5.73
che,1993,7.06
che,1994,6.63
che,1995,7.21
che,1998,5.76
che,1999,5.42
che,2000,4.49
che,2001,5.1
che,2002,3.88
che,2003,6.71
che,2004,7.67
che,2005,8.63
che,2006,7.67
che,2007,7.73
che,2008,6.6
che,2009,7.83
che,2010,8.19
che,2011,8.24
che,2012,7.58
che,2013,7.66
che,2014,8.6
che,2015,8.64
che,2016,8.9
che,2017,8.1
che,2018,8.26
che,2019,7.42
che,2020,8.65
chl,1998,12.97
chl,2000,13.12
chl,2003,12.31
chl,2006,4.06
chl,2007,6.38
chl,2009,13.27
chl,2010,10.79
chl,2011,8.95
chl,2012,8.06
chl,2013,7.03
chl,2014,7.22
chl,2015,7.28
chl,2016,6.86
chl,2017,6.98
chl,2018,8.02
chl,2019,7.43
chl,2020,12.85
civ,2012,8.66
civ,2013,8.13
civ,2016,7.38
civ,2017,3.74
cmr,2007,6.1
cmr,2014,3
cod,2005,3.82
cod,2012,1.59
cog,2005,27.24
cog,2009,16.99
col,2002,18.65
col,2003,16.99
col,2004,16.47
col,2005,13.79
col,2007,11.4
col,2008,11.81
col,2009,13.41
col,2010,12.74
col,2011,11.1
col,2012,10.83
col,2013,9.43
col,2014,8.9
col,2015,8.67
col,2016,8.44
col,2017,8.71
col,2018,8.88
col,2019,10.44
com,2004,5.67
com,2014,11.75
cpv,2015,33.18
cpv,2017,8.7
cpv,2018,7.68
cpv,2019,9.78
cri,1996,9.72
cri,1997,9.33
cri,1998,13.25
cri,1999,10.51
cri,2000,9.23
cri,2001,9.55
cri,2002,9.87
cri,2003,11.04
cri,2004,10.11
cri,2005,11.66
cri,2006,11.13
cri,2007,8.9
cri,2008,8.26
cri,2010,11.85
cri,2011,15.46
cri,2012,13.08
cri,2013,12.46
