global,time,ic_crd_publ_zs
world,2004,3.33542
world,2005,3.28466
world,2006,3.89641
world,2007,4.24176
world,2008,5.21988
world,2009,6.44012
world,2010,7.14012
world,2011,8.20747
world,2012,9.0073
world,2013,10.20265
world,2014,10.47143
world,2015,11.77789
world,2016,12.58316
world,2017,13.98947
world,2018,15.33298
world,2019,15.79686
