global,time,tm_tax_mrch_wm_fn_zs
world,1988,5.75
world,1989,6.91
world,1990,7.8
world,1991,7.02
world,1992,8.15
world,1993,8.85
world,1994,9.69
world,1995,7.35
world,1996,7.1
world,1997,6.42
world,1998,6.03
world,1999,6.54
world,2000,5.84
world,2001,6.17
world,2002,5.74
world,2003,5.55
world,2004,4.96
world,2005,4.7
world,2006,4.34
world,2007,4.5
world,2008,4.53
world,2009,4.32
world,2010,4.3
world,2011,4.56
world,2012,3.93
world,2013,4.06
world,2014,4.11
world,2015,4.3
world,2016,4.1
world,2017,4.17
