global,time,dc_dac_hunl_cd
world,2005,39579998.01636
world,2006,84340003.96729
world,2007,33020000.45776
world,2008,15449999.80927
world,2009,29539999.00818
world,2010,28349998.47412
world,2011,33150001.52588
world,2012,21799999.23706
world,2013,34290000.91553
world,2014,30069999.69482
world,2015,47299999.23706
world,2016,54729999.54224
world,2017,39290000.91553
world,2018,129080001.83106
world,2019,159009994.50684
