geo,time,sh_sta_traf_p5
afg,2000,14.7
afg,2001,15.1
afg,2002,14.9
afg,2003,15
afg,2004,15.2
afg,2005,15.2
afg,2006,15.1
afg,2007,15
afg,2008,15
afg,2009,14.4
afg,2010,14.4
afg,2011,14.2
afg,2012,13.8
afg,2013,14
afg,2014,14.1
afg,2015,14.4
afg,2016,14.8
afg,2017,15.1
afg,2018,14.2
afg,2019,15.9
ago,2000,25.1
ago,2001,25.2
ago,2002,25.4
ago,2003,25.3
ago,2004,25.9
ago,2005,26.1
ago,2006,24.6
ago,2007,25.5
ago,2008,25
ago,2009,27.3
ago,2010,25.8
ago,2011,25.4
ago,2012,23.2
ago,2013,22.4
ago,2014,23.2
ago,2015,23.6
ago,2016,24.7
ago,2017,25.5
ago,2018,26
ago,2019,26.1
alb,2000,14.3
alb,2001,14.5
alb,2002,14.5
alb,2003,14.7
alb,2004,14.7
alb,2005,14.9
alb,2006,14.9
alb,2007,14.8
alb,2008,14.5
alb,2009,14.4
alb,2010,14.1
alb,2011,14.3
alb,2012,13.8
alb,2013,13.9
alb,2014,13.6
alb,2015,13.8
alb,2016,13.8
alb,2017,11.4
alb,2018,11
alb,2019,11.7
and,2013,7.6
are,2000,16
are,2001,15.8
are,2002,22.4
are,2003,24.2
are,2004,20.9
are,2005,18.7
are,2006,17.2
are,2007,17.7
are,2008,18
are,2009,19
are,2010,19.4
are,2011,19.1
are,2012,17.9
are,2013,17.6
are,2014,17.8
are,2015,18.1
are,2016,17.9
are,2017,13.3
are,2018,11.3
are,2019,8.9
arg,2000,11.5
arg,2001,11.6
arg,2002,9.8
arg,2003,9.4
arg,2004,10.6
arg,2005,11.6
arg,2006,13.1
arg,2007,14.1
arg,2008,14.8
arg,2009,13.3
arg,2010,12.8
arg,2011,13.9
arg,2012,13.1
arg,2013,14.3
arg,2014,13.4
arg,2015,13.9
arg,2016,14.1
arg,2017,14
arg,2018,13.6
arg,2019,14.1
arm,2000,19.6
arm,2001,19.5
arm,2002,19.1
arm,2003,18.5
