geo,time,ny_adj_nnty_cd
abw,1986,360539974.81586
abw,1987,426760764.37061
abw,1988,520903592.39051
abw,1989,614602067.68755
abw,1990,681714186.77587
abw,1991,777773431.46439
abw,1992,853591076.43014
abw,1993,957802226.90054
abw,1994,1100813198.04008
abw,1995,1162779481.68661
abw,1996,1211352903.9497
abw,1997,1336120379.06438
abw,1998,1474624108.32195
abw,1999,1505265089.09647
abw,2000,1657970730.82031
abw,2001,1665128463.28617
abw,2002,1606818647.42653
abw,2003,1762277437.65697
abw,2004,1926349153.31232
abw,2005,1625323791.72775
abw,2006,2081395223.90593
abw,2007,1972904908.41537
abw,2008,2360562592.71728
abw,2009,2171616245.71763
abw,2010,2016151417.97053
abw,2011,2046631495.42671
abw,2012,2163427816.84036
abw,2013,2265569218.61553
abw,2014,2384794569.19549
abw,2015,2490398697.64754
abw,2016,2521154015.95827
abw,2017,2567573652.7694
afg,1970,1687850202.68947
afg,1971,1767940157.11357
afg,1972,1547062693.72489
afg,1973,1676879625.39579
afg,1974,2078664620.80413
afg,1975,2271260055.86289
afg,1976,2447848170.44432
afg,1977,2826878752.69446
afg,1978,3160873879.74408
afg,1979,3521297663.73416
afg,1980,3449695155.89276
afg,1981,3312012008.84175
afg,2009,11682412150.5387
afg,2010,14939998018.7829
afg,2011,16777829531.6996
afg,2012,18861707735.3748
afg,2013,19447328094.3288
afg,2014,19383671893.23249
afg,2015,19039855340.6274
afg,2016,17305951275.5143
afg,2017,18214418737.5489
afg,2018,17594190732.1325
afg,2019,18649298572.1356
ago,1985,5198220619.78288
ago,1986,5588100827.77156
ago,1987,4903872817.69789
ago,1988,4800315350.13864
ago,1989,7285394247.58471
ago,1990,6419904627.09931
ago,1991,8189316141.74773
ago,1992,845992308.94035
ago,1993,1246722150.20778
ago,1994,354280110.30037
ago,1995,2602930450.67858
ago,1996,2654372952.07793
ago,1997,3872081056.62708
ago,1998,4139030482.97435
ago,1999,2609972259.64727
ago,2000,3399877878.49441
ago,2001,4498556956.02027
ago,2002,9793928457.85723
ago,2003,12019947550.4619
ago,2004,12684967307.4976
ago,2005,17842150742.516
ago,2006,25088111771.997
ago,2007,28798860022.23849
ago,2008,27951332309.4485
ago,2009,39514257954.0128
ago,2010,40695938951.1284
