global,time,ic_reg_cost_pc_fe_zs
world,2003,104.86343
world,2004,93.65764
world,2005,84.61534
world,2006,80.44132
world,2007,71.13412
world,2008,56.85789
world,2009,47.15988
world,2010,45.2907
world,2011,40.17586
world,2012,35.75843
world,2013,32.83968
world,2014,28.87989
world,2015,28.15105
world,2016,26.98368
world,2017,26.44684
world,2018,24.00052
world,2019,19.77592
