geo,time,dt_nfl_mida_cd
bfa,2008,159220000
bfa,2009,89672000
bfa,2010,66579000
bfa,2011,64494000
bfa,2012,59714000
bfa,2013,24412000
bfa,2014,84579000
bfa,2015,130234000
bfa,2016,166482000
bfa,2017,78135000
bfa,2018,166282000
bfa,2019,227790000
bfa,2020,229717000
bgd,1972,2265000
bgd,1973,51626000
bgd,1974,75305000
bgd,1975,90795000
bgd,1976,124726000
bgd,1977,88207000
bgd,1978,103093000
bgd,1979,162568000
bgd,1980,155714000
bgd,1981,160849000
bgd,1982,189388000
bgd,1983,200716000
bgd,1984,247666000
bgd,1985,272222000
bgd,1986,320607000
bgd,1987,324489000
bgd,1988,288635000
bgd,1989,292597000
bgd,1990,441421000
bgd,1991,240841000
bgd,1992,302968000
bgd,1993,277299000
bgd,1994,372598000
bgd,1995,156218000
bgd,1996,229485000
bgd,1997,246049000
bgd,1998,288646000
bgd,1999,339491000
bgd,2000,275158000
bgd,2001,217891000
bgd,2002,195044000
bgd,2003,394732000
bgd,2004,474331000
bgd,2005,394491000
bgd,2006,225651000
bgd,2007,408316000
bgd,2008,607048000
bgd,2009,62841000
bgd,2010,83496000
bgd,2011,92930000
bgd,2012,434299000
bgd,2013,397344000
bgd,2014,522412000
bgd,2015,599353000
bgd,2016,715559000
bgd,2017,1020424000
bgd,2018,1218515000
bgd,2019,1387295000
bgd,2020,1100721000
bih,1996,109559000
bih,1997,65203000
bih,1998,134857000
bih,1999,67956000
bih,2000,44108000
bih,2001,61736000
bih,2002,96844000
bih,2003,48193000
bih,2004,208546000
bih,2005,55591000
bih,2006,22866000
bih,2007,47963000
bih,2008,16534000
bih,2009,18022000
bih,2010,97193000
bih,2011,16212000
bih,2012,-1454000
bih,2013,-2318000
bih,2014,-8087000
bih,2015,-680000
bih,2016,13126000
bih,2017,-11352000
bih,2018,-30948000
bih,2019,-35668000
bih,2020,-52551000
bol,1970,1879000
bol,1971,3787000
bol,1972,2076000
bol,1973,1858000
bol,1974,10551000
bol,1975,8610000
bol,1976,3923000
bol,1977,3677000
bol,1978,1980000
bol,1979,3264000
bol,1980,1470000
bol,1981,14518000
bol,1982,11358000
bol,1983,2748000
bol,1984,1292000
bol,1985,700000
bol,1986,2951000
bol,1987,40263000
bol,1988,110368000
bol,1989,77376000
bol,1990,47082000
bol,1991,46157000
bol,1992,53518000
bol,1993,63914000
bol,1994,77347000
bol,1995,110482000
bol,1996,96938000
bol,1997,132152000
bol,1998,84966000
bol,1999,81998000
bol,2000,60599000
bol,2001,101335000
bol,2002,96446000
bol,2003,136441000
bol,2004,116580000
bol,2005,62151000
bol,2006,28857000
bol,2007,15693000
bol,2008,24324000
bol,2009,32268000
bol,2010,43989000
bol,2011,42414000
bol,2012,47266000
bol,2013,54128000
bol,2014,30764000
bol,2015,159489000
bol,2016,56434000
bol,2017,18604000
bol,2018,20497000
bol,2019,24521000
bol,2020,35870000
btn,1984,21000
btn,1985,488000
btn,1986,1620000
btn,1987,5379000
btn,1988,2133000
btn,1989,2928000
btn,1990,1990000
btn,1991,1478000
btn,1992,626000
btn,1993,902000
btn,1994,1279000
btn,1995,1093000
btn,1996,1174000
btn,1997,940000
btn,1998,517000
btn,1999,731000
btn,2000,3313000
btn,2001,5701000
btn,2002,5218000
btn,2003,6596000
btn,2004,8426000
btn,2005,7684000
btn,2006,9503000
btn,2007,8049000
btn,2008,7536000
btn,2009,18715000
btn,2010,404000
btn,2011,26878000
btn,2012,36436000
btn,2013,1576000
btn,2014,4649000
btn,2015,20749000
btn,2016,-375000
btn,2017,29680000
btn,2018,30485000
btn,2019,28799000
btn,2020,52026000
bwa,1970,1607000
bwa,1971,813000
bwa,1972,857000
bwa,1973,1881000
bwa,1974,2215000
bwa,1975,1169000
bwa,1976,1525000
bwa,1977,979000
bwa,1978,555000
bwa,1979,171000
bwa,1980,-34000
bwa,1981,-93000
bwa,1982,-121000
bwa,1983,-129000
bwa,1984,-143000
bwa,1985,-245000
bwa,1986,-246000
bwa,1987,-246000
bwa,1988,-245000
bwa,1989,-265000
bwa,1990,-284000
bwa,1991,-345000
bwa,1992,-401000
bwa,1993,-417000
bwa,1994,-447000
bwa,1995,-477000
bwa,1996,-477000
bwa,1997,-477000
bwa,1998,-477000
bwa,1999,-477000
bwa,2000,-477000
bwa,2001,-477000
bwa,2002,-477000
bwa,2003,-477000
bwa,2004,-477000
bwa,2005,-477000
bwa,2006,-477000
bwa,2007,-477000
bwa,2008,-477000
bwa,2009,-477000
bwa,2010,-477000
bwa,2011,-477000
bwa,2012,-477000
bwa,2013,-477000
bwa,2014,-477000
bwa,2015,-347000
bwa,2016,-347000
bwa,2017,-301000
bwa,2018,-393000
bwa,2019,-319000
bwa,2020,-290000
caf,1970,220000
caf,1971,2167000
caf,1972,3375000
caf,1973,1352000
caf,1974,971000
caf,1975,641000
caf,1976,219000
caf,1977,962000
caf,1978,612000
caf,1979,7121000
caf,1980,10188000
caf,1981,4358000
caf,1982,2011000
caf,1983,3657000
caf,1984,11907000
caf,1985,10483000
caf,1986,19077000
caf,1987,28456000
caf,1988,39214000
caf,1989,21698000
caf,1990,69902000
caf,1991,22831000
caf,1992,19904000
caf,1993,22724000
caf,1994,38904000
caf,1995,28495000
caf,1996,21487000
caf,1997,3334000
caf,1998,-3422000
caf,1999,-1308000
caf,2000,7200000
caf,2001,-5509000
caf,2002,683000
caf,2003,0
caf,2004,0
caf,2005,0
caf,2006,-46680000
caf,2007,-6444000
caf,2008,-1216000
caf,2009,2109000
caf,2010,5007000
caf,2011,5213000
caf,2012,4179000
caf,2013,-76000
caf,2014,33109000
caf,2015,7894000
caf,2016,3072000
caf,2017,1129000
caf,2018,37079000
caf,2019,8996000
caf,2020,18400000
chl,1971,-93000
chl,1972,-95000
chl,1973,-321000
chl,1974,-229000
chl,1975,-230000
chl,1976,-229000
chl,1977,-230000
chl,1978,-229000
chl,1979,-229000
chl,1980,-229000
chl,1981,-344000
chl,1982,-688000
chl,1983,-689000
chl,1984,-688000
chl,1985,-688000
chl,1986,-688000
chl,1987,-688000
chl,1988,-688000
chl,1989,-803000
chl,1990,-688000
chl,1991,-688000
chl,1992,-688000
chl,1993,-688000
chl,1994,-688000
chl,1995,-688000
chl,1996,-688000
chl,1997,-688000
chl,1998,-688000
chl,1999,-688000
chl,2000,-688000
chl,2001,-688000
chl,2002,-688000
chl,2003,-688000
chl,2004,-688000
chl,2005,-688000
chl,2006,-688000
chl,2007,-688000
chl,2008,-688000
chl,2009,-688000
chl,2010,-688000
chl,2011,-344000
chl,2012,0
chl,2013,0
chl,2014,0
chl,2015,0
chn,1982,883000
chn,1983,67400000
chn,1984,123570000
chn,1985,211786000
chn,1986,282263000
chn,1987,399248000
chn,1988,557100000
chn,1989,507023000
chn,1990,506900000
chn,1991,611300000
chn,1992,827495000
chn,1993,919266000
chn,1994,707681000
chn,1995,807438000
chn,1996,793251000
chn,1997,687118000
chn,1998,553788000
chn,1999,406807000
chn,2000,313626000
chn,2001,223665000
chn,2002,94747000
chn,2003,-6329000
chn,2004,-138355000
chn,2005,-152377000
chn,2006,-213835000
chn,2007,-267100000
chn,2008,-306380000
chn,2009,-336646000
chn,2010,-355179000
chn,2011,-1555734000
chn,2012,-740916000
chn,2013,-780210000
chn,2014,-822868000
chn,2015,-799584000
chn,2016,-817487000
chn,2017,-780177000
chn,2018,-681363000
chn,2019,-510210000
chn,2020,-411374000
civ,1974,221000
civ,1975,1112000
civ,1976,1624000
civ,1977,3767000
civ,1978,776000
civ,1983,-37000
civ,1984,-75000
civ,1985,-75000
civ,1986,-76000
civ,1987,-75000
civ,1988,-75000
civ,1989,-75000
civ,1990,-75000
civ,1991,29632000
civ,1992,73541000
civ,1993,2721000
civ,1994,447755000
civ,1995,226219000
civ,1996,234771000
civ,1997,140064000
civ,1998,189742000
civ,1999,52793000
civ,2000,75392000
civ,2001,4996000
civ,2002,161187000
civ,2003,43681000
civ,2004,33074000
civ,2005,-22000
civ,2006,-11000
civ,2007,-15880000
civ,2008,-103551000
civ,2009,-27316000
civ,2010,-869000
civ,2011,-31674000
civ,2012,-28754000
civ,2013,50707000
civ,2014,81728000
civ,2015,164987000
civ,2016,140021000
civ,2017,205078000
civ,2018,115216000
civ,2019,222628000
civ,2020,509524000
cmr,1970,3593000
cmr,1971,2075000
cmr,1972,6243000
cmr,1973,9594000
cmr,1974,4020000
cmr,1975,15764000
cmr,1976,17894000
cmr,1977,20652000
cmr,1978,19134000
cmr,1979,19550000
cmr,1980,18660000
cmr,1981,26829000
cmr,1982,31873000
cmr,1983,11984000
cmr,1984,6701000
cmr,1985,3018000
cmr,1986,3033000
cmr,1987,4769000
cmr,1988,2437000
cmr,1989,-744000
cmr,1990,-2631000
cmr,1991,-3694000
cmr,1992,-1856000
cmr,1993,-5201000
cmr,1994,176102000
cmr,1995,31048000
cmr,1996,79566000
cmr,1997,114533000
cmr,1998,73730000
cmr,1999,59041000
cmr,2000,48695000
cmr,2001,12334000
cmr,2002,41842000
cmr,2003,29224000
cmr,2004,96876000
cmr,2005,18953000
cmr,2006,23558000
cmr,2007,19892000
cmr,2008,28748000
cmr,2009,46266000
cmr,2010,80580000
