geo,time,sn_itk_salt_zs
afg,2011,54.8
afg,2016,56.6
ago,2001,56.7
ago,2016,82.4
alb,2000,78.5
alb,2005,97.1
alb,2009,90.9
alb,2018,64.6
arm,2000,90.3
arm,2005,99.3
arm,2016,99.4
aze,2000,63.6
aze,2006,94.3
aze,2013,93.4
bdi,2000,71
bdi,2011,87.2
bdi,2017,89.4
ben,1996,73.8
ben,2001,79.8
ben,2006,79.3
ben,2012,89
ben,2014,69.2
ben,2018,84.8
bfa,2003,80.4
bfa,2006,51.1
bfa,2010,92.1
bgd,2006,84.3
bgd,2011,81.4
bgd,2013,72.6
bgd,2015,68.3
bgr,2012,91.9
blz,2016,84.9
bol,1994,82.9
bol,2000,84.5
bol,2004,88
bol,2008,85.4
bol,2016,85.7
bra,1996,92.9
bra,2007,98.4
brb,2012,36.8
bwa,2000,91.9
bwa,2008,82.6
caf,1995,22.7
caf,2000,86.6
caf,2006,77.6
caf,2011,77
caf,2012,84.3
chn,2010,96.4
chn,2011,96.8
chn,2014,96.3
civ,2000,68.8
civ,2012,81.8
civ,2016,79.7
cmr,1998,84.6
cmr,2000,90.8
cmr,2004,84.9
cmr,2006,83.6
cmr,2011,92
cmr,2014,86
cod,2001,77.1
cod,2007,78.8
cod,2010,73.3
cod,2014,82.3
cog,2005,86.7
cog,2012,89.8
cog,2015,91.1
com,2000,91
com,2012,82
cpv,2008,97.2
dji,2006,4.4
dom,2000,29.9
dza,2013,81.5
egy,2000,55.9
egy,2003,79.2
egy,2005,82.8
egy,2008,96.5
egy,2014,88.7
egy,2015,92.5
eri,2002,72.3
eri,2010,86.2
eth,2000,28.4
eth,2005,54.3
eth,2011,14.6
eth,2015,84.6
eth,2016,85.6
gab,2001,15.3
gab,2012,89.5
geo,2005,93.3
geo,2009,99.9
gha,1999,27.8
gha,2003,37.8
gha,2006,50.8
gha,2011,68
gha,2014,56.8
gha,2015,63.9
gin,1999,12.5
gin,2005,46.1
gin,2012,60.7
gin,2016,72.6
gmb,2000,37.2
gmb,2006,17
gmb,2010,52.4
gmb,2013,69.1
gnb,2000,7
gnb,2006,3.8
gnb,2010,26.3
gnb,2012,33.9
gnb,2014,25.7
gnq,2000,57.4
gtm,1995,91.5
gtm,1999,59
gtm,2009,88.2
guy,2009,19.7
guy,2014,42.8
hti,2000,23.1
hti,2006,10.1
hti,2012,15.9
hti,2017,7.5
idn,2013,91.9
ind,2000,71.5
ind,2006,75.4
ind,2015,94.5
ind,2016,92.7
irq,2000,52.2
irq,2006,54.5
irq,2011,54.5
irq,2018,68.3
jor,2000,88.3
kaz,1999,30.2
kaz,2006,95.5
kaz,2011,94.8
kaz,2015,94.4
ken,2000,95.7
ken,2009,95.5
ken,2014,94.6
kgz,2006,97
kgz,2012,96.1
kgz,2014,99.2
kgz,2018,98.7
khm,2000,13.8
khm,2006,71.7
khm,2011,81.7
khm,2014,68.2
lao,2000,91.5
lao,2006,83.8
lao,2012,79.5
lao,2017,93.6
lbn,2004,95.3
lbr,2011,94.1
lbr,2013,91
lby,2007,69.1
lca,2012,74.7
lka,2016,95.2
lso,2000,71.6
lso,2005,92.4
lso,2009,92.3
lso,2014,85
mar,2006,43.3
mda,2000,78.8
mda,2005,60.3
mda,2012,58
mdg,1997,79.2
mdg,2000,76.7
mdg,2004,71.4
mdg,2009,68.4
mdv,2008,96.7
mli,2001,67.7
mli,2006,86.2
mli,2010,81.1
mli,2015,90.3
mmr,2000,73.8
mmr,2016,80.9
mng,2000,49.8
mng,2005,83.1
mng,2010,81
mng,2013,79.8
mng,2016,79.9
moz,2003,53.7
moz,2008,58.4
moz,2011,42.5
mrt,2001,2
mrt,2007,5.2
mrt,2011,24.4
mrt,2015,7.6
mwi,2000,82
mwi,2006,76.8
mwi,2010,84.6
mwi,2014,77.8
mwi,2016,77.7
mys,2008,28.2
nam,2000,75.6
nam,2013,73.6
ner,1998,64.8
ner,2000,43.4
ner,2006,72.9
ner,2012,49.5
ner,2014,59.4
nga,2003,94.5
nga,2007,93
nga,2008,92.4
nga,2011,92.6
npl,1998,82.9
npl,2011,97.3
npl,2014,95.9
