global,time,sl_emp_self_fe_zs
world,1991,54.97703
world,1992,54.77572
world,1993,54.61068
world,1994,54.49783
world,1995,54.3102
world,1996,54.01873
world,1997,53.88608
world,1998,53.95218
world,1999,54.00023
world,2000,53.68917
world,2001,53.39983
world,2002,53.18565
world,2003,52.97484
world,2004,52.56227
world,2005,52.05626
world,2006,51.34635
world,2007,50.744
world,2008,50.20093
world,2009,50.04851
world,2010,49.53649
world,2011,48.82985
world,2012,48.05027
world,2013,47.64857
world,2014,47.15332
world,2015,46.79011
world,2016,46.43045
world,2017,46.11938
world,2018,45.74215
world,2019,45.41831
