geo,time,ny_gdp_mktp_pp_cd
abw,1990,1447708861.20673
abw,1991,1615844601.64351
abw,1992,1749884030.61462
abw,1993,1922269464.26791
abw,1994,2124386768.13186
abw,1995,2224178895.7504
abw,1996,2291759847.27755
abw,1997,2497125591.58529
abw,1998,2575533498.67338
abw,1999,2645065705.20619
abw,2000,2910162905.13092
abw,2001,2885630124.8218
abw,2002,2835314410.0219
abw,2003,2945022088.35996
abw,2004,3263578403.08735
abw,2005,3406102722.27756
abw,2006,3546046052.97751
abw,2007,3706854417.83276
abw,2008,3775529799.68399
abw,2009,3404108436.82609
abw,2010,3316870714.41778
abw,2011,3502845774.57458
abw,2012,3442855767.49202
abw,2013,3799467166.166
abw,2014,3816822068.4595
abw,2015,3893070716.59654
abw,2016,3941353654.93151
abw,2017,4098239741.2414
afg,2002,19821201272.7123
afg,2003,21972474901.6777
afg,2004,22883102406.97129
afg,2005,26245649893.4599
afg,2006,28488533288.0223
afg,2007,33298540656.4323
afg,2008,35278625599.7927
afg,2009,43151385722.0354
afg,2010,49924017476.7623
afg,2011,51184181904.42889
afg,2012,59667003515.1962
afg,2013,65039839448.5561
afg,2014,69058343420.1602
afg,2015,71831696727.80859
afg,2016,70097956089.28769
afg,2017,74711922906.37379
afg,2018,77415569869.81619
afg,2019,81879802965.493
afg,2020,80918342084.78641
ago,1990,38853486198.221
ago,1991,40565621895.643
ago,1992,39067768926.4374
ago,1993,30401925867.0135
ago,1994,31467023358.86
ago,1995,36945883949.3297
ago,1996,42718061571.3044
ago,1997,46644927780.4344
ago,1998,49382736263.9042
ago,1999,51188559061.9269
ago,2000,53931438611.886
ago,2001,57432494669.7672
ago,2002,66313630684.0612
ago,2003,69564636251.18851
ago,2004,79261910487.69438
ago,2005,94014137040.17139
ago,2006,108044190442.528
ago,2007,126490191862.25999
ago,2008,143349394242.91299
ago,2009,145682561883.685
ago,2010,153870650179.651
ago,2011,162538809184.16901
ago,2012,186124220333.29199
ago,2013,199865635605.06296
ago,2014,220364785384.76599
ago,2015,204603585194.55701
ago,2016,204874680466.819
ago,2017,217987314775.76199
ago,2018,218748623735.01199
ago,2019,221262824980.76697
ago,2020,211837324170.36401
alb,1990,8374478544.59225
alb,1991,6233346659.22129
alb,1992,5917192039.58383
alb,1993,6636506129.85337
alb,1994,7341010522.39282
alb,1995,8493445677.1662
alb,1996,9436013062.55441
alb,1997,8555908065.78459
alb,1998,9451419206.02876
alb,1999,10792624922.3438
alb,2000,11926129734.7085
alb,2001,13157356089.9326
alb,2002,14221986237.4723
alb,2003,15198230044.7357
alb,2004,16429415677.4264
alb,2005,17663280434.3643
alb,2006,19650777816.55289
alb,2007,21631651452.0414
alb,2008,24251525378.4462
alb,2009,25800311194.0603
alb,2010,28048669277.8213
alb,2011,29655555314.73709
alb,2012,30530372661.7234
alb,2013,30603912535.8345
alb,2014,32529194811.0951
alb,2015,33585844099.8588
alb,2016,34739972822.8228
alb,2017,36696816738.7391
alb,2018,38690677257.67889
alb,2019,39953038841.1362
alb,2020,38061506855.3053
are,1990,159388692522.004
are,1991,166196071082.63199
are,1992,175669385879.08099
are,1993,182101388798.47501
are,1994,198816173440.51801
are,1995,216560567676.24496
are,1996,233312694507.866
are,1997,256935657832.50101
are,1998,260586202744.866
are,1999,272020515374.32199
are,2000,308282993713.60797
are,2001,319452697780.72302
are,2002,332402388003.388
are,2003,368371884545.888
are,2004,414478037263.20001
are,2005,448139118339.61102
are,2006,507119701866.802
are,2007,537324819731.67694
are,2008,565260624034.39795
are,2009,539707783886.87695
are,2010,554748240651.42493
are,2011,605575063616.22998
are,2012,631707057954.974
are,2013,647295742436.97205
are,2014,678339276123.81006
are,2015,601179365119.06702
are,2016,598811161712.47998
are,2017,637384703409.74304
are,2018,660454237011.06604
are,2019,695178221906.91199
are,2020,660396841162.30701
arg,1990,234564125672.48999
arg,1991,264644000848.37399
arg,1992,292159264258.284
arg,1993,323630227657.508
arg,1994,349832146514.70801
arg,1995,347005607350.47302
arg,1996,372888233736.50293
arg,1997,410342067258.76306
arg,1998,430937274294.63098
arg,1999,422359326228.80402
arg,2000,428394155078.28497
arg,2001,418489172661.13202
arg,2002,378795278976.38397
arg,2003,419925810757.28601
arg,2004,470169433019.25897
arg,2005,527729109507.49103
arg,2006,587451576462.84204
arg,2007,657569211584.85596
arg,2008,697557858459.68994
arg,2009,661275816702.49805
arg,2010,736718360687.74683
arg,2011,797263881242.03711
arg,2012,819697901873.04102
arg,2013,849616000404.31702
arg,2014,839896688260.08606
arg,2015,867176759338.26196
arg,2016,885227528869.04895
arg,2017,1039330591568.54004
arg,2018,1036428172096.80005
arg,2019,1033557797795.68005
arg,2020,942508330081.91101
arm,1990,9808409249.40877
arm,1991,8953713983.52319
arm,1992,5329816706.49745
arm,1993,4976010199.69282
arm,1994,5356711773.86583
arm,1995,5846400147.93725
arm,1996,6302639313.86128
arm,1997,6628399563.03319
arm,1998,7192322810.54708
arm,1999,7536939292.96301
arm,2000,8160045754.95071
arm,2001,9139577172.24627
arm,2002,10509650580.8786
arm,2003,12203500269.3471
arm,2004,13847909043.5482
arm,2005,16264081042.8076
arm,2006,18968092453.3076
arm,2007,22146063400.512
arm,2008,24134635012.4078
arm,2009,20889699218.1128
arm,2010,21598045116.00389
arm,2011,23085520248.37009
arm,2012,27009096448.5442
arm,2013,28500152360.1441
arm,2014,29231468082.419
arm,2015,29166842740.5397
arm,2016,31429192104.4042
arm,2017,35676528915.4363
arm,2018,38432837649.8584
arm,2019,42091960116.6691
arm,2020,39446908401.983
atg,1990,724556100.71899
atg,1991,765362715.24175
atg,1992,791873242.80906
atg,1993,853444312.34522
atg,1994,929867748.18743
atg,1995,907977704.78355
atg,1996,985667483.48114
atg,1997,1058189112.69129
atg,1998,1120726980.9667
atg,1999,1179060284.10002
atg,2000,1280195144.17377
atg,2001,1248774864.26956
atg,2002,1281560907.27004
atg,2003,1384681527.42647
atg,2004,1503964936.73947
atg,2005,1651209567.74817
atg,2006,1917366845.05439
atg,2007,2152280699.07979
atg,2008,2193830738.54859
atg,2009,1946113356.08119
atg,2010,1814425571.79809
atg,2011,1816047262.12083
atg,2012,1771798543.10742
atg,2013,1720170788.92087
atg,2014,1762288334.80494
atg,2015,1769549897.41954
atg,2016,1882863521.88954
atg,2017,1893259104.10693
atg,2018,2072170136.49086
atg,2019,2211713927.44631
atg,2020,1786389668.67458
aus,1990,296371478762.32397
aus,1991,308043662757.57294
aus,1992,318664389750.26202
aus,1993,338491267934.47198
aus,1994,358779336153.12
aus,1995,378130489660.55103
aus,1996,403005180162.15198
aus,1997,425381557676.04303
aus,1998,453005215189.05493
aus,1999,478757083927.67603
aus,2000,504548948084.34802
aus,2001,532689376829.17902
aus,2002,565345793833.09998
aus,2003,593030336171.96106
aus,2004,632150539681.33118
aus,2005,665959595377.55396
