global,time,sh_h2o_basw_zs
world,2000,80.64495
world,2001,80.99896
world,2002,81.64209
world,2003,82.1445
world,2004,82.63799
world,2005,83.93292
world,2006,84.39386
world,2007,84.84728
world,2008,85.29208
world,2009,85.73293
world,2010,86.17072
world,2011,86.53055
world,2012,86.94938
world,2013,87.36487
world,2014,87.78018
world,2015,88.19046
world,2016,88.591
world,2017,88.94609
world,2018,89.32847
world,2019,89.69515
world,2020,90.03967
