global,time,sh_xpd_chex_pp_cd
world,2000,598.50013
world,2001,639.71966
world,2002,678.0507
world,2003,716.97759
world,2004,757.25097
world,2005,800.43089
world,2006,858.14017
world,2007,907.46836
world,2008,956.35935
world,2009,1014.74785
world,2010,1038.08451
world,2011,1083.64356
world,2012,1126.46855
world,2013,1177.09165
world,2014,1218.2062
world,2015,1257.44116
world,2016,1301.96972
world,2017,1345.74553
world,2018,1407.34012
world,2019,1466.82469
