geo,time,ic_isv_durs
afg,2007,2
afg,2008,2
afg,2009,2
afg,2010,2
afg,2011,2
afg,2012,2
afg,2013,2
afg,2014,2
afg,2015,2
afg,2016,2
afg,2017,2
afg,2018,2
afg,2019,2
alb,2003,2
alb,2004,2
alb,2005,2
alb,2006,2
alb,2007,2
alb,2008,2
alb,2009,2
alb,2010,2
alb,2011,2
alb,2012,2
alb,2013,2
alb,2014,2
alb,2015,2
alb,2016,2
alb,2017,2
alb,2018,2
alb,2019,2
are,2003,3.2
are,2004,3.2
are,2005,3.2
are,2006,3.2
are,2007,3.2
are,2008,3.2
are,2009,3.2
are,2010,3.2
are,2011,3.2
are,2012,3.2
are,2013,3.2
are,2014,3.2
are,2015,3.2
are,2016,3.2
are,2017,3.2
are,2018,3.2
are,2019,3.2
arg,2003,2.4
arg,2004,2.4
arg,2005,2.4
arg,2006,2.4
arg,2007,2.4
arg,2008,2.4
arg,2009,2.4
arg,2010,2.4
arg,2011,2.4
arg,2012,2.4
arg,2013,2.4
arg,2014,2.4
arg,2015,2.4
arg,2016,2.4
arg,2017,2.4
arg,2018,2.4
arg,2019,2.4
arm,2003,1.9
arm,2004,1.9
arm,2005,1.9
arm,2006,1.9
arm,2007,1.9
arm,2008,1.9
arm,2009,1.9
arm,2010,1.9
arm,2011,1.9
arm,2012,1.9
arm,2013,1.9
arm,2014,1.9
arm,2015,1.9
arm,2016,1.9
arm,2017,1.9
arm,2018,1.9
arm,2019,1.9
atg,2005,3
atg,2006,3
atg,2007,3
atg,2008,3
atg,2009,3
atg,2010,3
atg,2011,3
atg,2012,3
atg,2013,3
atg,2014,3
atg,2015,3
atg,2016,3
atg,2017,3
atg,2018,3
atg,2019,3
aus,2003,1
aus,2004,1
aus,2005,1
aus,2006,1
aus,2007,1
aus,2008,1
aus,2009,1
aus,2010,1
aus,2011,1
aus,2012,1
aus,2013,1
aus,2014,1
aus,2015,1
aus,2016,1
aus,2017,1
aus,2018,1
aus,2019,1
aut,2003,1.1
aut,2004,1.1
aut,2005,1.1
aut,2006,1.1
aut,2007,1.1
aut,2008,1.1
aut,2009,1.1
aut,2010,1.1
aut,2011,1.1
aut,2012,1.1
aut,2013,1.1
aut,2014,1.1
aut,2015,1.1
aut,2016,1.1
aut,2017,1.1
aut,2018,1.1
aut,2019,1.1
aze,2003,1.5
aze,2004,1.5
aze,2005,1.5
aze,2006,1.5
aze,2007,1.5
aze,2008,1.5
aze,2009,1.5
aze,2010,1.5
aze,2011,1.5
aze,2012,1.5
aze,2013,1.5
aze,2014,1.5
aze,2015,1.5
aze,2016,1.5
aze,2017,1.5
aze,2018,1.5
aze,2019,1.5
bdi,2005,5
bdi,2006,5
bdi,2007,5
bdi,2008,5
bdi,2009,5
bdi,2010,5
bdi,2011,5
bdi,2012,5
bdi,2013,5
bdi,2014,5
bdi,2015,5
bdi,2016,5
bdi,2017,5
bdi,2018,5
bdi,2019,5
bel,2003,0.9
bel,2004,0.9
bel,2005,0.9
bel,2006,0.9
bel,2007,0.9
bel,2008,0.9
bel,2009,0.9
bel,2010,0.9
bel,2011,0.9
bel,2012,0.9
bel,2013,0.9
bel,2014,0.9
bel,2015,0.9
bel,2016,0.9
bel,2017,0.9
bel,2018,0.9
bel,2019,0.9
ben,2003,4
ben,2004,4
ben,2005,4
ben,2006,4
ben,2007,4
ben,2008,4
ben,2009,4
ben,2010,4
ben,2011,4
ben,2012,4
ben,2013,4
ben,2014,4
ben,2015,4
ben,2016,4
ben,2017,4
ben,2018,4
ben,2019,4
bfa,2003,4
bfa,2004,4
bfa,2005,4
bfa,2006,4
bfa,2007,4
bfa,2008,4
bfa,2009,4
bfa,2010,4
bfa,2011,4
bfa,2012,4
bfa,2013,4
bfa,2014,4
bfa,2015,4
bfa,2016,4
bfa,2017,4
bfa,2018,4
bfa,2019,4
bgd,2013,4
bgd,2014,4
bgd,2015,4
bgd,2016,4
bgd,2017,4
bgd,2018,4
bgd,2019,4
bgr,2003,3.3
bgr,2004,3.3
bgr,2005,3.3
bgr,2006,3.3
bgr,2007,3.3
bgr,2008,3.3
bgr,2009,3.3
bgr,2010,3.3
bgr,2011,3.3
bgr,2012,3.3
bgr,2013,3.3
bgr,2014,3.3
bgr,2015,3.3
bgr,2016,3.3
bgr,2017,3.3
bgr,2018,3.3
bgr,2019,3.3
bhr,2007,2.5
bhr,2008,2.5
bhr,2009,2.5
bhr,2010,2.5
bhr,2011,2.5
bhr,2012,2.5
bhr,2013,2.5
bhr,2014,2.5
bhr,2015,2.5
bhr,2016,2.5
bhr,2017,2.5
bhr,2018,2.5
bhr,2019,2.5
bhs,2007,3
bhs,2008,3
bhs,2009,3
bhs,2010,3
bhs,2011,3
bhs,2012,3
bhs,2013,3
bhs,2014,3
bhs,2015,3
bhs,2016,3
bhs,2017,3
bhs,2018,3
bhs,2019,3
bih,2003,3.3
bih,2004,3.3
bih,2005,3.3
bih,2006,3.3
bih,2007,3.3
bih,2008,3.3
bih,2009,3.3
bih,2010,3.3
bih,2011,3.3
bih,2012,3.3
bih,2013,3.3
bih,2014,3.3
bih,2015,3.3
bih,2016,3.3
bih,2017,3.3
bih,2018,3.3
bih,2019,3.3
blr,2003,5.8
blr,2004,5.8
blr,2005,5.8
blr,2006,5.8
blr,2007,5.8
blr,2008,5.8
blr,2009,5.8
blr,2010,3
blr,2011,3
blr,2012,3
blr,2013,3
blr,2014,3
blr,2015,3
blr,2016,1.5
blr,2017,1.5
blr,2018,1.5
blr,2019,1.5
blz,2005,2
blz,2006,2
blz,2007,2
blz,2008,2
blz,2009,2
blz,2010,2
blz,2011,2
blz,2012,2
blz,2013,2
blz,2014,2
blz,2015,2
blz,2016,2
blz,2017,2
blz,2018,2
blz,2019,2
bol,2003,1.8
bol,2004,1.8
bol,2005,1.8
bol,2006,1.8
bol,2007,1.8
bol,2008,1.8
bol,2009,1.8
bol,2010,1.8
bol,2011,1.8
bol,2012,1.8
bol,2013,1.8
bol,2014,1.8
bol,2015,1.8
bol,2016,1.8
bol,2017,1.8
bol,2018,1.8
bol,2019,1.8
bra,2013,4
bra,2014,4
bra,2015,4
bra,2016,4
bra,2017,4
bra,2018,4
bra,2019,4
brb,2011,1.8
brb,2012,1.8
brb,2013,1.8
brb,2014,1.8
brb,2015,1.8
brb,2016,1.8
brb,2017,1.8
brb,2018,1.8
brb,2019,1.8
brn,2006,2.5
brn,2007,2.5
brn,2008,2.5
brn,2009,2.5
brn,2010,2.5
brn,2011,2.5
brn,2012,2.5
brn,2013,2.5
brn,2014,2.5
brn,2015,2.5
brn,2016,2.5
brn,2017,2.5
brn,2018,2.5
brn,2019,2.5
bwa,2003,2.2
bwa,2004,2.2
bwa,2005,2.2
bwa,2006,1.7
bwa,2007,1.7
bwa,2008,1.7
bwa,2009,1.7
bwa,2010,1.7
bwa,2011,1.7
bwa,2012,1.7
bwa,2013,1.7
bwa,2014,1.7
bwa,2015,1.7
bwa,2016,1.7
bwa,2017,1.7
bwa,2018,1.7
bwa,2019,1.7
caf,2003,4.8
caf,2004,4.8
caf,2005,4.8
caf,2006,4.8
caf,2007,4.8
caf,2008,4.8
caf,2009,4.8
caf,2010,4.8
caf,2011,4.8
caf,2012,4.8
caf,2013,4.8
caf,2014,4.8
caf,2015,4.8
caf,2016,4.8
caf,2017,4.8
caf,2018,4.8
caf,2019,4.8
can,2003,0.8
can,2004,0.8
can,2005,0.8
can,2006,0.8
can,2007,0.8
can,2008,0.8
can,2009,0.8
can,2010,0.8
can,2011,0.8
can,2012,0.8
can,2013,0.8
can,2014,0.8
can,2015,0.8
can,2016,0.8
can,2017,0.8
can,2018,0.8
can,2019,0.8
che,2003,3
che,2004,3
che,2005,3
che,2006,3
che,2007,3
che,2008,3
che,2009,3
che,2010,3
che,2011,3
che,2012,3
che,2013,3
che,2014,3
che,2015,3
che,2016,3
che,2017,3
che,2018,3
che,2019,3
chl,2003,5.6
chl,2004,5.6
chl,2005,5.6
chl,2006,3.2
chl,2007,3.2
chl,2008,3.2
chl,2009,3.2
chl,2010,3.2
chl,2011,3.2
chl,2012,3.2
chl,2013,3.2
chl,2014,3.2
chl,2015,3.2
chl,2016,3.2
chl,2017,2
chl,2018,2
chl,2019,2
chn,2013,1.7
chn,2014,1.7
chn,2015,1.7
chn,2016,1.7
chn,2017,1.7
chn,2018,1.7
chn,2019,1.7
civ,2003,2.2
civ,2004,2.2
civ,2005,2.2
civ,2006,2.2
civ,2007,2.2
civ,2008,2.2
civ,2009,2.2
civ,2010,2.2
civ,2011,2.2
civ,2012,2.2
civ,2013,2.2
civ,2014,2.2
civ,2015,2.2
civ,2016,2.2
civ,2017,2.2
civ,2018,2.2
civ,2019,2.2
cmr,2003,3.2
cmr,2004,3.2
cmr,2005,3.2
cmr,2006,3.2
cmr,2007,3.2
cmr,2008,3.2
cmr,2009,3.2
cmr,2010,3.2
cmr,2011,3.2
cmr,2012,3.2
cmr,2013,2.8
cmr,2014,2.8
cmr,2015,2.8
cmr,2016,2.8
cmr,2017,2.8
cmr,2018,2.8
cmr,2019,2.8
cog,2003,3.3
cog,2004,3.3
cog,2005,3.3
cog,2006,3.3
cog,2007,3.3
cog,2008,3.3
cog,2009,3.3
cog,2010,3.3
cog,2011,3.3
cog,2012,3.3
cog,2013,3.3
cog,2014,3.3
cog,2015,3.3
cog,2016,3.3
cog,2017,3.3
cog,2018,3.3
cog,2019,3.3
col,2003,3
col,2004,3
col,2005,3
col,2006,3
col,2007,3
col,2008,3
col,2009,3
col,2010,3
col,2011,1.7
col,2012,1.7
col,2013,1.7
col,2014,1.7
col,2015,1.7
col,2016,1.7
col,2017,1.7
col,2018,1.7
col,2019,1.7
cri,2003,3.5
cri,2004,3.5
cri,2005,3.5
cri,2006,3.5
cri,2007,3.5
cri,2008,3.5
cri,2009,3.5
cri,2010,3.5
