global,time,se_pre_enrr_fe
world,1970,15.41179
world,1971,15.15412
world,1972,14.93687
world,1973,14.94424
world,1974,15.19012
world,1975,15.75643
world,1976,17.47492
world,1977,20.42363
world,1978,19.30928
world,1979,19.56351
world,1980,20.58597
world,1981,21.95684
world,1982,22.38364
world,1983,23.35268
world,1984,24.28439
world,1985,25.191
world,1986,26.58243
world,1987,27.77438
world,1988,28.23206
world,1989,28.11327
world,1990,27.99738
world,1991,28.14166
world,1992,28.30205
world,1993,28.38394
world,1994,28.27011
world,1995,28.75903
world,1996,29.3712
world,1997,27.82394
world,1998,30.94455
world,1999,31.61795
world,2000,32.45533
world,2001,33.23698
world,2002,33.26397
world,2003,34.08131
world,2004,35.33062
world,2005,37.25424
world,2006,39.28093
world,2007,40.65655
world,2008,42.29742
world,2009,43.85543
world,2010,46.01653
world,2011,48.85482
world,2012,52.00288
world,2013,54.00247
world,2014,54.02963
world,2015,55.86142
world,2016,57.52034
world,2017,59.14098
world,2018,59.94215
world,2019,60.53505
world,2020,60.48721
