geo,time,tm_tax_manf_wm_fn_zs
abw,2011,10.93
abw,2012,10.95
abw,2013,10.95
abw,2015,11.09
abw,2016,11.3
abw,2017,11.33
abw,2018,11.4
abw,2019,11.4
afg,2004,4.53
afg,2006,9.48
afg,2007,9.48
afg,2008,6.01
afg,2012,6.22
afg,2013,6.22
afg,2018,6.52
ago,2002,5.87
ago,2004,4.55
ago,2005,5.7
ago,2006,5.7
ago,2008,6.24
ago,2009,6.24
ago,2010,6.04
ago,2011,5.44
ago,2012,5.73
ago,2013,5.18
ago,2014,8.39
ago,2015,7.11
ago,2016,7.11
ago,2018,6.88
ago,2019,5.34
ago,2020,7.3
alb,1997,15.2
alb,2000,12.05
alb,2001,11.6
alb,2002,8.66
alb,2003,8.44
alb,2004,7.49
alb,2005,7.64
alb,2006,6.72
alb,2007,6.15
alb,2008,5.25
alb,2009,4.72
alb,2010,4.82
alb,2011,4.66
alb,2012,2.92
alb,2013,2.95
alb,2014,2.81
alb,2015,2.77
alb,2016,2.91
alb,2017,2.56
alb,2018,2.61
alb,2019,2.61
alb,2020,2.76
are,2005,4.91
are,2007,4.43
are,2008,4.44
are,2009,4.44
are,2011,4.44
are,2012,3.72
are,2013,3.83
are,2014,3.71
are,2015,3.46
are,2016,3.63
are,2017,3.69
are,2018,3.26
are,2019,3.52
are,2020,3.54
arg,1992,13.73
arg,1993,13.58
arg,1995,12.16
arg,1996,14.42
arg,1997,14.92
arg,1998,16.49
arg,1999,15.42
arg,2000,15.31
arg,2001,14.29
arg,2002,13.12
arg,2003,14.05
arg,2004,13.18
arg,2005,12.83
arg,2006,13.02
arg,2007,13.5
arg,2008,11.79
arg,2009,13.49
arg,2010,14.09
arg,2011,14.3
arg,2012,14.14
arg,2013,13.27
arg,2014,13.84
arg,2015,13.25
arg,2016,13.74
arg,2017,16.58
arg,2018,13.87
arg,2019,12.66
arg,2020,12.16
arm,2001,1.55
arm,2003,1.76
arm,2004,2.09
arm,2005,1.92
arm,2006,2.43
arm,2007,2.25
arm,2008,2.82
arm,2009,2.18
arm,2010,2.47
arm,2011,2.89
arm,2012,3.31
arm,2013,3.19
arm,2014,3.28
arm,2015,4.9
arm,2016,3.84
arm,2017,3.6
arm,2019,5.78
arm,2020,5
atg,1996,25.08
atg,1999,22.19
atg,2000,15.39
atg,2001,12.49
atg,2002,12.49
atg,2003,13.92
atg,2004,13.91
atg,2005,13.91
atg,2006,12.35
atg,2007,14.26
atg,2008,13.64
atg,2009,14.08
atg,2010,14.83
atg,2011,14.83
atg,2012,15.09
atg,2013,15.16
atg,2014,14.88
atg,2015,14.9
atg,2016,14.26
atg,2017,13.51
atg,2018,16.21
atg,2019,13.73
atg,2020,13.73
aus,1991,11.88
aus,1993,11.52
aus,1996,6.73
aus,1997,6.84
aus,1998,6.65
aus,1999,6.15
aus,2000,5.93
aus,2001,5.76
aus,2002,4.6
aus,2003,4.71
aus,2004,4.67
aus,2005,3.9
aus,2006,5.16
aus,2007,5.35
aus,2008,5.11
aus,2009,5.07
aus,2010,4.6
aus,2011,3.2
aus,2012,3.32
aus,2013,3.4
aus,2014,3.4
aus,2015,3.22
aus,2016,3.19
aus,2017,3.19
aus,2018,3.22
aus,2019,3.02
aus,2020,3
aut,1988,5.84
aut,1989,5.8
aut,1990,7.59
aut,1991,6.79
aut,1992,7.15
aut,1993,7.01
aut,1994,6.82
aut,1995,6.4
aut,1996,5.03
aut,1997,5.06
aut,1998,4.11
aut,1999,3.66
aut,2000,3.42
aut,2001,3.64
aut,2002,3.86
aut,2003,3.82
aut,2004,3.56
aut,2005,3.53
aut,2006,3.49
aut,2007,3.36
aut,2008,3.36
aut,2009,3.39
aut,2010,3.38
aut,2011,3.42
aut,2012,3.36
aut,2013,3.39
aut,2014,3.42
aut,2015,3.43
aut,2016,3.39
aut,2017,3.47
aut,2018,3.42
aut,2019,3.39
aut,2020,3.23
aze,2002,7.42
aze,2005,6.1
aze,2007,5.67
aze,2008,5.53
aze,2009,5.88
aze,2011,5.38
aze,2012,6.19
aze,2013,6.19
aze,2014,6.23
aze,2015,6.31
aze,2019,8.29
aze,2020,7.81
bdi,2002,20.23
bdi,2003,20.32
bdi,2005,19.74
bdi,2006,15.89
bdi,2007,14.1
bdi,2008,13.59
bdi,2009,14.91
bdi,2010,14.91
bdi,2011,11.67
bdi,2012,10.73
bdi,2013,10.76
bdi,2014,10.52
bdi,2015,8.86
bdi,2016,9.02
bdi,2018,10.36
bdi,2019,8.07
bdi,2020,10.77
bel,1988,5.84
bel,1989,5.8
bel,1990,7.59
bel,1991,6.79
bel,1992,7.15
bel,1993,7.01
bel,1994,6.82
bel,1995,6.4
bel,1996,5.03
bel,1997,5.06
bel,1998,4.11
bel,1999,3.66
bel,2000,3.42
bel,2001,3.64
bel,2002,3.86
bel,2003,3.82
bel,2004,3.56
bel,2005,3.53
bel,2006,3.49
bel,2007,3.36
bel,2008,3.36
bel,2009,3.39
bel,2010,3.38
bel,2011,3.42
bel,2012,3.36
bel,2013,3.39
bel,2014,3.42
bel,2015,3.43
bel,2016,3.39
bel,2017,3.47
bel,2018,3.42
bel,2019,3.39
bel,2020,3.23
ben,2001,12.44
ben,2002,12.47
ben,2003,13.56
ben,2004,13.56
ben,2005,13.52
ben,2006,13.57
ben,2007,11.44
ben,2008,11.44
ben,2009,11.44
ben,2010,11.44
ben,2011,11.44
ben,2012,11.44
ben,2013,11.44
ben,2014,10.47
ben,2015,11.52
ben,2016,11.25
ben,2017,13.83
ben,2018,12.88
ben,2019,9.74
