geo,time,se_prm_oenr_zs
bel,1981,5.79967
bel,1982,5.11388
bel,1983,5.30543
bel,1984,4.98891
bel,1985,4.85286
bel,1986,4.23532
bel,1987,3.9816
bel,1988,3.92292
bel,1991,3.47053
bel,1992,3.56954
bel,1993,4.43476
bel,1994,4.47066
bel,1995,4.39651
bel,1996,4.16629
bel,1999,3.98094
bel,2000,3.93387
bel,2001,4.01288
bel,2002,4.10687
bel,2003,4.27382
bel,2004,4.43883
bel,2005,4.49471
bel,2006,4.43049
bel,2007,4.2827
bel,2008,4.29779
bel,2009,4.35263
bel,2010,4.38108
bel,2011,4.29923
bel,2012,4.28815
bel,2013,5.72777
bel,2014,5.06187
bel,2015,4.78887
bel,2016,4.70761
bel,2017,4.81181
ben,1984,19.93849
ben,1985,18.51262
ben,1986,19.09209
ben,1988,18.23011
ben,1989,17.06515
ben,1990,20.89956
ben,1992,17.48172
ben,1993,17.39276
ben,1994,16.54924
ben,1995,16.69361
ben,1996,16.16731
ben,1997,15.73832
ben,2003,12.56116
ben,2004,12.56108
ben,2005,14.43944
ben,2006,11.4644
ben,2008,11.15563
ben,2009,9.88909
ben,2010,9.51117
ben,2011,9.44335
ben,2012,8.87161
ben,2013,9.05616
ben,2014,7.69632
ben,2017,9.24437
ben,2018,7.87445
bfa,1971,12.14796
bfa,1972,12.04405
bfa,1977,12.81436
bfa,1978,13.57816
bfa,1979,13.67729
bfa,1980,14.00862
bfa,1981,13.57772
bfa,1982,12.74331
bfa,1983,13.43266
bfa,1984,13.74218
bfa,1985,12.28311
bfa,1986,11.91534
bfa,1987,13.36223
bfa,1988,12.10929
bfa,1989,12.32947
bfa,1991,14.07911
bfa,1992,13.84664
bfa,1993,13.02902
bfa,1994,12.66982
bfa,1995,12.31738
bfa,1998,16.8693
bfa,1999,14.79349
bfa,2000,11.48646
bfa,2001,10.01108
bfa,2002,9.78376
bfa,2003,10.87102
bfa,2004,8.9498
bfa,2005,8.10647
bfa,2006,7.97327
bfa,2007,7.72018
bfa,2008,7.98794
bfa,2009,9.75099
bfa,2010,22.34017
bfa,2011,20.47168
bfa,2012,20.59713
bfa,2013,20.95919
bfa,2014,21.1202
bfa,2015,20.23561
bfa,2016,15.26894
bfa,2017,15.82198
bfa,2018,15.78314
bgd,1983,5.34894
bgd,2005,3.5247
bgd,2006,3.5247
bgd,2008,5.2039
bgd,2009,9.0404
bgd,2010,9.0404
bgr,1996,4.49823
bgr,1997,4.73471
bgr,1998,4.9155
bgr,1999,5.13594
bgr,2000,5.49639
bgr,2001,6.12243
bgr,2002,6.48512
bgr,2003,6.58227
bgr,2004,6.45788
bgr,2005,6.45135
bgr,2006,6.05358
bgr,2007,4.72001
bgr,2008,3.81993
bgr,2009,3.23516
bgr,2010,2.42721
bgr,2011,2.2808
bgr,2012,2.234
bgr,2013,2.28127
bgr,2014,2.1492
bgr,2015,2.01419
bgr,2016,1.8632
bgr,2017,1.56898
bhr,1971,28.15995
bhr,1972,27.77904
bhr,1973,28.27782
bhr,1974,27.52756
bhr,1975,25.98658
bhr,1976,26.88544
bhr,1977,25.4738
bhr,1978,26.04369
bhr,1979,25.96968
bhr,1980,24.30556
bhr,1981,22.60015
bhr,1982,23.10844
bhr,1983,20.18838
bhr,1984,17.62016
bhr,1985,15.68221
bhr,1986,12.48735
bhr,1987,12.40254
bhr,1988,10.62454
bhr,1989,10.19959
bhr,1991,8.08745
bhr,1992,7.97523
bhr,1993,6.57203
bhr,1994,6.09817
bhr,1995,5.72799
bhr,1996,4.9858
bhr,1997,5.08809
bhr,1998,5.23914
bhr,1999,4.95269
bhr,2000,5.59187
bhr,2001,5.27409
bhr,2002,5.05447
bhr,2003,4.886
bhr,2004,4.49775
bhr,2005,4.38901
bhr,2006,5.93952
bhr,2011,2.8526
bhr,2012,2.69461
bhr,2013,3.2878
bhr,2014,3.08075
bhr,2015,2.51678
bhr,2016,2.92657
bhr,2017,2.80603
bhr,2018,2.66513
bhs,1992,6.28034
bhs,1993,6.82843
bhs,1999,6.32031
bhs,2004,9.31799
bhs,2005,9.92443
bhs,2006,9.84104
bhs,2007,11.42988
bhs,2008,11.22906
bhs,2009,10.41159
bhs,2010,9.3475
bhs,2011,9.01587
bhs,2012,10.46583
bhs,2013,8.99112
bhs,2014,9.1689
bhs,2015,7.26489
bhs,2016,7.39194
bhs,2018,8.52427
bih,2009,20.01417
bih,2010,2.82477
bih,2011,2.32086
bih,2012,2.18821
bih,2013,2.36575
bih,2014,2.64124
bih,2015,3.58116
bih,2016,3.45321
bih,2017,3.78801
bih,2018,3.85055
blr,1995,10.19959
blr,2001,14.35114
blr,2002,14.35697
blr,2003,5.97911
blr,2004,5.81962
blr,2005,5.51377
blr,2006,5.15234
blr,2007,4.60645
blr,2008,4.22049
blr,2009,4.78611
blr,2010,5.0171
blr,2011,5.07234
blr,2012,5.1464
blr,2013,5.06391
blr,2014,5.2798
blr,2015,5.22825
blr,2016,4.94145
blr,2017,5.25578
blr,2018,5.54387
blz,1999,14.24853
blz,2000,14.51951
blz,2001,14.5162
blz,2003,13.40412
blz,2004,13.03984
blz,2005,12.90823
blz,2006,12.66093
blz,2007,12.52457
blz,2008,11.51287
blz,2009,11.29415
blz,2010,10.71795
blz,2011,9.97116
blz,2012,10.46917
blz,2013,9.83395
blz,2014,8.8826
blz,2015,8.95299
blz,2016,8.79751
blz,2017,8.82319
blz,2018,8.66165
bmu,1978,1.48469
bmu,1984,4.53888
bmu,1985,2.90848
bmu,2005,0.04202
bmu,2011,0.92017
bmu,2012,0.4981
bol,1998,12.5633
bol,1999,13.08767
bol,2000,14.39381
bol,2001,14.07655
bol,2002,13.87606
bol,2003,12.81144
bol,2004,12.28248
bol,2005,11.75314
bol,2006,11.77567
bol,2007,12.37565
bol,2008,14.12136
bol,2009,8.45236
bol,2010,9.59029
bol,2011,9.04307
bol,2012,11.43574
bol,2013,10.7151
bol,2014,9.85459
bol,2015,8.90876
bol,2016,7.96735
bol,2017,6.77885
bol,2018,5.37532
bra,1970,38.04833
bra,1999,36.39413
bra,2000,34.81253
bra,2001,32.33824
bra,2002,29.57802
bra,2003,26.92677
bra,2004,24.65595
bra,2005,23.67038
bra,2007,23.10329
