global,time,sl_ind_empl_zs
world,1991,21.87659
world,1992,21.75258
world,1993,21.74609
world,1994,21.69354
world,1995,21.58091
world,1996,21.58399
world,1997,21.47003
world,1998,21.16786
world,1999,20.92701
world,2000,20.73336
world,2001,20.63837
world,2002,20.31248
world,2003,20.35298
world,2004,20.69369
world,2005,21.12578
world,2006,21.63991
world,2007,22.20716
world,2008,22.26121
world,2009,22.19311
world,2010,22.48957
world,2011,22.86309
world,2012,23.31087
world,2013,23.27673
world,2014,23.30456
world,2015,23.13706
world,2016,23.01598
world,2017,22.86859
world,2018,22.9461
world,2019,22.68913
