geo,time,sh_sgr_irsk_zs
ago,2003,49.5
ago,2004,50.4
ago,2005,47.9
ago,2006,46.7
ago,2007,45.3
ago,2008,33.1
ago,2009,30.8
ago,2010,31.2
ago,2011,30
ago,2012,27.1
ago,2013,26.5
ago,2014,24.4
ago,2015,25.8
ago,2016,25
ago,2017,25.1
ago,2018,36.5
ago,2019,36.6
ago,2020,39
are,2014,0.2
are,2015,0.3
are,2016,0.4
are,2017,0.3
are,2018,0.3
are,2019,0.2
are,2020,0.1
arg,2003,16.3
arg,2004,12.3
arg,2005,11.6
arg,2006,9.5
arg,2007,8.3
arg,2008,6.4
arg,2009,6.1
arg,2010,5.5
arg,2011,3.9
arg,2012,3.4
arg,2013,3.1
arg,2014,3.8
arg,2015,3.6
arg,2016,3.8
arg,2017,3.1
arg,2018,3.6
arg,2019,3.8
arg,2020,4.3
arm,2003,15.7
arm,2004,16.5
arm,2005,12.6
arm,2006,5.6
arm,2007,5.9
arm,2008,3.9
arm,2009,4.1
arm,2010,5.3
arm,2011,3.9
arm,2012,3.2
arm,2013,4.1
arm,2014,4.5
arm,2015,6.4
arm,2016,6.2
arm,2017,5.7
arm,2018,5.5
arm,2019,4.6
arm,2020,3.5
aus,2003,0.1
aus,2004,0
aus,2005,0
aus,2006,0
aus,2007,0
aus,2008,0.1
aus,2009,0.1
aus,2010,0.1
aus,2011,0.1
aus,2012,0.1
aus,2013,0.1
aus,2014,0
aus,2015,0
aus,2016,0
aus,2017,0
aus,2018,0
aus,2019,0
aus,2020,0
aut,2003,0
aut,2004,0
aut,2005,0
aut,2006,0
aut,2007,0
aut,2008,0
aut,2009,0
aut,2010,0
aut,2011,0
aut,2012,0
aut,2013,0
aut,2014,0
aut,2015,0
aut,2016,0
aut,2017,0
aut,2018,0
aut,2019,0
aut,2020,0
aze,2003,44.1
aze,2004,40.8
aze,2005,33.8
aze,2006,23.3
aze,2007,12.4
aze,2008,11.8
aze,2009,8.8
aze,2010,14.4
aze,2011,9.4
aze,2012,7.3
aze,2013,8.7
aze,2014,7.9
aze,2015,8.2
aze,2016,7.7
aze,2017,7.8
aze,2018,7.4
aze,2019,6.9
aze,2020,6.3
bdi,2003,98.4
bdi,2004,98.5
bdi,2005,98.7
bdi,2006,99.3
bdi,2007,99
bdi,2008,98.9
bdi,2009,98.7
bdi,2010,99
bdi,2011,99
bdi,2012,98.9
bdi,2013,97.4
bdi,2014,97
bdi,2015,97.4
bdi,2016,97.7
bdi,2017,98.2
bdi,2018,98.4
bdi,2019,98.2
bel,2003,0
bel,2004,0
bel,2005,0
bel,2006,0
bel,2007,0
bel,2008,0
bel,2009,0
bel,2010,0
bel,2011,0
bel,2012,0
bel,2013,0
bel,2014,0
bel,2015,0
bel,2016,0
bel,2017,0
bel,2018,0
bel,2019,0
bel,2020,0
ben,2003,44.8
ben,2004,44.6
ben,2005,43.2
ben,2006,43.8
ben,2007,42
ben,2008,42.6
ben,2009,41.3
ben,2010,41.4
ben,2011,44.3
ben,2012,46.4
ben,2013,45.6
ben,2014,44.9
ben,2015,45.8
ben,2016,47.7
ben,2017,46.6
ben,2018,47.3
ben,2019,47
ben,2020,46
bfa,2003,74.8
bfa,2004,72.1
bfa,2005,71.3
bfa,2006,69.7
bfa,2007,67.9
bfa,2008,66.4
bfa,2009,67.1
bfa,2010,65.1
bfa,2011,64.3
bfa,2012,62.5
bfa,2013,60.4
bfa,2014,60.2
bfa,2015,58.7
bfa,2016,58.4
bfa,2017,59
bfa,2018,58.7
bfa,2019,57.1
bfa,2020,54.2
bgd,2003,79.8
bgd,2004,80.6
bgd,2005,77.1
bgd,2006,77
bgd,2007,71.9
bgd,2008,69.1
bgd,2009,69.3
bgd,2010,68.9
bgd,2011,64.9
bgd,2012,65.3
bgd,2013,62.7
bgd,2014,61.1
bgd,2015,57.8
bgd,2016,56.8
bgd,2017,54.5
bgd,2018,48.7
bgd,2019,45.8
bgd,2020,43.8
bgr,2006,3.5
bgr,2007,3.2
bgr,2008,1.6
bgr,2009,2
bgr,2010,2.9
bgr,2011,2.2
bgr,2012,2.9
bgr,2013,3
bgr,2014,3.2
bgr,2015,3.5
bgr,2016,4.8
bgr,2017,3.9
bgr,2018,3.8
bgr,2019,3.4
bgr,2020,3.2
bih,2007,2.4
bih,2008,2.2
bih,2009,2.2
bih,2010,2.1
bih,2011,2.1
bih,2012,2.2
bih,2013,2
bih,2014,1.8
bih,2015,1.6
bih,2016,1.6
bih,2017,1.5
bih,2018,1.3
bih,2019,1.2
bih,2020,1.2
blr,2003,8.4
blr,2004,5.2
blr,2005,4.8
blr,2006,4
blr,2007,3.3
blr,2008,1.7
blr,2009,2
blr,2010,1.8
blr,2011,1.1
blr,2012,0.7
blr,2013,0.5
blr,2014,0.5
blr,2015,0.4
blr,2016,0.3
blr,2017,0.3
blr,2018,0.2
blr,2019,0.1
blr,2020,0.1
blz,2003,20
blz,2004,20.9
blz,2005,20.6
blz,2006,20.8
blz,2007,21.3
blz,2008,22.5
blz,2009,21.9
blz,2010,21.6
blz,2011,20.9
blz,2012,22.5
blz,2013,21
blz,2014,22.1
blz,2015,21.7
blz,2016,19.9
blz,2017,21.5
blz,2018,22.4
blz,2019,22.5
blz,2020,23.2
bol,2003,54.2
bol,2004,51.6
bol,2005,53
bol,2006,51.9
bol,2007,49.7
bol,2008,44.5
bol,2009,43
bol,2010,42.2
bol,2011,38.8
bol,2012,37.7
bol,2013,38.7
bol,2014,36.6
bol,2015,34.6
bol,2016,31.6
bol,2017,28.7
bol,2018,27.6
bol,2019,25.9
bol,2020,11.1
bra,2003,20.5
bra,2004,20.8
bra,2005,19.4
bra,2006,19.2
bra,2007,17.3
bra,2008,15.4
bra,2009,14.6
bra,2010,13.9
bra,2011,12.9
bra,2012,13.1
bra,2013,12.2
bra,2014,11
bra,2015,11.8
bra,2016,13.3
bra,2017,13.3
bra,2018,13.3
bra,2019,13.4
bra,2020,13.4
btn,2003,30.3
btn,2004,25.8
btn,2005,24.8
btn,2006,18.9
btn,2007,30.2
btn,2008,33.8
btn,2009,29.8
btn,2010,29.1
btn,2011,25.9
btn,2012,29.4
btn,2013,15.7
btn,2014,16.5
btn,2015,15.2
btn,2016,16.5
btn,2017,12.7
btn,2018,10.3
btn,2019,8.2
btn,2020,6.7
bwa,2003,41.3
bwa,2004,40.9
bwa,2005,40.6
bwa,2006,40.2
bwa,2007,37.5
bwa,2008,35.2
bwa,2009,29.3
bwa,2010,27.6
bwa,2011,26.9
bwa,2012,26.8
bwa,2013,26
bwa,2014,26
bwa,2015,17.2
bwa,2016,17.4
bwa,2017,16.3
bwa,2018,16.6
bwa,2019,16
bwa,2020,6.5
caf,2007,75
can,2003,0
can,2004,0
can,2005,0
can,2006,0
can,2007,0
can,2008,0
can,2009,0
can,2010,0
can,2011,0
can,2012,0
can,2013,0
can,2014,0
can,2015,0
can,2016,0
can,2017,0
can,2018,0
can,2019,0
can,2020,0
che,2003,0
che,2004,0
che,2005,0
che,2006,0.1
che,2007,0.1
che,2008,0.1
che,2009,0
che,2010,0
che,2011,0
che,2012,0
che,2013,0
che,2014,0
che,2015,0
che,2016,0
che,2017,0
che,2018,0
che,2019,0
che,2020,0
chl,2003,13.5
chl,2004,12.9
chl,2005,12.3
chl,2006,8.5
chl,2007,7.7
chl,2008,10.6
chl,2009,6.7
chl,2010,6.5
chl,2011,5.2
chl,2012,4.9
chl,2013,4.6
chl,2014,4.5
chl,2015,3.7
chl,2016,3.6
chl,2017,3.4
chl,2018,3.4
chl,2019,7.9
chl,2020,8.5
chn,2003,50.3
chn,2004,47
chn,2005,43.4
chn,2006,40.3
chn,2007,36.6
chn,2008,35.1
chn,2009,30.8
chn,2010,28.1
chn,2011,23.9
chn,2012,20.6
chn,2013,15.1
chn,2014,14.2
chn,2015,11.4
chn,2016,10.2
chn,2017,9.3
chn,2018,7.4
chn,2019,6.7
chn,2020,6.1
civ,2007,48.2
cmr,2003,47.1
cmr,2004,46.3
cmr,2005,46.8
cmr,2006,45.3
cmr,2007,44.6
cmr,2008,44.8
cmr,2009,44.8
cmr,2010,45.3
cmr,2011,44.9
cmr,2012,43.9
cmr,2013,43
cmr,2014,44.1
cmr,2015,43.8
cmr,2018,44.4
cmr,2019,41.8
cmr,2020,39.3
cod,2004,93.1
cod,2005,92.5
cod,2006,90.9
cod,2007,92.1
cod,2008,91.6
cod,2009,91.7
cod,2010,89.9
cod,2011,92.7
cod,2012,90
cod,2013,87.3
cod,2014,87
cod,2015,85.8
cod,2016,84.5
cod,2017,85.8
cod,2018,86.8
cod,2019,85.4
cod,2020,84.4
cog,2005,54.5
cog,2006,51.1
cog,2007,49.4
cog,2008,42.1
cog,2009,42.5
cog,2010,37.5
cog,2011,41.8
cog,2012,51.4
cog,2013,43.6
cog,2014,48.6
cog,2015,46.1
cog,2016,44.1
cog,2017,57.2
cog,2018,66.3
cog,2019,67.9
cog,2020,66.7
col,2003,20.3
col,2004,22.2
col,2005,20.3
col,2006,20
col,2007,19.6
col,2008,20.9
col,2009,19.4
col,2010,19.5
col,2011,16.8
col,2012,15.6
col,2013,15.3
col,2014,15.2
col,2015,13.2
col,2016,12.7
col,2017,11.2
col,2018,12.4
col,2019,12
col,2020,11.4
com,2004,46.5
com,2005,47.2
com,2006,47.3
com,2007,47
com,2008,47.5
com,2009,45.5
com,2010,46.7
com,2011,44.7
com,2012,45.6
com,2013,44.3
com,2014,35.4
com,2015,34.8
com,2016,35.1
com,2017,34.2
com,2018,34.3
com,2019,34
com,2020,34.2
cpv,2007,20.2
cpv,2008,20.8
cpv,2009,20.5
cpv,2010,20.5
cpv,2011,20.6
cpv,2012,19.9
cpv,2013,19.3
cpv,2014,20.1
cpv,2015,15
cpv,2016,14.8
cpv,2017,13.6
cpv,2018,13
cpv,2019,12.6
cpv,2020,11
cri,2003,13.2
cri,2004,12.6
cri,2005,11.7
cri,2006,12.3
cri,2007,12.1
cri,2008,10.6
cri,2009,12.6
cri,2010,9.8
cri,2011,9.9
cri,2012,9
cri,2013,9.9
cri,2014,8.8
cri,2015,8.1
cri,2016,8.3
cri,2017,7.8
cri,2018,7.2
cri,2019,7.1
cri,2020,7.3
cyp,2004,0.1
cyp,2005,0.1
cyp,2006,0.2
cyp,2007,0.2
cyp,2008,0.2
cyp,2009,0.2
cyp,2010,0.1
cyp,2011,0.2
cyp,2012,0.4
cyp,2013,1
cyp,2014,0.6
cyp,2015,0.4
cyp,2016,0.3
cyp,2017,0.2
cyp,2018,0.1
cyp,2019,0.1
cyp,2020,0.1
cze,2003,0
cze,2004,0
cze,2005,0
cze,2006,0
cze,2007,0
cze,2008,0
cze,2009,0
cze,2010,0
cze,2011,0
cze,2012,0
cze,2013,0
cze,2014,0
cze,2015,0
cze,2016,0
cze,2017,0
cze,2018,0
cze,2019,0
cze,2020,0
deu,2003,0
deu,2004,0
deu,2005,0
deu,2006,0
deu,2007,0
deu,2008,0
deu,2009,0
deu,2010,0
deu,2011,0
deu,2012,0
deu,2013,0
deu,2014,0
deu,2015,0
deu,2016,0
deu,2017,0
deu,2018,0
deu,2019,0
deu,2020,0
dnk,2003,0
dnk,2004,0
dnk,2005,0
dnk,2006,0
dnk,2007,0
dnk,2008,0
dnk,2009,0
dnk,2010,0
dnk,2011,0
dnk,2012,0
dnk,2013,0
dnk,2014,0
dnk,2015,0
dnk,2016,0
dnk,2017,0
dnk,2018,0
dnk,2019,0
dnk,2020,0
dom,2003,21.7
dom,2004,23.1
dom,2005,21
dom,2006,20.9
dom,2007,15.8
dom,2008,13.7
dom,2009,13.8
dom,2010,11.6
dom,2011,11.9
dom,2012,10
dom,2013,11.8
dom,2014,7.6
dom,2015,8.3
dom,2016,8.5
dom,2017,6
dom,2018,6
dom,2019,6.1
dom,2020,5.8
dza,2003,21.5
dza,2004,22
dza,2005,20.9
dza,2006,19.4
dza,2007,18.2
dza,2008,17.6
dza,2009,16.1
dza,2010,16.4
dza,2011,7.6
dza,2012,6.4
dza,2013,6.2
dza,2014,5.4
dza,2015,6
dza,2016,5.4
dza,2017,6
dza,2018,5.2
dza,2019,5.7
dza,2020,5.8
ecu,2003,28.6
ecu,2004,29.6
ecu,2005,28
ecu,2006,26.5
ecu,2007,26.7
ecu,2008,21.8
ecu,2009,20.8
ecu,2010,19.7
ecu,2011,16.5
ecu,2012,15.7
ecu,2013,15.9
ecu,2014,14
ecu,2015,15.1
ecu,2016,14.9
ecu,2017,14.1
ecu,2018,14.3
ecu,2019,14.4
ecu,2020,15.1
egy,2003,20.8
egy,2004,22.2
egy,2005,22.5
egy,2006,20.6
egy,2007,18.5
egy,2008,16.9
egy,2009,15.6
egy,2010,14.6
egy,2011,13.1
egy,2012,10.9
egy,2013,9.7
egy,2014,9.7
egy,2015,11.5
egy,2016,13.7
egy,2017,10.8
egy,2018,11.7
egy,2019,11
egy,2020,9.7
esp,2003,0
esp,2004,0.1
esp,2005,0
esp,2006,0.1
esp,2007,0.1
esp,2008,0.1
esp,2009,0.1
esp,2010,0.1
esp,2011,0.2
esp,2012,0.2
esp,2013,0.2
esp,2014,0.2
esp,2015,0.2
esp,2016,0.2
esp,2017,0.1
esp,2018,0.1
esp,2019,0.1
esp,2020,0.1
est,2003,15.5
est,2004,10.7
est,2005,8.6
est,2006,7.8
est,2007,4.7
est,2008,4
est,2009,5.3
est,2010,5.7
est,2011,5.6
est,2012,6
est,2013,7.7
est,2014,7.2
est,2015,5.1
est,2016,3.3
est,2017,3.3
est,2018,2.8
est,2019,4.8
est,2020,2.6
fin,2003,0
fin,2004,0
fin,2005,0
