global,time,gc_xpn_trft_zs
world,2002,40.26451
world,2003,36.82149
world,2004,36.99195
world,2005,38.12708
world,2006,37.77231
world,2007,38.16954
world,2008,40.35905
world,2009,42.93837
world,2010,41.8299
world,2011,42.86935
world,2012,42.67771
world,2013,42.85379
world,2014,41.73349
world,2015,40.69232
world,2016,42.05521
world,2017,41.60256
world,2018,42.11885
world,2019,43.39242
