geo,time,sl_tlf_basc_fe_zs
afg,2014,24.46
afg,2017,17.16
afg,2020,16.23
ago,2004,63.19
ago,2009,45.47
ago,2011,60.35
ago,2014,28.35
alb,2007,31.78
alb,2008,42.21
alb,2009,43.13
alb,2010,44.3
alb,2011,49.57
alb,2012,46.21
alb,2013,39.2
alb,2014,39.02
alb,2015,42.36
alb,2016,44.46
alb,2017,44.89
alb,2018,19.97
alb,2019,18.89
are,2017,46.18
are,2018,51.48
arg,2004,40.87
arg,2005,39.16
arg,2006,38.77
arg,2008,36.35
arg,2009,35.87
arg,2010,34.89
arg,2011,34.66
arg,2012,34.16
arg,2013,33.48
arg,2014,33.69
arg,2017,32.9
arg,2018,33.81
arg,2019,34.41
arg,2020,31.25
arm,2007,27.27
arm,2008,29.45
arm,2009,23.92
arm,2010,31.99
arm,2011,26.52
arm,2012,24.21
arm,2013,21.18
arm,2014,26.33
arm,2015,33.82
arm,2016,28.22
arm,2017,27.35
arm,2018,21.21
arm,2019,21.54
arm,2020,13.63
aus,2009,58.25
aus,2010,56.48
aus,2011,56.89
aus,2012,57.88
aus,2013,44.43
aus,2014,44.51
aus,2015,42.67
aus,2016,42.51
aus,2017,42.38
aut,1995,40.65
aut,1996,38.38
aut,1997,37.53
aut,1998,31.23
aut,1999,30.98
aut,2000,30.27
aut,2001,29.52
aut,2002,31.17
aut,2003,30.93
aut,2004,28.25
aut,2005,29.42
aut,2006,31.15
aut,2007,33.16
aut,2008,32.46
aut,2009,32.12
aut,2010,31.33
aut,2011,31.36
aut,2012,31.27
aut,2013,30.97
aut,2014,30.91
aut,2015,30.31
aut,2016,30.8
aut,2017,30.28
aut,2018,30.23
aut,2019,29.65
aut,2020,29.79
bdi,2014,28.44
bel,1992,27.04
bel,1993,26.6
bel,1994,26.7
bel,1995,26.56
bel,1996,25.95
bel,1997,25.49
bel,1998,22.14
bel,1999,23.17
bel,2000,23.08
bel,2001,21.25
bel,2002,21.43
bel,2003,21.38
bel,2004,22.19
bel,2005,24.18
bel,2006,23.72
bel,2007,24.32
bel,2008,23.47
bel,2009,22.69
bel,2010,24.34
bel,2011,22.87
bel,2012,22.69
bel,2013,23.11
bel,2014,22.55
bel,2015,21.39
bel,2016,21.71
bel,2017,20.76
bel,2018,20.81
bel,2019,20.49
bel,2020,19.49
ben,2011,72.25
ben,2018,68.08
bfa,2014,49.76
bfa,2018,31.3
bgd,2006,28.54
bgd,2010,39.45
bgd,2013,42.26
bgd,2016,34.86
bgd,2017,38.22
bgr,2000,21.83
bgr,2001,21.41
bgr,2002,21.44
bgr,2003,20.26
bgr,2004,21.25
bgr,2005,19.58
bgr,2006,19.14
bgr,2007,19.46
bgr,2008,19.8
bgr,2009,18.97
bgr,2010,19.06
bgr,2011,18.49
bgr,2012,18.46
bgr,2013,18.72
bgr,2014,19.66
bgr,2015,18.98
bgr,2016,17.55
bgr,2017,19.24
bgr,2018,19.25
bgr,2019,21.22
bgr,2020,19.74
bih,2006,50.55
bih,2007,19.26
bih,2008,20.48
bih,2009,20.31
bih,2010,20.35
bih,2011,18.91
bih,2012,19.95
bih,2013,19.16
bih,2014,18.71
bih,2015,17.53
bih,2016,17.22
bih,2017,18.49
bih,2018,14.24
bih,2019,16.6
bih,2020,14.82
blr,2020,12.5
blz,2012,45.26
blz,2013,36.83
blz,2014,35.78
blz,2015,34.94
blz,2016,38.26
blz,2017,38.39
blz,2019,47.6
bol,1999,55.08
bol,2000,52.55
bol,2001,60.65
bol,2002,55.29
bol,2004,67.16
bol,2005,48.12
bol,2006,51.15
bol,2007,50.47
bol,2008,51.18
bol,2009,53.32
bol,2011,52.36
bol,2012,45.06
bol,2013,50.46
bol,2014,52.66
bol,2015,45.8
bol,2016,48.92
bol,2017,50.73
bol,2018,57.44
bol,2019,51.61
bol,2020,51.43
bra,1995,48.5
