global,time,ny_gnp_mktp_kd
world,1981,27878051196959.10156
world,1982,27953215802031.30078
world,1983,28754998076200.19922
world,1984,30051703823150.39844
world,1985,31121896399169.19922
world,1986,32108790861982.80078
world,1987,33292869085215.5
world,1988,34770335343112.19922
world,1989,36158923284517.79688
world,1990,37052682384387.29688
world,1991,37522696764899.89844
world,1992,38107748422052.60156
world,1993,38537036021100.89844
world,1994,39573771443325.10156
world,1995,40610788324193.29688
world,1996,42042566009593.69531
world,1997,43652812080233.10156
world,1998,44899398763329.29688
world,1999,46550783881005.60156
world,2000,48642927904478
world,2001,49645039908919.79688
world,2002,50692935196837.60156
world,2003,52327754026642.29688
world,2004,54625230831361.79688
world,2005,56779285626148.70312
world,2006,59340030590040.89844
world,2007,61914378089653.60156
world,2008,63028586309148.20312
world,2009,62191699794463.39844
world,2010,64919411961105.69531
world,2011,67037735522801.79688
world,2012,68815044785096.49219
world,2013,70679139112189.09375
world,2014,72978735113564.59375
world,2015,75237313035115.90625
world,2016,77328609532705.20312
world,2017,80078393279438.70312
world,2018,82596555943509.09375
world,2019,84802339248009.40625
world,2020,81950633282474.28125
