global,time,ag_prd_crop_xd
world,1961,0.14446
world,1962,0.15931
world,1963,0.15976
world,1964,0.14787
world,1965,0.15378
world,1966,0.15327
world,1967,0.17984
world,1968,0.16026
world,1969,0.18403
world,1970,0.19456
world,1971,0.20289
world,1972,0.20439
world,1973,0.20261
world,1974,0.23082
world,1975,0.23034
world,1976,0.21629
world,1977,0.23361
world,1978,0.23827
world,1979,0.2132
world,1980,0.21659
world,1981,0.24156
world,1982,0.21651
world,1983,0.23069
world,1984,0.22275
world,1985,0.25493
world,1986,0.2507
world,1987,0.23578
world,1988,0.27286
world,1989,0.2247
world,1990,0.21455
world,1991,0.26087
world,1992,0.28383
world,1993,0.25067
world,1994,0.31702
world,1995,0.31835
world,1996,0.36449
world,1997,0.35559
world,1998,0.3671
world,1999,0.35049
world,2000,0.36943
world,2001,0.40152
world,2002,0.40592
world,2003,0.44693
world,2004,0.44663
world,2005,0.46647
world,2006,0.48302
world,2007,0.47438
world,2008,0.47475
world,2009,0.49149
world,2010,0.44632
world,2011,0.50593
world,2012,0.19146
world,2013,0.19817
world,2014,0.20237
