geo,time,fx_own_totl_ol_zs
mex,2014,41.68408
mex,2017,38.32999
mkd,2011,74.37868
mkd,2014,77.28218
mkd,2017,82.48572
mli,2011,10.02599
mli,2014,22.2612
mli,2017,36.85763
mlt,2011,96.61741
mlt,2014,97.38485
mlt,2017,97.34601
mmr,2014,25.98249
mmr,2017,30.84191
mne,2011,56.27981
mne,2014,64.39573
mne,2017,74.3746
mng,2011,79.84514
mng,2014,91.39861
mng,2017,95.97443
moz,2017,40.03442
mrt,2011,20.8247
mrt,2014,27.15676
mrt,2017,24.90664
mus,2011,81.81023
mus,2014,85.42747
mus,2017,92.41879
mwi,2011,20.15357
mwi,2014,21.4764
mwi,2017,35.46329
mys,2011,70.45184
mys,2014,81.95229
mys,2017,85.81704
nam,2014,67.38516
nam,2017,82.98361
ner,2011,2.01813
ner,2014,6.99185
ner,2017,18.5996
nga,2011,33.80855
nga,2014,48.88932
nga,2017,44.00507
nic,2011,17.12901
nic,2014,23.41215
nic,2017,33.07193
nld,2011,98.47235
nld,2014,99.65981
nld,2017,99.57883
nor,2014,100
nor,2017,99.70672
npl,2011,26.56817
npl,2014,37.33879
npl,2017,47.72487
nzl,2011,99.60159
nzl,2014,99.6087
nzl,2017,99.79852
omn,2011,76.51235
pak,2011,11.44789
pak,2014,12.95549
pak,2017,24.58391
pan,2011,27.98829
pan,2014,47.77767
pan,2017,49.51022
per,2011,22.70264
per,2014,32.4689
per,2017,47.05164
phl,2011,29.67945
phl,2014,35.85378
phl,2017,38.82804
pol,2011,75.50879
pol,2014,80.3722
pol,2017,90.52236
pri,2014,75.29961
prt,2011,81.9981
prt,2014,88.11871
prt,2017,94.1881
pry,2011,24.71808
pry,2017,54.64085
pse,2011,25.62183
pse,2014,33.45254
pse,2017,33.07692
qat,2011,66.42361
rou,2011,46.12915
rou,2014,61.94814
rou,2017,58.87795
rus,2011,51.85506
rus,2014,69.89012
rus,2017,77.52691
rwa,2011,39.88006
rwa,2014,50.88278
rwa,2017,54.3658
sau,2011,56.87803
sau,2014,70.89161
sau,2017,76.00526
sdn,2011,7.8565
sdn,2014,17.00818
sen,2011,8.73675
sen,2014,19.94015
sen,2017,46.50287
sgp,2011,98.95496
sgp,2014,97.03401
sgp,2017,97.94722
sle,2011,17.50206
sle,2014,19.95657
sle,2017,20.16405
slv,2011,15.2176
slv,2014,39.07544
slv,2017,33.21421
som,2014,37.22408
srb,2011,67.57958
srb,2014,83.79608
srb,2017,76.92512
ssd,2017,7.38098
svk,2011,83.47357
svk,2014,84.92396
svk,2017,89.57464
svn,2011,96.89686
svn,2014,98.05459
svn,2017,97.30282
swe,2011,99.46917
swe,2014,100
swe,2017,99.85323
swz,2011,33.10611
syr,2011,23.74881
tcd,2011,10.27496
tcd,2014,15.01894
tcd,2017,23.91435
tgo,2011,11.87292
tgo,2014,21.17843
tgo,2017,45.76015
tha,2011,75.44241
tha,2014,79.76371
tha,2017,83.17418
tjk,2011,2.7027
tjk,2014,15.11238
tjk,2017,45.77791
tkm,2011,0.58068
tkm,2017,48.8334
tto,2011,74.32337
tto,2017,84.09095
tun,2014,30.48645
tun,2017,39.97931
tur,2011,62.04656
tur,2014,61.15696
tur,2017,71.94024
tza,2011,19.36261
tza,2014,43.90792
tza,2017,47.41568
uga,2011,26.21828
uga,2014,50.83588
uga,2017,60.58778
ukr,2011,40.24238
ukr,2014,52.18921
ukr,2017,64.34368
ury,2011,26.16738
ury,2014,49.5361
ury,2017,68.67432
usa,2011,90.70219
usa,2014,94.83546
usa,2017,94.21304
uzb,2011,26.00585
uzb,2014,47.91796
uzb,2017,43.62619
ven,2011,53.87132
ven,2014,66.57878
ven,2017,78.27529
vnm,2011,21.05816
vnm,2014,29.02117
vnm,2017,29.92117
yem,2011,5.24454
yem,2014,8.95373
zaf,2011,59.09526
zaf,2014,77.09283
zaf,2017,71.55946
zmb,2011,25.79627
zmb,2014,39.54792
zmb,2017,48.33814
zwe,2011,50.03545
zwe,2014,36.88559
zwe,2017,58.87706
