geo,time,ne_con_totl_kd
abw,2015,2328514354.43757
ago,2000,34372161355.1653
ago,2001,35291727437.9545
ago,2002,35194608535.0633
ago,2003,37617931182.183
ago,2004,38892837578.1419
ago,2005,41231107979.2528
ago,2006,44309269356.828
ago,2007,47312198687.7692
ago,2008,51811809357.09969
ago,2009,53816890095.7831
ago,2010,56101192630.4593
ago,2011,64618116039.6207
ago,2012,69067386675.2596
ago,2013,77512698429.99379
ago,2014,80547963197.326
ago,2015,80379086228.0497
ago,2016,81860041692.23051
ago,2017,83768090973.94949
ago,2018,81212298660.09398
ago,2019,79913365097.9496
ago,2020,75004530214.54988
alb,1996,6537439943.76227
alb,1997,5396641659.16224
alb,1998,5086632889.11871
alb,1999,5219375643.58868
alb,2000,5447223434.54135
alb,2001,5697235727.66418
alb,2002,6093294906.67845
alb,2003,6642585174.86737
alb,2004,6892632507.85034
alb,2005,7264758737.62942
alb,2006,7682641512.253
alb,2007,8575194794.74863
alb,2008,9387697973.09682
alb,2009,9486234250.8006
alb,2010,9671013137.4998
alb,2011,9828774407.40865
alb,2012,9841136455.66557
alb,2013,10034740352.5096
alb,2014,10360619122.5786
alb,2015,10453742764.6658
alb,2016,10708589436.3128
alb,2017,10979644763.2135
alb,2018,11298029405.7
alb,2019,11651088343.0557
alb,2020,11431726155.5305
are,2001,164013558706.86899
are,2002,173843936950.58899
are,2003,177989944841.17001
are,2004,194684807183.43799
are,2005,197623774162.18097
are,2006,222943144595.651
are,2007,247425430427.62897
are,2008,276878320771.44
are,2009,216272224161.03601
are,2010,165735446914.53699
are,2011,184371974562.42496
are,2012,167527271166.21399
are,2013,185189781642.43896
are,2014,202596332404.97696
are,2015,171335879972.771
are,2016,172901734412.75
are,2017,190151330138.99896
are,2018,196305463774.315
are,2019,215859572599.69696
are,2020,195683942815.87897
arg,1960,109326023229.54601
arg,1961,119942258927.13
arg,1962,116939349432.812
arg,1963,113601673539.278
arg,1964,125606077163.761
arg,1965,136462569402.147
arg,1966,134982524312.49699
arg,1967,139094275735.49899
