geo,time,ny_gnp_mktp_kn
ago,2000,440426476271.61798
ago,2001,481123301066.10303
ago,2002,594228067600
ago,2003,617871226870.18506
ago,2004,673106302312.58704
ago,2005,762518346371.71301
ago,2006,831899228663.59692
ago,2007,967633011632.21692
ago,2008,1024994668304.15002
ago,2009,1146982145104.58008
ago,2010,1175011943142.81006
ago,2011,1213879465154.07007
ago,2012,1330590632002.73999
ago,2013,1416055616438.34009
ago,2014,1510801250479.37012
ago,2015,1553191571405.59009
ago,2016,1509310878569.21997
ago,2017,1489142490191.08008
ago,2018,1431082847678.95996
ago,2019,1409042304509.12988
ago,2020,1338005984398.78003
alb,1997,560327867219.16699
alb,1998,613338082196.87
alb,1999,688595178362.34998
alb,2000,741639942532.53699
alb,2001,804989749715.05298
alb,2002,835816965244.97583
alb,2003,883352275236.16614
alb,2004,929403694998.11682
alb,2005,977271428291.25293
alb,2006,1044155951269.71997
alb,2007,1105067671185.90991
alb,2008,1162301622121.28003
alb,2009,1176589141240.18994
alb,2010,1227260200000
alb,2011,1271526105693.17993
alb,2012,1279717044217.68994
alb,2013,1323985119806.21997
alb,2014,1337105079367.11011
alb,2015,1370237286425.29004
alb,2016,1421366998568.3999
alb,2017,1456177033235.93994
alb,2018,1509384100688.92993
alb,2019,1523598818333.58008
are,2001,774784086184.16187
are,2002,762616594664.68896
are,2003,822349241591.948
are,2004,905736631001.63684
are,2005,961190449796.55396
are,2006,1063001657216.21997
are,2007,1110802479842.34009
are,2008,1121629899128.18994
are,2009,1058883695419.93005
are,2010,1063936419899.40002
are,2011,1138467848067.32007
are,2012,1190062993271.28003
are,2013,1250748277425.12012
are,2014,1306578928495.92993
are,2015,1376544021169.94995
are,2016,1418777733141.13989
are,2017,1454812071046.12988
are,2018,1466546381648.97998
are,2019,1518702931955.36011
arg,1960,187404511355.69601
arg,1961,197999570171.84799
arg,1962,196000056486.10696
arg,1963,185583528231.556
arg,1964,204716685109.336
arg,1965,226163170479.202
arg,1966,227779583622.22198
arg,1967,226831354778.74496
arg,1968,233472871542.96097
arg,1969,258078755884.59695
arg,1970,257970561135.47501
