global,time,nv_srv_totl_cd
world,1995,20132971228636.69531
world,1996,20250651685557.80078
world,1997,19723331907390.19922
world,1998,19958362965769.69531
world,1999,20840709012896
world,2000,21498351407860.60156
world,2001,21689086465857.89453
world,2002,22693941333341.39844
world,2003,25360825099861.5
world,2004,28280570347616.30078
world,2005,30388316422239.19922
world,2006,32569407879723.80078
world,2007,36470785367870
world,2008,39809741818087.39844
world,2009,38947659597233.79688
world,2010,41708004666719.89844
world,2011,45643829444226.49219
world,2012,46813552289549.29688
world,2013,48221099062228.60156
world,2014,49765314169501.89844
world,2015,48292420913009.50781
world,2016,49567099935553.79688
world,2017,52381616336195.79688
world,2018,55439865242493.69531
world,2019,56735776726665.89844
