global,time,ny_adj_nnty_pc_kd_zg
world,1972,3.43239
world,1973,3.85282
world,1974,-3.46482
world,1975,-1.33524
world,1976,3.04048
world,1977,1.72009
world,1978,2.72698
world,1979,-0.00033
world,1980,-1.44797
world,1981,0.19053
world,1982,-0.89665
world,1983,2.06323
world,1984,4.33896
world,1985,3.22348
world,1986,1.88769
world,1987,0.88809
world,1988,0.74519
world,1989,1.48131
world,1990,1.27891
world,1991,-0.2832
world,1992,0.98344
world,1993,-0.13023
world,1994,2.31866
world,1995,1.51548
world,1996,1.00526
world,1997,2.4939
world,1998,0.58531
world,1999,1.61982
world,2000,2.10939
world,2001,0.85739
world,2002,2.39789
world,2003,0.4292
world,2004,4.01775
world,2005,2.44038
world,2006,3.89741
world,2007,3.76351
world,2008,-1.38221
world,2009,-1.80911
world,2010,3.84602
world,2011,1.51276
world,2012,-9.79496
world,2013,1.1396
world,2014,2.18842
world,2015,1.99155
world,2016,1.45961
world,2017,2.53332
world,2018,1.4141
world,2019,1.19998
