global,time,ip_tmk_nres
world,1982,160972
world,1983,173227
world,1984,178461
world,1985,236206
world,1986,281863
world,1987,284882
world,1988,340744
world,1989,381489
world,1990,395856
world,1991,385623
world,1992,444639
world,1993,534919
world,1994,585700
world,1995,631808
world,1996,618020
world,1999,662162
world,2000,834649
world,2001,732004
world,2002,662493
world,2003,674683
world,2004,745993
world,2005,774082
world,2006,821381
world,2007,861866
world,2008,845316
world,2009,675346
world,2010,779979
world,2011,865627
world,2012,888711
world,2013,932749
world,2014,927342
world,2015,820418
world,2016,892914
world,2017,971303
world,2018,1026624
world,2019,1021284
