global,time,dt_oda_odat_gn_zs
world,1960,0.31116
world,1961,0.36662
world,1962,0.34831
world,1963,0.35232
world,1964,0.31696
world,1965,0.31756
world,1966,0.29845
world,1967,0.28355
world,1968,0.2358
world,1969,0.21601
world,1970,0.21883
world,1971,0.22586
world,1972,0.20726
world,1973,0.22667
world,1974,0.26626
world,1975,0.30699
world,1976,0.27294
world,1977,0.25249
world,1978,0.28784
world,1979,0.28171
world,1980,0.30125
world,1981,0.28001
world,1982,0.25689
world,1983,0.24196
world,1984,0.241
world,1985,0.24468
world,1986,0.24345
world,1987,0.23542
world,1988,0.22424
world,1989,0.22264
world,1990,0.25197
world,1991,0.25559
world,1992,0.23534
world,1993,0.21256
world,1994,0.21187
world,1995,0.18648
world,1996,0.17328
world,1997,0.15112
world,1998,0.15988
world,1999,0.15831
world,2000,0.14373
world,2001,0.151
world,2002,0.17398
world,2003,0.17952
world,2004,0.17846
world,2005,0.22438
world,2006,0.20339
world,2007,0.18335
world,2008,0.19595
world,2009,0.20591
world,2010,0.19372
world,2011,0.18952
world,2012,0.17698
world,2013,0.19515
world,2014,0.20223
world,2015,0.19497
world,2016,0.20795
world,2017,0.20268
world,2018,0.19276
world,2019,0.1917
