geo,time,ag_lnd_agri_k2
abw,1961,20
abw,1962,20
abw,1963,20
abw,1964,20
abw,1965,20
abw,1966,20
abw,1967,20
abw,1968,20
abw,1969,20
abw,1970,20
abw,1971,20
abw,1972,20
abw,1973,20
abw,1974,20
abw,1975,20
abw,1976,20
abw,1977,20
abw,1978,20
abw,1979,20
abw,1980,20
abw,1981,20
abw,1982,20
abw,1983,20
abw,1984,20
abw,1985,20
abw,1986,20
abw,1987,20
abw,1988,20
abw,1989,20
abw,1990,20
abw,1991,20
abw,1992,20
abw,1993,20
abw,1994,20
abw,1995,20
abw,1996,20
abw,1997,20
abw,1998,20
abw,1999,20
abw,2000,20
abw,2001,20
abw,2002,20
abw,2003,20
abw,2004,20
abw,2005,20
abw,2006,20
abw,2007,20
abw,2008,20
abw,2009,20
abw,2010,20
abw,2011,20
abw,2012,20
abw,2013,20
abw,2014,20
abw,2015,20
abw,2016,20
abw,2017,20
abw,2018,20
afg,1961,377000
afg,1962,377600
afg,1963,378100
afg,1964,378730
afg,1965,378750
afg,1966,379130
afg,1967,379790
afg,1968,379800
afg,1969,379960
afg,1970,380060
afg,1971,380360
afg,1972,380460
afg,1973,380480
afg,1974,380480
afg,1975,380480
afg,1976,380480
afg,1977,380500
afg,1978,380500
afg,1979,380490
afg,1980,380490
afg,1981,380530
afg,1982,380540
afg,1983,380540
afg,1984,380540
afg,1985,380540
afg,1986,380540
afg,1987,380450
afg,1988,380400
afg,1989,380400
afg,1990,380400
afg,1991,380300
afg,1992,380300
afg,1993,379340
afg,1994,378130
afg,1995,377530
afg,1996,377520
afg,1997,377900
afg,1998,378670
afg,1999,377530
afg,2000,377530
afg,2001,377530
afg,2002,377530
afg,2003,379100
afg,2004,379110
afg,2005,379100
afg,2006,379100
afg,2007,379100
afg,2008,379100
afg,2009,379100
afg,2010,379110
afg,2011,379100
afg,2012,379100
afg,2013,379100
afg,2014,379100
afg,2015,379100
afg,2016,379100
afg,2017,379100
afg,2018,379190
ago,1961,571700
ago,1962,572000
ago,1963,572200
ago,1964,572500
ago,1965,572700
ago,1966,573000
ago,1967,573300
ago,1968,573600
ago,1969,574000
ago,1970,574000
ago,1971,574000
ago,1972,574000
ago,1973,574000
ago,1974,574000
ago,1975,574000
ago,1976,574000
ago,1977,574000
ago,1978,574000
ago,1979,574000
ago,1980,574000
ago,1981,574000
ago,1982,574000
ago,1983,574000
ago,1984,574000
ago,1985,574000
ago,1986,574000
ago,1987,574000
ago,1988,574000
ago,1989,574000
ago,1990,574040
ago,1991,455626.37
ago,1992,457180.54
ago,1993,458734.71
ago,1994,460288.88
ago,1995,461843.05
ago,1996,463397.22
ago,1997,464951.39
ago,1998,466505.56
ago,1999,468059.73
ago,2000,469613.9
ago,2001,475164.51
ago,2002,480715.12
ago,2003,486265.73
ago,2004,491816.34
ago,2005,497366.95
