geo,time,dt_nfl_rdbc_cd
afg,2006,66174000
afg,2007,94274000
afg,2008,50937000
afg,2009,73861000
afg,2010,64935000
afg,2011,42113000
afg,2012,34802000
afg,2013,20776940
afg,2014,5155000
afg,2015,-2609000
afg,2016,117000
afg,2017,-9418000
afg,2018,-10238000
afg,2019,-9967000
afg,2020,-10048000
ago,1989,4577657.8
ago,1990,4449124.7
ago,1991,14991134.5
ago,1992,512473.9
ago,1993,635358.6
ago,1996,0
ago,1999,0
ago,2000,-1502346.8
ago,2001,-54702.7
ago,2002,-266740.6
ago,2003,-130231.5
ago,2004,606143.2
ago,2005,158075.4
ago,2006,941700.8
ago,2007,235760.1
ago,2008,2122094.8
ago,2009,1574874.6
ago,2010,3048813.2
ago,2011,4564223.4
ago,2012,391058.4
ago,2013,723057.5
ago,2014,4411491.2
ago,2015,7118746.2
ago,2016,7097639
ago,2017,9529666.7
ago,2018,7744268.8
ago,2019,6095986.8
ago,2020,7103249.4
arg,1970,14002000
arg,1971,20749000
arg,1972,19367000
arg,1973,35645000
arg,1974,17224000
arg,1975,10976000
arg,1976,13274000
arg,1977,13088000
arg,1978,9559000
arg,1979,13171000
arg,1980,-26099000
arg,1981,4685000
arg,1982,-1732000
arg,1983,10907000
arg,1984,13638000
arg,1985,-2023000
arg,1986,10278000
arg,1987,13981000
arg,1988,10626000
arg,1989,9287000
arg,1990,-3679000
arg,1991,-6640000
arg,1992,-3001000
arg,1993,-18803000
arg,1994,-15893000
arg,1995,-5059000
arg,1996,5081559.9
arg,1997,-2178975.1
arg,1998,5109274.3
arg,1999,-5352291.6
arg,2000,-17201315.7
arg,2001,-12039114.5
arg,2002,-14187238
arg,2003,-16057000
arg,2004,-11458000
arg,2005,-8072000
arg,2006,-8583000
arg,2007,-10473000
arg,2008,-9643000
arg,2009,-9643000
arg,2010,-120000
arg,2011,-8513000
arg,2012,-8359000
arg,2013,-8299000
arg,2014,-8239000
arg,2015,-8239000
arg,2016,-7396000
arg,2017,-6061000
arg,2018,-3892000
arg,2019,3174000
arg,2020,-503000
arm,2007,0
arm,2008,8032000
arm,2009,119130000
arm,2010,22264000
arm,2011,55386719
arm,2012,70457186.2
arm,2013,20588449
arm,2014,79165000
arm,2015,87381000
arm,2016,18909000
arm,2017,10182000
arm,2018,-4545000
arm,2019,-6818000
arm,2020,-15895000
aze,2005,503000
aze,2006,4045000
aze,2007,13070000
aze,2008,8814000
aze,2009,15074000
aze,2010,5085000
aze,2011,-304000
aze,2012,1297000
aze,2013,-26167
aze,2014,-450000
aze,2015,-669000
aze,2016,-890000
aze,2017,-4073000
aze,2018,-4061000
aze,2019,-4036000
aze,2020,-4094000
bdi,1977,694705.1
bdi,1978,679421
bdi,1979,1907642.1
bdi,1980,5844718.1
bdi,1981,3114186.1
bdi,1982,5277313.9
bdi,1983,6621325
bdi,1984,6369591.8
bdi,1985,9335692.2
bdi,1986,12513423.5
bdi,1987,21202628
bdi,1988,13855389.5
bdi,1989,8485845.2
bdi,1990,1052347.9
bdi,1991,18991818.8
bdi,1992,13947855.3
bdi,1993,25178931.9
bdi,1994,15143267.8
bdi,1995,11282656.6
bdi,1996,14276853.9
bdi,1997,1308661.6
bdi,1998,3831539.7
bdi,1999,3193156.7
bdi,2000,-253249
bdi,2001,-269696.8
bdi,2002,0
bdi,2003,-938227.8
bdi,2004,-13349968.7
bdi,2005,5850266.5
bdi,2006,-2471964.8
bdi,2007,-2816874.3
bdi,2008,2198280.5
bdi,2009,4183212.6
bdi,2010,1585443.9
bdi,2011,718340.2
bdi,2012,1878913.5
bdi,2013,369170.5
bdi,2014,2473960.6
bdi,2015,-478500.6
bdi,2016,-492080.7
bdi,2017,-836203.2
bdi,2018,-504106.7
bdi,2019,-500169.2
bdi,2020,-561406
ben,1976,491287.9
ben,1977,987212.6
ben,1978,806307.8
ben,1979,2205256.1
ben,1980,5495413.2
ben,1981,3640828.2
ben,1982,7827455.1
ben,1983,6058967.3
ben,1984,4065173.7
ben,1985,2858145.5
ben,1986,10071030.3
ben,1987,9183053.2
ben,1988,4107679.3
ben,1989,883752.7
ben,1990,11797593.5
ben,1991,23738540.5
ben,1992,23185509.9
ben,1993,23578822.1
ben,1994,32280987
ben,1995,25459632.5
ben,1996,23096447.3
ben,1997,5856638.7
ben,1998,4956308.4
ben,1999,14420146.6
ben,2000,-18616436.7
ben,2001,24983852.2
ben,2002,5640399.3
ben,2003,9452294.9
ben,2004,33660950.2
ben,2005,33587324.9
ben,2006,15545420.2
ben,2007,36255010.7
ben,2008,29452198.1
ben,2009,25548137.3
ben,2010,40112188.2
ben,2011,22448527.4
ben,2012,9790207.7
ben,2013,66943441.9
ben,2014,34541231.2
ben,2015,22416774.9
ben,2016,33781202.5
ben,2017,56703735.3
ben,2018,24212699
ben,2019,16584344.5
ben,2020,13053039.3
bfa,1976,425357.5
bfa,1977,4388686.8
bfa,1978,3662413.7
bfa,1979,3310705
bfa,1980,6392134.1
bfa,1981,2968816.4
bfa,1982,1277453.8
bfa,1983,1490862.4
bfa,1984,3676248
bfa,1985,5465989.9
bfa,1986,15334847.1
bfa,1987,3707172.1
bfa,1988,8050018.5
bfa,1989,7692265.5
bfa,1990,2478261
bfa,1991,22343490
bfa,1992,34444590.9
bfa,1993,37185638.1
bfa,1994,5371666.3
bfa,1995,9895423
bfa,1996,14632541
bfa,1997,12909100.6
bfa,1998,12027832.8
bfa,1999,8251800.8
bfa,2000,11627029.1
bfa,2001,13787616.3
bfa,2002,42231778.4
bfa,2003,34711627.9
bfa,2004,38101059.5
bfa,2005,55748902.5
bfa,2006,47473491.4
bfa,2007,54628992.6
bfa,2008,38753226.1
bfa,2009,78305665.6
bfa,2010,63358244.4
bfa,2011,42284191.2
bfa,2012,22435447.7
bfa,2013,11436660.9
bfa,2014,14624936.6
bfa,2015,33076705.1
bfa,2016,17481376
bfa,2017,19407404.6
bfa,2018,25090637.9
bfa,2019,23831273.3
