geo,time,sp_pop_1564_fe_zs
abw,1960,54.03655
abw,1961,54.47756
abw,1962,54.87788
abw,1963,55.31149
abw,1964,55.82978
abw,1965,56.44092
abw,1966,56.9692
abw,1967,57.65738
abw,1968,58.43485
abw,1969,59.14911
abw,1970,59.77404
abw,1971,60.6539
abw,1972,61.36297
abw,1973,61.99126
abw,1974,62.69959
abw,1975,63.56748
abw,1976,64.03201
abw,1977,64.74555
abw,1978,65.64071
abw,1979,66.54851
abw,1980,67.25962
abw,1981,67.749
abw,1982,68.06867
abw,1983,68.23109
abw,1984,68.35392
abw,1985,68.53136
abw,1986,68.11829
abw,1987,67.95465
abw,1988,68.05145
abw,1989,68.23256
abw,1990,68.30089
abw,1991,68.96984
abw,1992,69.39539
abw,1993,69.5397
abw,1994,69.54986
abw,1995,69.57109
abw,1996,69.42317
abw,1997,69.39056
abw,1998,69.44525
abw,1999,69.53203
abw,2000,69.61654
abw,2001,69.69056
abw,2002,69.79356
abw,2003,69.92664
abw,2004,70.11176
abw,2005,70.32638
abw,2006,70.28264
abw,2007,70.12207
abw,2008,69.86575
abw,2009,69.54172
abw,2010,69.16729
abw,2011,69.16969
abw,2012,69.2355
abw,2013,69.3136
abw,2014,69.33907
abw,2015,69.25944
abw,2016,69.17194
abw,2017,68.90724
abw,2018,68.51912
abw,2019,68.10103
abw,2020,67.70722
afg,1960,53.88412
afg,1961,53.6618
afg,1962,53.64899
afg,1963,53.75154
afg,1964,53.84793
afg,1965,53.88505
afg,1966,53.63132
afg,1967,53.38984
afg,1968,53.16653
afg,1969,52.99051
afg,1970,52.87392
afg,1971,52.5594
afg,1972,52.33601
afg,1973,52.18668
afg,1974,52.1017
afg,1975,52.08987
afg,1976,51.83248
afg,1977,51.62193
afg,1978,51.46851
afg,1979,51.40534
afg,1980,51.47611
afg,1981,51.19829
afg,1982,50.97213
afg,1983,50.78965
afg,1984,50.61027
afg,1985,50.3724
afg,1986,50.1686
afg,1987,50.08589
afg,1988,50.04289
afg,1989,49.91616
afg,1990,49.57471
afg,1991,49.62654
afg,1992,49.66539
afg,1993,49.65351
afg,1994,49.65179
afg,1995,49.75481
afg,1996,49.47665
afg,1997,49.19264
afg,1998,48.95274
afg,1999,48.75773
afg,2000,48.57955
afg,2001,48.59281
afg,2002,48.72753
afg,2003,48.9338
afg,2004,49.18077
afg,2005,49.46469
afg,2006,49.38339
afg,2007,49.28775
afg,2008,49.2152
afg,2009,49.20804
afg,2010,49.28818
afg,2011,49.67126
afg,2012,50.19554
afg,2013,50.81951
afg,2014,51.49432
afg,2015,52.19237
afg,2016,52.78269
afg,2017,53.35403
afg,2018,53.9249
afg,2019,54.52097
afg,2020,55.14994
ago,1960,55.17437
ago,1961,54.27774
ago,1962,53.332
ago,1963,52.50779
ago,1964,51.97783
ago,1965,51.78603
ago,1966,51.91564
ago,1967,52.25741
ago,1968,52.56243
ago,1969,52.60408
ago,1970,52.32725
ago,1971,52.02688
ago,1972,51.62309
ago,1973,51.21464
ago,1974,50.94984
ago,1975,50.88165
ago,1976,50.51644
ago,1977,50.48226
ago,1978,50.60822
ago,1979,50.67508
ago,1980,50.59294
ago,1981,50.39878
ago,1982,50.07078
ago,1983,49.71054
ago,1984,49.46695
ago,1985,49.39827
ago,1986,49.2203
ago,1987,49.2081
ago,1988,49.3003
ago,1989,49.41311
ago,1990,49.51049
ago,1991,49.42414
ago,1992,49.38077
ago,1993,49.37776
ago,1994,49.42343
ago,1995,49.52083
ago,1996,49.51482
ago,1997,49.57283
ago,1998,49.68088
ago,1999,49.82321
ago,2000,49.98732
ago,2001,50.01548
ago,2002,50.0861
ago,2003,50.18815
ago,2004,50.30761
ago,2005,50.43045
ago,2006,50.43083
ago,2007,50.46087
ago,2008,50.50626
ago,2009,50.56339
ago,2010,50.63584
ago,2011,50.59067
ago,2012,50.59872
ago,2013,50.65188
ago,2014,50.74674
ago,2015,50.88431
ago,2016,51.01294
ago,2017,51.18196
ago,2018,51.38714
ago,2019,51.62428
ago,2020,51.88791
alb,1960,53.51804
alb,1961,53.10515
alb,1962,52.68591
alb,1963,52.30751
alb,1964,52.04828
alb,1965,51.95174
alb,1966,51.92319
alb,1967,52.07726
alb,1968,52.36173
alb,1969,52.70131
alb,1970,53.05463
alb,1971,53.47535
alb,1972,53.86975
alb,1973,54.27746
alb,1974,54.7556
alb,1975,55.32117
alb,1976,55.83091
alb,1977,56.44103
alb,1978,57.0958
alb,1979,57.71919
alb,1980,58.27216
alb,1981,58.77392
alb,1982,59.21166
alb,1983,59.59719
alb,1984,59.94926
alb,1985,60.2695
alb,1986,60.54135
alb,1987,60.76446
alb,1988,60.95843
alb,1989,61.168
alb,1990,61.43885
alb,1991,61.37927
alb,1992,61.39697
alb,1993,61.48882
alb,1994,61.61446
alb,1995,61.73778
alb,1996,61.94047
alb,1997,62.1231
alb,1998,62.30677
alb,1999,62.53955
alb,2000,62.85326
alb,2001,63.35105
alb,2002,63.89787
alb,2003,64.48202
alb,2004,65.07635
alb,2005,65.66843
alb,2006,66.28006
alb,2007,66.76757
alb,2008,67.15566
alb,2009,67.45817
alb,2010,67.6746
alb,2011,68.12936
alb,2012,68.49022
alb,2013,68.72809
alb,2014,68.83069
alb,2015,68.79854
alb,2016,68.71809
alb,2017,68.64223
alb,2018,68.50361
alb,2019,68.22749
alb,2020,67.79035
