geo,time,per_si_allsi_cov_q1_tot
afg,2007,0.16405
ago,2018,0.719
alb,2008,48.43734
alb,2012,38.22971
arg,2006,11.06175
arg,2010,22.93796
arg,2011,28.89958
arg,2012,27.65786
arg,2013,22.11555
arg,2014,23.18245
arg,2016,23.3856
arg,2017,25.28744
arg,2018,22.26676
arg,2019,22.52761
arm,2008,55.33722
arm,2009,55.07897
arm,2010,54.16628
arm,2011,53.53614
arm,2012,56.42332
arm,2013,56.69281
arm,2014,56.99563
arm,2015,56.56097
arm,2016,55.48178
arm,2017,57.52963
arm,2018,55.90557
aze,2015,56.98233
ben,2003,3.60006
bfa,2014,0.24394
bfa,2018,0.3021
bgd,2005,0.10191
bgd,2010,0.27228
bgd,2016,0.4757
bgr,2007,48.19672
bih,2007,36.91918
bih,2015,37.2437
blr,2008,39.38569
blr,2009,36.75283
blr,2010,37.15201
blr,2012,42.49706
blr,2013,48.98092
blr,2014,39.41911
blr,2015,40.68515
blr,2016,39.14599
blr,2017,42.9981
blr,2018,41.22598
blr,2019,41.4284
blz,2009,29.36916
bol,2006,0.15097
bol,2007,0.27605
bol,2008,0.27041
bol,2009,0.07986
bol,2011,0.78307
bol,2012,1.42914
bol,2014,0.58373
bol,2015,2.00966
bol,2016,0.83568
bol,2017,0.50245
bol,2018,0.75423
bol,2019,1.42263
bra,2006,11.55424
bra,2009,8.26926
bra,2011,9.76714
bra,2012,9.71582
bra,2015,10.58352
bra,2016,10.34918
bra,2017,10.99717
bra,2018,11.00884
bra,2019,10.53988
btn,2007,1.29057
btn,2012,0.31867
btn,2017,0.58473
bwa,2015,2.01765
chl,2006,24.4576
chl,2009,36.86726
chl,2011,15.62684
chl,2013,40.72819
chl,2015,41.8645
chl,2017,40.6383
chn,2013,33.86545
civ,2002,25.20135
civ,2008,2.28044
civ,2015,5.42581
cmr,2007,0.96333
cmr,2014,0.91225
cod,2004,0.59015
cod,2012,0.64599
cog,2005,4.88988
col,2010,1.17068
col,2011,0.5957
col,2012,0.43718
col,2014,0.58883
col,2015,0.77319
col,2016,0.64442
col,2017,0.62177
col,2018,0.62755
col,2019,0.57035
com,2004,0.7711
cpv,2007,3.24719
cri,2008,7.5709
cri,2009,14.60432
cri,2010,4.91342
cri,2011,5.12052
cri,2012,4.61524
cri,2014,5.43211
cri,2015,4.84241
cri,2016,5.35591
cri,2017,7.16438
cri,2018,6.4428
cri,2019,6.96194
dji,2012,5.33149
dma,2002,15.4359
dom,2007,2.34614
dom,2008,2.43888
dom,2009,2.26235
dom,2010,2.48835
dom,2011,2.65945
dom,2012,2.43564
dom,2013,2.75
dom,2014,2.58725
dom,2015,2.56748
dom,2016,2.43467
dom,2017,2.45067
dom,2018,2.08428
dom,2019,1.75394
ecu,2008,2.07787
ecu,2010,2.2245
ecu,2011,2.59678
ecu,2012,3.33973
ecu,2014,3.44601
ecu,2015,4.16989
ecu,2016,4.57627
ecu,2017,3.61826
ecu,2018,3.67069
ecu,2019,4.12522
egy,2008,17.72657
eth,2015,0.3385
eth,2018,0.08964
fji,2008,5.45188
fji,2013,4.56772
fsm,2000,7.49548
gab,2005,11.45231
gha,2005,2.27485
gha,2012,60.57968
gha,2016,49.29746
gin,2012,0.74435
gmb,1998,0.98914
gmb,2010,0.45239
gmb,2015,1.13273
gtm,2006,0.44046
gtm,2011,0.73941
gtm,2014,1.48949
hnd,2008,0.32234
hnd,2009,0.03324
hnd,2010,0.22409
hnd,2011,0.76794
hnd,2013,0.56627
hnd,2015,0.32807
hnd,2016,0.31035
hnd,2017,0.08825
hrv,2008,59.36819
hrv,2010,58.13471
