global,time,eg_gdp_puse_ko_pp
world,1990,3.49203
world,1991,3.63809
world,1992,3.80089
world,1993,3.92095
world,1994,4.10624
world,1995,4.2237
world,1996,4.36563
world,1997,4.53525
world,1998,4.66717
world,1999,4.79783
world,2000,5.04045
world,2001,5.21839
world,2002,5.36016
world,2003,5.46215
world,2004,5.65429
world,2005,5.92681
world,2006,6.30725
world,2007,6.6439
world,2008,6.93837
world,2009,7.04781
world,2010,7.11033
world,2011,7.46017
world,2012,7.70433
world,2013,7.97195
world,2014,8.19982
