geo,time,tm_tax_tcom_ip_zs
abw,2011,4.13288
abw,2012,3.74632
abw,2013,3.74632
abw,2015,3.94951
abw,2016,4.19664
abw,2017,4.31808
abw,2018,4.12127
abw,2019,3.83704
afg,2004,0
afg,2006,16.87243
afg,2007,16.01563
afg,2008,14.13043
afg,2012,21.97802
afg,2013,21.97802
afg,2018,25.36443
ago,2002,21.61983
ago,2004,25.20881
ago,2005,24.96549
ago,2006,24.96549
ago,2008,46.68763
ago,2009,45.75567
ago,2010,23.78538
ago,2011,22.59528
ago,2012,22.43642
ago,2013,21.71214
ago,2014,55.04316
ago,2015,54.4137
ago,2016,54.4137
ago,2018,46.44239
ago,2019,45.60231
ago,2020,49.50146
alb,1997,40.22055
alb,2000,40.55685
alb,2001,40.77698
alb,2002,0
alb,2003,0
alb,2004,0
alb,2005,0
alb,2006,0
alb,2007,0
alb,2008,17.4365
alb,2009,0
alb,2010,0
alb,2011,18.47066
alb,2012,0
alb,2013,15.82448
alb,2014,13.00379
alb,2015,12.43094
alb,2016,10.68665
alb,2017,19.66054
alb,2018,0
alb,2019,0
alb,2020,0
are,2005,1.84438
are,2007,1.49884
are,2008,1.62943
are,2009,1.62943
are,2011,1.13082
are,2012,0.83216
are,2013,0.66423
are,2014,0.64966
are,2015,0.70166
are,2016,0.44589
are,2017,1.34708
are,2018,0.93139
are,2019,0.88386
are,2020,0.6486
arg,1992,11.00595
arg,1993,0.10198
arg,1995,21.03717
arg,1996,21.76122
arg,1997,20.9979
arg,1998,33.51445
arg,1999,29.97554
arg,2000,32.0198
arg,2001,30.08538
arg,2002,33.48115
arg,2003,19.76148
arg,2004,25.17639
arg,2005,15.26069
arg,2006,15.211
arg,2007,15.52354
arg,2008,14.63994
arg,2009,14.71766
arg,2010,13.07121
arg,2011,13.02717
arg,2012,12.63488
arg,2013,13.00489
arg,2014,14.30409
arg,2015,13.94476
arg,2016,14.23707
arg,2017,15.13307
arg,2018,16.15648
arg,2019,15.88448
arg,2020,16.50266
arm,2001,0
arm,2003,0.71507
arm,2004,0.42254
arm,2005,1.80856
arm,2006,2.749
arm,2007,1.34328
arm,2008,0.17159
arm,2009,0.53539
