geo,time,sl_agr_empl_ma_zs
afg,1991,61.12
afg,1992,61.4
afg,1993,62.24
afg,1994,62.37
afg,1995,62.16
afg,1996,62.55
afg,1997,62.86
afg,1998,63.08
afg,1999,63.31
afg,2000,63.65
afg,2001,64.02
afg,2002,61.97
afg,2003,61.15
afg,2004,60.51
afg,2005,59.3
afg,2006,58.39
afg,2007,57.29
afg,2008,56.36
afg,2009,53.89
afg,2010,51.39
afg,2011,50.2
afg,2012,47.81
afg,2013,45.88
afg,2014,44.09
afg,2015,42.3
afg,2016,40.66
afg,2017,38.36
afg,2018,37.26
afg,2019,36.6
ago,1991,34.15
ago,1992,33.54
ago,1993,33.64
ago,1994,33.03
ago,1995,32.58
ago,1996,31.99
ago,1997,31.84
ago,1998,32.07
ago,1999,30.66
ago,2000,30.19
ago,2001,30.44
ago,2002,29.22
ago,2003,28.98
ago,2004,28.15
ago,2005,30.15
ago,2006,32.64
ago,2007,35.02
ago,2008,37.56
ago,2009,40.2
ago,2010,42.54
ago,2011,44.52
ago,2012,44.1
ago,2013,43.99
ago,2014,44.15
ago,2015,44.54
ago,2016,44.8
ago,2017,44.8
ago,2018,44.75
ago,2019,44.65
alb,1991,51.61
alb,1992,52.63
alb,1993,52.14
alb,1994,51.59
alb,1995,50.84
alb,1996,49
alb,1997,48.72
alb,1998,47.94
alb,1999,46.31
alb,2000,44.92
alb,2001,42.96
alb,2002,41.7
alb,2003,40.94
alb,2004,39.78
alb,2005,38.56
alb,2006,37.43
alb,2007,36.68
alb,2008,35.75
alb,2009,35.05
alb,2010,34.26
alb,2011,38.81
alb,2012,37.59
alb,2013,37.57
alb,2014,36.76
alb,2015,36.74
alb,2016,36.29
alb,2017,34.96
alb,2018,33.72
alb,2019,32.71
are,1991,9.5
are,1992,9.41
are,1993,9.29
are,1994,9.18
are,1995,9.03
are,1996,9.04
are,1997,9.02
are,1998,8.98
are,1999,8.98
are,2000,8.96
are,2001,8.24
are,2002,7.59
are,2003,6.96
are,2004,6.39
are,2005,5.86
are,2006,5.38
are,2007,4.92
are,2008,4.51
are,2009,4.12
are,2010,3.79
are,2011,3.48
are,2012,3.18
are,2013,2.9
are,2014,2.64
are,2015,2.38
are,2016,2.16
are,2017,1.94
are,2018,1.76
are,2019,1.67
arg,1991,0.48
arg,1992,0.46
arg,1993,0.55
arg,1994,0.59
arg,1995,0.79
arg,1996,1.13
arg,1997,1.16
arg,1998,1.14
arg,1999,1.1
arg,2000,0.98
arg,2001,1.22
arg,2002,1.35
arg,2003,1.69
arg,2004,1.86
arg,2005,1.66
arg,2006,1.44
arg,2007,1.61
arg,2008,1.77
arg,2009,1.82
arg,2010,1.88
arg,2011,0.88
arg,2012,0.84
arg,2013,0.89
arg,2014,0.82
arg,2015,0.39
arg,2016,0.19
arg,2017,0.09
arg,2018,0.12
arg,2019,0.08
arm,1991,40.16
arm,1992,41.28
arm,1993,41.85
arm,1994,41.64
arm,1995,41.27
arm,1996,40.97
arm,1997,40.69
arm,1998,39.97
arm,1999,39.49
arm,2000,38.81
arm,2001,37.78
arm,2002,36.52
arm,2003,35.12
arm,2004,34.05
arm,2005,32.79
arm,2006,31.37
arm,2007,30.16
arm,2008,31.71
arm,2009,34.14
arm,2010,31.64
arm,2011,33.14
arm,2012,31.34
arm,2013,29.04
arm,2014,29.94
arm,2015,31.23
arm,2016,30.76
arm,2017,28.31
arm,2018,23.4
arm,2019,21.69
aus,1991,6.44
aus,1992,6.11
aus,1993,6.21
aus,1994,5.92
aus,1995,5.74
aus,1996,5.94
aus,1997,6
aus,1998,5.91
aus,1999,6.03
aus,2000,5.96
aus,2001,5.79
aus,2002,5.45
aus,2003,4.94
aus,2004,4.58
aus,2005,4.49
aus,2006,4.27
aus,2007,4.17
aus,2008,4.19
aus,2009,4.08
aus,2010,4.01
aus,2011,3.59
aus,2012,3.54
aus,2013,3.41
aus,2014,3.62
aus,2015,3.31
aus,2016,3.43
aus,2017,3.41
aus,2018,3.44
aus,2019,3.29
aut,1991,7
aut,1992,6.88
aut,1993,6.74
aut,1994,6.61
aut,1995,6.69
aut,1996,6.55
aut,1997,6.25
aut,1998,5.91
aut,1999,5.68
aut,2000,5.8
aut,2001,5.43
aut,2002,5.5
aut,2003,5.28
aut,2004,4.93
aut,2005,5.27
aut,2006,5.21
aut,2007,5.45
aut,2008,5.27
aut,2009,5.43
aut,2010,5.4
aut,2011,5.18
aut,2012,5.05
aut,2013,4.92
aut,2014,5.08
aut,2015,4.82
aut,2016,4.72
aut,2017,4.15
aut,2018,4.05
aut,2019,4.07
aze,1991,37.47
aze,1992,37.77
aze,1993,37.72
aze,1994,39.21
aze,1995,39.82
aze,1996,40.02
aze,1997,38.86
aze,1998,37.93
aze,1999,37.7
aze,2000,36.56
aze,2001,37.48
aze,2002,40.94
aze,2003,40.92
aze,2004,40.91
aze,2005,41.1
aze,2006,36.09
aze,2007,35.31
aze,2008,38.56
aze,2009,32.53
aze,2010,32.41
aze,2011,32.19
aze,2012,31.74
aze,2013,31.06
aze,2014,31.2
aze,2015,30.98
aze,2016,30.95
aze,2017,30.91
aze,2018,30.91
aze,2019,30.57
bdi,1991,86.92
bdi,1992,86.93
bdi,1993,86.99
bdi,1994,87.01
bdi,1995,87.15
bdi,1996,87.4
bdi,1997,87.4
bdi,1998,87.15
bdi,1999,86.77
bdi,2000,86.37
bdi,2001,85.93
bdi,2002,85.46
bdi,2003,84.99
bdi,2004,84.84
