geo,time,sl_agr_0714_ma_zs
alb,2010,83.65
aze,2005,91.9
bfa,2003,98.4
bfa,2006,78.3
bgd,2003,61.35
bgd,2013,34.13
bol,2002,78.8
bol,2005,85.7
bol,2008,74
bol,2009,69.19
bol,2013,83.75
bol,2015,75.38
bra,2004,66.2
bra,2008,60.4
bra,2009,59.21
bra,2011,63.17
bra,2013,62.44
bra,2014,61.82099
bra,2015,60.92
chl,2003,31
chl,2012,34.57
cmr,2001,90.42
cmr,2007,90.23
col,2007,49.12
col,2009,55.11
col,2012,48.04
col,2014,48.44
col,2015,53.43
cri,2004,47.98
cri,2011,58.09
cri,2016,41.46
dom,2005,23.33
dom,2009,37.68
dom,2012,28.53
ecu,2004,71.2
ecu,2006,68.11
ecu,2009,69.65
ecu,2011,70.88
ecu,2015,79.33
egy,2009,51.48
eth,2005,96.8
gha,2003,89
gha,2012,84.63
gin,2010,78.85
gmb,2015,92.75
gtm,2003,74.2
gtm,2004,79.2
gtm,2006,75.99
gtm,2012,78.02
gtm,2014,75.2
gtm,2015,72.07358
hnd,2004,76.9
hnd,2007,74.31
hnd,2011,83.02
hnd,2013,77.48
hnd,2014,73.97
idn,2009,65.5
idn,2010,71.16
ind,2000,70.47
ind,2005,66.05
ind,2010,64.35
ind,2012,47.73
jam,2002,36.84
jor,2007,29.9
jor,2016,40.93
ken,1999,87.29359
kgz,1998,93.03177
kgz,2007,97.92
kgz,2014,99.41175
khm,2001,78.5
khm,2009,88.42
khm,2012,65.81
lao,2010,95.98
lbr,2010,80.33
lka,1999,71.14
lka,2009,66.6
mar,1999,60.78
mar,2004,52.74
mda,2009,97.12
mdg,2001,94.08
mdg,2007,90.62
mex,2004,46.4
mex,2009,47.81
mex,2010,45.94
mex,2011,44.59
mex,2013,45.47
mli,2005,86.8
mli,2007,83.83
mng,2007,90.79
mng,2012,84.74
mwi,2015,74.1
nam,1999,91.45
ner,2009,26.02
nga,2010,90.85
nic,2001,73.18533
nic,2005,78.78
nic,2010,70.72
nic,2012,63.89
npl,1999,88.3
npl,2008,89.03
pak,2008,72.55
pak,2011,70.72
pan,2003,61.97
pan,2008,77.76
pan,2010,73.19
pan,2012,66.52
pan,2014,69.22
per,2000,75.4
per,2007,63.7
phl,2001,70.9
phl,2011,64.4
prt,2001,52.70979
pry,2005,69.76
pry,2014,61.23
rou,2000,96.39
rwa,2008,86.18
rwa,2011,70.9
rwa,2014,66.66
sdn,2008,71.7
sen,2005,85.15
sen,2011,89.01
sle,2007,84.24
slv,2003,66.38421
slv,2007,63.72
slv,2009,69.43
slv,2011,71.53
slv,2012,70.61
slv,2013,66.46
ssd,2008,69.52
tgo,2006,89.08
tgo,2010,78.11
tjk,1999,23.81
tls,2007,98.16
tur,1999,52.71205
tur,2006,49.35
tza,2001,83.45964
tza,2006,89.01
tza,2014,96.68
uga,2006,96.02
uga,2012,94.36
ury,2009,36.72
ven,2003,35.15831
ven,2005,37.6
ven,2006,39.56
ven,2013,41.68
vnm,2012,80.66
yem,1999,87.21
yem,2010,77.89
zmb,2005,96.47
zmb,2008,93.57
