global,time,er_gdp_fwtl_m3_kd
world,1972,25.62117
world,1977,3.95107
world,1982,8.75372
world,1987,10.19279
world,1992,11.735
world,1997,12.89087
world,2001,23.99854
world,2002,14.17559
world,2005,23.05227
world,2007,16.20135
world,2012,17.9146
world,2014,66.42963
world,2017,20.43658
