global,time,se_prm_tcaq_ma_zs
world,2013,82.34343
world,2014,82.65888
world,2015,82.1851
world,2016,79.86568
world,2017,81.57814
world,2018,82.85568
world,2019,81.67424
world,2020,81.19814
