global,time,sl_tlf_acti_zs
world,1990,70.32217
world,1991,70.29434
world,1992,70.27674
world,1993,70.1222
world,1994,70.16918
world,1995,70.04681
world,1996,69.91312
world,1997,69.81992
world,1998,69.67741
world,1999,69.66055
world,2000,69.52553
world,2001,69.25457
world,2002,69.04841
world,2003,68.85521
world,2004,68.75415
world,2005,68.62858
world,2006,68.35906
world,2007,68.19756
world,2008,67.95571
world,2009,67.69551
world,2010,67.38877
world,2011,67.17725
world,2012,67.01327
world,2013,66.82949
world,2014,66.66828
world,2015,66.59108
world,2016,66.51426
world,2017,66.5211
world,2018,66.50586
world,2019,66.53054
