global,time,sh_h2o_basw_ur_zs
world,2000,95.05833
world,2001,95.10547
world,2002,95.15526
world,2003,95.20633
world,2004,95.25152
world,2005,95.31878
world,2006,95.36819
world,2007,95.42353
world,2008,95.47471
world,2009,95.52664
world,2010,95.58231
world,2011,95.61522
world,2012,95.67705
world,2013,95.74131
world,2014,95.81146
world,2015,95.89325
world,2016,95.97332
world,2017,96.05992
world,2018,96.13825
world,2019,96.19948
world,2020,96.24503
