geo,time,fb_cbk_brch_p5
abw,2011,20.96
abw,2012,21.96
abw,2013,19.29
abw,2014,19.06
abw,2015,18.86
abw,2016,19.83
abw,2017,18.51
abw,2018,17.24
abw,2019,14.84
abw,2020,11.34
afg,2004,0.37
afg,2005,0.58
afg,2006,0.92
afg,2007,1.24
afg,2008,1.48
afg,2009,2.23
afg,2010,2.39
afg,2011,2.22
afg,2012,2.13
afg,2013,2.25
afg,2014,2.3
afg,2015,2.16
afg,2016,2.11
afg,2017,2.04
afg,2018,1.96
afg,2019,1.87
ago,2004,1.81
ago,2005,2.24
ago,2006,3.38
ago,2007,3.87
ago,2008,4.65
ago,2009,5.22
ago,2010,7.41
ago,2011,8.37
ago,2012,9.04
ago,2013,10.15
ago,2014,10.19
ago,2015,10.44
ago,2016,10.29
ago,2017,10.29
ago,2018,9.49
ago,2019,9.44
ago,2020,8.75
alb,2004,9.68
alb,2005,11.7
alb,2006,13.83
alb,2007,18.61
alb,2008,23.5
alb,2009,24.01
alb,2010,24.13
alb,2011,24.11
alb,2012,24.06
alb,2013,23.49
alb,2014,22.07
alb,2015,22.02
alb,2016,21.68
alb,2017,20.72
alb,2018,19.54
alb,2019,18.71
alb,2020,18.61
are,2004,15.07
are,2005,13.32
are,2006,12.61
are,2007,12.16
are,2008,12.31
are,2009,11.82
are,2010,11.69
are,2011,11.67
are,2012,11.96
are,2013,12.39
are,2014,12.75
are,2015,12.79
are,2016,12.37
are,2017,11.27
are,2018,10.74
are,2019,9.53
are,2020,7.98
arg,2004,13.43
arg,2005,13.24
arg,2006,13.24
arg,2007,13.19
arg,2008,13.12
arg,2009,12.99
arg,2010,13.04
arg,2011,13.14
arg,2012,13.22
arg,2013,13.25
arg,2014,13.23
arg,2015,13.26
arg,2016,13.45
arg,2017,13.54
arg,2018,13.49
arg,2019,13.45
arg,2020,13.21
arm,2004,10.84
arm,2005,12.3
arm,2006,13.68
arm,2007,15.81
arm,2008,17.31
arm,2009,17.79
arm,2010,18.56
arm,2011,19.98
arm,2012,21.28
arm,2013,21.74
arm,2014,22.71
arm,2015,23.4
arm,2016,23.11
arm,2017,23.14
arm,2018,23.61
arm,2019,24.24
arm,2020,24.55
atg,2009,38.35
atg,2010,37.54
atg,2011,35.4
atg,2012,34.77
atg,2013,34.18
atg,2014,30.82
atg,2015,28.99
atg,2016,25.91
atg,2017,25.6
atg,2018,23.99
atg,2019,23.75
atg,2020,20.91
aus,2004,30.67
aus,2005,30.65
aus,2006,31.24
aus,2007,31.67
aus,2008,31.57
aus,2009,31.22
aus,2010,30.75
aus,2011,30.41
aus,2012,30.94
aus,2013,30.14
aus,2014,29.16
aus,2015,28.75
aus,2016,27.74
aus,2017,29.63
aus,2018,28.22
aus,2019,26.43
aus,2020,25.43
aut,2004,13.93
aut,2005,13.32
aut,2006,13.09
aut,2007,12.88
aut,2008,12.57
aut,2009,11.77
aut,2010,11.29
aut,2011,15.13
aut,2012,15.97
aut,2013,15.54
aut,2014,14.83
aut,2015,13.8
aut,2016,12.66
aut,2017,12.06
aut,2018,11.94
aut,2019,11.87
aut,2020,7.42
aze,2004,6.52
aze,2005,6.75
aze,2006,7.33
aze,2007,8.21
aze,2008,9.19
aze,2009,9.79
aze,2010,9.86
aze,2011,10
aze,2012,9.69
aze,2013,10.2
aze,2014,10.82
aze,2015,10.66
aze,2018,7.06
aze,2019,7.02
aze,2020,6.22
bdi,2004,1.6
bdi,2005,1.64
bdi,2006,1.77
bdi,2007,1.89
bdi,2008,1.93
bdi,2009,2.09
