geo,time,nv_ind_empl_kd
afg,2002,3192.34417
afg,2003,3216.8443
afg,2004,3498.83453
afg,2005,3534.91227
afg,2006,3760.39732
afg,2007,3831.37264
afg,2008,3890.10302
afg,2009,3718.57915
afg,2010,3582.27214
afg,2011,3748.78299
afg,2012,3556.26278
afg,2013,3427.99296
afg,2014,3257.07903
afg,2015,3154.91442
afg,2016,2974.04014
afg,2017,2996.39794
afg,2018,3129.49791
afg,2019,3145.51339
ago,2002,33387.65169
ago,2003,31721.33848
ago,2004,34504.15997
ago,2005,41292.01296
ago,2006,46455.42878
ago,2007,55319.01837
ago,2008,60667.59525
ago,2009,58104.18679
ago,2010,60194.74622
ago,2011,55196.46542
ago,2012,59100.22185
ago,2013,59439.27849
ago,2014,57329.90513
ago,2015,60680.717
ago,2016,60569.89716
ago,2017,59066.6649
ago,2018,56492.30231
ago,2019,50056.98532
alb,1996,7994.60957
alb,1997,6510.2949
alb,1998,7212.33764
alb,1999,8287.54839
alb,2000,9085.18254
alb,2001,10019.97264
alb,2002,9823.37234
alb,2003,11373.42403
alb,2004,11926.85507
alb,2005,12222.96574
alb,2006,12735.704
alb,2007,12516.01449
alb,2008,12436.29673
alb,2009,11494.53568
alb,2010,11718.08514
alb,2011,11605.24039
alb,2012,12399.97161
alb,2013,14282.2866
alb,2014,13358.55664
alb,2015,12302.84353
alb,2016,11591.70916
alb,2017,11416.42638
alb,2018,11651.06659
alb,2019,11251.66103
are,2001,160578.7479
are,2002,143503.08544
are,2003,138654.21331
are,2004,133250.08093
are,2005,118170.28961
are,2006,111144.35167
are,2007,88817.51003
are,2008,76540.08075
are,2009,62547.09094
are,2010,58804.95163
are,2011,61851.93027
are,2012,63205.09923
are,2013,65335.0644
are,2014,66325.5283
are,2015,69272.18922
are,2016,70918.6245
are,2017,71199.89873
are,2018,71470.3557
are,2019,72942.36866
arg,1991,17784.17147
arg,1992,19866.26956
arg,1993,23248.40744
arg,1994,25635.331
arg,1995,28047.83958
arg,1996,30999.30426
arg,1997,31269.51617
arg,1998,31312.01501
arg,1999,30852.99748
arg,2000,31244.80233
arg,2001,31124.16644
arg,2002,30749.34121
arg,2003,30244.04923
arg,2004,30781.76914
arg,2005,31002.78653
arg,2006,32009.19943
arg,2007,32942.94755
arg,2008,33549.70435
arg,2009,32168.51466
arg,2010,34442.16903
arg,2011,34648.79719
arg,2012,33954.72549
arg,2013,33396.68449
arg,2014,31886.95684
arg,2015,32537.93119
arg,2016,31265.002
arg,2017,32198.41023
arg,2018,31466.53816
arg,2019,29785.69914
arm,1991,12021.98805
arm,1992,3427.11555
arm,1993,3761.67544
arm,1994,4326.60755
arm,1995,4530.19623
arm,1996,5064.36277
arm,1997,5340.92987
arm,1998,5345.52306
arm,1999,5797.60927
arm,2000,7120.87855
arm,2001,7339.81316
arm,2002,8644.92422
arm,2003,10420.55491
arm,2004,10843.9841
arm,2005,11958.02379
arm,2006,13401.3687
arm,2007,14435.592
arm,2008,16885.7034
arm,2009,13376.4146
arm,2010,13570.14538
arm,2011,13973.20093
arm,2012,13553.50409
arm,2013,13881.01803
arm,2014,14155.34931
arm,2015,15691.67547
arm,2016,16049.51402
arm,2017,16810.20527
arm,2018,13393.0487
arm,2019,13291.25893
aus,2015,139394.47962
aut,1991,56791.94233
aut,1992,56902.32852
aut,1993,57684.14917
aut,1994,59015.92127
aut,1995,61674.10177
aut,1996,67597.00377
aut,1997,70323.21733
aut,1998,72154.75158
aut,1999,72647.92834
aut,2000,74742.80432
aut,2001,77459.48585
aut,2002,77276.35731
aut,2003,78521.74632
aut,2004,90926.4886
aut,2005,86903.52289
aut,2006,86636.41084
aut,2007,91523.78283
aut,2008,93261.97252
aut,2009,87018.45557
aut,2010,89305.41767
aut,2011,88042.56051
aut,2012,88475.89206
aut,2013,89172.3144
aut,2014,89638.07521
aut,2015,88727.83224
aut,2016,90862.27482
aut,2017,95624.17717
aut,2018,96234.5754
aut,2019,97043.70804
aze,1992,15308.37741
aze,1993,11770.75142
aze,1994,8745.67703
aze,1995,7761.09188
aze,1996,8471.24263
aze,1997,10215.00307
aze,1998,12196.68288
aze,1999,12463.54437
aze,2000,11150.55143
aze,2001,12073.28184
aze,2002,12543.58002
aze,2003,13697.1384
aze,2004,14673.70831
aze,2005,20810.24922
aze,2006,30267.69669
aze,2007,38907.66834
aze,2008,43540.09362
aze,2009,45056.26854
aze,2010,42521.01835
aze,2011,38702.4037
aze,2012,37118.51382
aze,2013,37877.12512
aze,2014,37439.14582
aze,2015,36566.54585
aze,2016,33730.28541
aze,2017,32043.5602
aze,2018,30677.12659
aze,2019,30728.3237
bdi,1991,8919.61587
bdi,1992,9808.83233
bdi,1993,8549.43885
bdi,1994,7098.30171
bdi,1995,6085.80485
bdi,1996,6510.39528
bdi,1997,6556.38319
bdi,1998,6501.85243
bdi,1999,6661.17815
bdi,2000,6087.9559
bdi,2001,5458.80332
bdi,2002,4855.76235
bdi,2003,4289.06776
bdi,2004,3830.02025
bdi,2005,3601.20119
bdi,2006,3561.7878
bdi,2007,3581.94813
bdi,2008,3504.84431
bdi,2009,3553.71382
bdi,2010,3354.90841
bdi,2011,3200.24063
bdi,2012,3151.88804
bdi,2013,3026.28861
bdi,2014,3007.57313
bdi,2015,2450.68916
bdi,2016,2335.90105
bdi,2017,2278.45126
bdi,2018,2293.78251
bdi,2019,2304.41472
bel,1995,60618.76132
bel,1996,63525.28383
bel,1997,66758.37357
