geo,time,sp_pop_65up_fe_in
abw,1960,803
abw,1961,849
abw,1962,894
abw,1963,932
abw,1964,973
abw,1965,1023
abw,1966,1071
abw,1967,1125
abw,1968,1184
abw,1969,1255
abw,1970,1329
abw,1971,1453
abw,1972,1574
abw,1973,1706
abw,1974,1835
abw,1975,1966
abw,1976,2019
abw,1977,2081
abw,1978,2149
abw,1979,2222
abw,1980,2314
abw,1981,2387
abw,1982,2472
abw,1983,2546
abw,1984,2595
abw,1985,2636
abw,1986,2645
abw,1987,2637
abw,1988,2636
abw,1989,2667
abw,1990,2739
abw,1991,2738
abw,1992,2786
abw,1993,2872
abw,1994,2981
abw,1995,3102
abw,1996,3241
abw,1997,3378
abw,1998,3533
abw,1999,3706
abw,2000,3899
abw,2001,4084
abw,2002,4287
abw,2003,4501
abw,2004,4698
abw,2005,4866
abw,2006,5111
abw,2007,5326
abw,2008,5527
abw,2009,5741
abw,2010,5998
abw,2011,6181
abw,2012,6403
abw,2013,6667
abw,2014,6953
abw,2015,7253
abw,2016,7574
abw,2017,7907
abw,2018,8252
abw,2019,8620
abw,2020,9011
afg,1960,115755
afg,1961,118864
afg,1962,121786
afg,1963,124431
afg,1964,126641
afg,1965,128377
afg,1966,132213
afg,1967,135626
afg,1968,138675
afg,1969,141480
afg,1970,144088
afg,1971,148919
afg,1972,153483
afg,1973,157598
afg,1974,161080
afg,1975,163813
afg,1976,167877
afg,1977,170596
afg,1978,171551
afg,1979,170321
afg,1980,166799
afg,1981,165587
afg,1982,161525
afg,1983,155152
afg,1984,147157
afg,1985,137892
afg,1986,137794
afg,1987,138093
afg,1988,139245
afg,1989,141610
afg,1990,145043
afg,1991,155204
afg,1992,169016
afg,1993,185036
afg,1994,201468
afg,1995,217292
afg,1996,226575
afg,1997,232512
afg,1998,236654
afg,1999,240979
afg,2000,246717
afg,2001,254716
afg,2002,264833
afg,2003,276150
afg,2004,287338
afg,2005,297667
afg,2006,309845
afg,2007,320362
afg,2008,330587
afg,2009,342521
afg,2010,357421
afg,2011,374724
afg,2012,395096
afg,2013,417170
afg,2014,438835
afg,2015,458824
afg,2016,479389
afg,2017,497970
afg,2018,515553
afg,2019,533560
afg,2020,552871
ago,1960,86970
ago,1961,89343
ago,1962,91480
ago,1963,93306
ago,1964,94593
ago,1965,95124
ago,1966,92819
ago,1967,88746
ago,1968,83084
ago,1969,76333
ago,1970,68953
ago,1971,72020
ago,1972,75992
ago,1973,80468
ago,1974,84895
ago,1975,88933
ago,1976,92017
ago,1977,94897
ago,1978,97857
ago,1979,101247
ago,1980,105286
ago,1981,110486
ago,1982,116053
ago,1983,121703
ago,1984,127027
ago,1985,131843
ago,1986,136221
ago,1987,140050
ago,1988,143857
ago,1989,148312
ago,1990,153814
ago,1991,160627
ago,1992,168124
ago,1993,176015
ago,1994,183913
ago,1995,191652
ago,1996,199875
ago,1997,207721
ago,1998,215489
ago,1999,223582
ago,2000,232173
ago,2001,241868
ago,2002,251804
ago,2003,261549
ago,2004,270446
ago,2005,278164
ago,2006,285791
ago,2007,292305
ago,2008,298253
ago,2009,304385
ago,2010,311143
ago,2011,319927
ago,2012,329349
ago,2013,338829
ago,2014,347477
ago,2015,354980
ago,2016,363537
ago,2017,370978
ago,2018,378459
ago,2019,387541
ago,2020,399128
alb,1960,47901
alb,1961,49235
alb,1962,50847
alb,1963,52576
alb,1964,54215
alb,1965,55608
alb,1966,56353
alb,1967,56941
alb,1968,57644
alb,1969,58585
alb,1970,59657
alb,1971,60947
alb,1972,62474
alb,1973,64068
alb,1974,65684
alb,1975,67319
alb,1976,68954
alb,1977,70624
alb,1978,72235
alb,1979,73822
