geo,time,sl_tlf_cact_ma_zs
aze,2015,68.685
aze,2016,69.719
aze,2017,70.055
aze,2018,70.178
aze,2019,69.776
aze,2020,66.57
aze,2021,67.342
bdi,1990,90.065
bdi,1991,89.494
bdi,1992,88.893
bdi,1993,88.263
bdi,1994,87.601
bdi,1995,86.909
bdi,1996,86.185
bdi,1997,85.429
bdi,1998,84.64
bdi,1999,84.277
bdi,2000,83.907
bdi,2001,83.529
bdi,2002,83.144
bdi,2003,82.752
bdi,2004,82.352
bdi,2005,81.945
bdi,2006,81.531
bdi,2007,81.109
bdi,2008,80.68
bdi,2009,80.243
bdi,2010,79.799
bdi,2011,79.348
bdi,2012,78.888
bdi,2013,78.421
bdi,2014,77.947
bdi,2015,77.991
bdi,2016,78.014
bdi,2017,78.011
bdi,2018,77.981
bdi,2019,77.925
bdi,2020,77.185
bdi,2021,77.379
bel,1990,60.964
bel,1991,61.324
bel,1992,61.099
bel,1993,60.574
bel,1994,61.164
bel,1995,61.189
bel,1996,60.895
bel,1997,60.645
bel,1998,60.628
bel,1999,61.211
bel,2000,61.484
bel,2001,60.479
bel,2002,60.338
bel,2003,60.257
bel,2004,60.274
bel,2005,61.356
bel,2006,60.829
bel,2007,61.06
bel,2008,60.831
bel,2009,60.358
bel,2010,60.779
bel,2011,59.704
bel,2012,59.734
bel,2013,59.665
bel,2014,59.228
bel,2015,58.885
bel,2016,58.713
bel,2017,59.176
bel,2018,59.045
bel,2019,59.119
bel,2020,58.481
bel,2021,58.812
ben,1990,88.886
ben,1991,88.849
ben,1992,88.77
ben,1993,87.82
ben,1994,86.861
ben,1995,85.89
ben,1996,84.91
ben,1997,83.914
ben,1998,82.899
ben,1999,81.862
ben,2000,80.801
ben,2001,79.714
ben,2002,78.602
ben,2003,78.117
ben,2004,77.634
ben,2005,77.153
ben,2006,76.675
ben,2007,76.197
ben,2008,75.717
ben,2009,75.236
ben,2010,74.753
ben,2011,74.267
ben,2012,74.16
ben,2013,74.031
ben,2014,73.887
ben,2015,73.733
ben,2016,73.604
ben,2017,73.456
ben,2018,73.289
ben,2019,73.106
ben,2020,72.41
ben,2021,72.599
bfa,1990,88.908
bfa,1991,88.966
bfa,1992,88.788
bfa,1993,88.607
bfa,1994,88.423
bfa,1995,88.234
bfa,1996,88.042
bfa,1997,87.846
bfa,1998,87.644
bfa,1999,87.435
bfa,2000,87.219
bfa,2001,86.993
bfa,2002,86.757
bfa,2003,86.51
bfa,2004,86.251
bfa,2005,85.979
bfa,2006,85.693
bfa,2007,84.4
bfa,2008,83.058
bfa,2009,81.666
bfa,2010,80.225
bfa,2011,78.733
bfa,2012,77.191
bfa,2013,75.599
bfa,2014,73.957
bfa,2015,73.832
bfa,2016,73.712
bfa,2017,73.581
bfa,2018,73.434
bfa,2019,73.266
bfa,2020,72.559
bfa,2021,72.725
bgd,1990,88.919
bgd,1991,88.816
bgd,1992,88.707
bgd,1993,88.589
bgd,1994,88.463
bgd,1995,88.327
bgd,1996,88.082
bgd,1997,87.827
bgd,1998,87.565
bgd,1999,87.298
