geo,time,sh_uhc_oopc_25_zs
afg,2007,0.0656
afg,2013,2.01351
afg,2016,5.6139
ago,2008,4.41569
ago,2018,12.4773
alb,1996,2.91468
alb,2002,5.63629
alb,2005,4.4974
alb,2008,4.0759
alb,2012,4.9454
arg,1996,5.0007
arg,2004,4.70356
arg,2017,2.53601
arm,1999,6.88332
arm,2001,5.92386
arm,2002,5.95909
arm,2003,5.57404
arm,2004,7.49614
arm,2005,6.18306
arm,2006,5.90793
arm,2007,4.06197
arm,2008,3.53123
arm,2009,3.67525
arm,2010,5.34746
arm,2011,3.32178
arm,2012,4.4832
arm,2013,4.87132
arm,2014,6.03367
arm,2015,7.58287
arm,2016,5.7482
arm,2017,7.09431
aus,2009,0.33143
aus,2015,0.39858
aut,1999,0.65766
aze,2002,1.1944
aze,2003,1.19815
aze,2004,1.14587
aze,2005,1.09788
bdi,1998,0.07356
bdi,2006,1.45113
bdi,2013,0.43286
bel,2009,1.3945
ben,2003,0.8519
ben,2011,0.96259
ben,2015,0.97717
bfa,1998,3.69721
bfa,2003,2.35703
bfa,2009,0.62471
bfa,2014,0.41735
bgd,2000,4.76626
bgd,2005,3.59314
bgd,2010,4.5246
bgd,2016,8.44792
bgr,1995,0.08596
bgr,1997,0.08624
bgr,2000,0.69401
bgr,2001,0.96339
bgr,2005,0.44334
bgr,2010,0.7577
bgr,2015,1.27279
bgr,2016,2.95882
bgr,2017,2.86667
bgr,2018,3.06732
bhr,2005,0.7
bhr,2015,1.4
bih,2001,3.44682
bih,2004,0.45228
bih,2007,1.8951
bih,2011,1.27258
bih,2015,1.38621
blr,2000,0.3
blr,2001,0.2
blr,2002,0.2
blr,2003,0.2
blr,2004,0.1
blr,2005,0.1
blr,2006,0.1
blr,2007,0.2
blr,2008,0.2
blr,2009,0.2
blr,2010,0.2
blr,2011,0.3
blr,2012,0.2
blr,2013,0.5
blr,2014,0.4
blr,2015,0.5
blr,2016,0.6
blr,2017,0.7
blr,2018,0.5
blr,2019,0.6
blr,2020,0.6
blz,2018,3.1
bol,1999,3.65785
bol,2000,3.83919
bol,2001,2.48196
bol,2002,3.19549
bol,2013,2.14388
bol,2014,1.16739
bol,2015,1.09163
bol,2018,1.06485
bol,2019,0.80539
bra,1996,2.41827
bra,2008,2.08593
bra,2017,1.88023
brb,2016,3.81942
btn,2000,0.41991
btn,2003,2.57366
btn,2007,1.21622
btn,2012,1.49735
btn,2017,1.76505
bwa,1993,1.82294
bwa,2009,0.20519
caf,2008,1.22225
can,2000,0.4
can,2001,0.4
can,2002,0.5
can,2003,0.6
can,2004,0.5
can,2005,0.4
can,2006,0.7
can,2007,0.6
can,2008,0.6
can,2009,0.5
can,2014,0.8
can,2015,0.5
can,2016,0.7
can,2017,0.9
can,2019,0.8
chl,1996,2.43202
chl,2006,1.90974
chl,2011,2.09989
chl,2016,2.08933
chn,1995,1.09181
chn,2002,2.99146
chn,2007,5.84865
chn,2013,5.26389
chn,2016,9.18358
civ,1985,3.45915
civ,1986,3.14807
civ,1987,1.60447
civ,1988,2.32687
civ,1992,2.04414
civ,1998,2.58527
civ,2002,1.84033
civ,2008,3.96722
civ,2014,3.3709
cmr,1996,5.7348
cmr,2007,0.75594
cmr,2014,1.78449
cod,2004,0.83749
cod,2012,0.61039
cog,2011,0.65938
col,1997,6.1364
col,2008,3.10919
col,2016,2.22924
com,2014,1.64124
cpv,2001,0.48823
