geo,time,pa_nus_ppp
abw,1990,0.94573
abw,1991,0.96614
abw,1992,0.98044
abw,1993,1.00846
abw,1994,1.04961
abw,1995,1.06271
abw,1996,1.07783
abw,1997,1.09813
abw,1998,1.15725
abw,1999,1.16587
abw,2000,1.15233
abw,2001,1.19107
abw,2002,1.22561
abw,2003,1.22851
abw,2004,1.22228
abw,2005,1.22486
abw,2006,1.2239
abw,2007,1.2628
abw,2008,1.30154
abw,2009,1.314
abw,2010,1.29007
abw,2011,1.30294
abw,2012,1.3178
abw,2013,1.28514
abw,2014,1.30884
abw,2015,1.36232
abw,2016,1.35504
abw,2017,1.35069
afg,2002,9.1903
afg,2003,10.07436
afg,2004,10.916
afg,2005,11.7415
afg,2006,12.21714
afg,2007,14.57779
afg,2008,14.5994
afg,2009,14.17549
afg,2010,14.54673
afg,2011,16.61348
afg,2012,17.24226
afg,2013,17.50942
afg,2014,17.03588
afg,2015,17.02252
afg,2016,17.44583
afg,2017,17.20556
afg,2018,17.15017
afg,2019,17.94821
afg,2020,19.12161
ago,1990,0
ago,1991,0
ago,1992,0
ago,1993,0
ago,1994,0.00003
ago,1995,0.0005
ago,1996,0.02395
ago,1997,0.046
ago,1998,0.06339
ago,1999,0.41085
ago,2000,2.08174
ago,2001,4.20352
ago,2002,10.03391
ago,2003,19.10367
ago,2004,24.82367
ago,2005,34.27519
ago,2006,38.96334
ago,2007,39.57884
ago,2008,46.34378
ago,2009,38.2842
ago,2010,50.05276
ago,2011,64.60575
ago,2012,65.68167
ago,2013,66.01937
ago,2014,65.00067
ago,2015,68.18204
ago,2016,80.77897
ago,2017,92.95172
ago,2018,117.15613
ago,2019,147.43416
ago,2020,159.35068
alb,1990,2.33922
alb,1991,3.06628
alb,1992,9.98275
alb,1993,22.00458
alb,1994,29.2666
alb,1995,31.48589
alb,1996,35.43435
alb,1997,38.72459
alb,1998,40.71854
alb,1999,41.10159
alb,2000,42.02528
alb,2001,42.82388
alb,2002,42.92607
alb,2003,44.59322
alb,2004,44.89849
alb,2005,45.52739
alb,2006,44.41224
alb,2007,44.63496
alb,2008,44.56116
alb,2009,44.33807
alb,2010,44.19621
alb,2011,43.85768
alb,2012,43.65525
alb,2013,44.11374
alb,2014,42.89393
alb,2015,42.7057
alb,2016,42.38573
alb,2017,42.25557
alb,2018,42.30298
alb,2019,42.34294
alb,2020,42.49808
are,1990,1.16774
are,1991,1.1387
are,1992,1.13345
are,1993,1.12135
are,1994,1.09503
are,1995,1.11445
are,1996,1.15759
are,1997,1.12642
are,1998,1.0665
are,1999,1.14008
are,2000,1.24295
are,2001,1.18769
are,2002,1.21329
are,2003,1.23968
are,2004,1.3098
are,2005,1.48016
are,2006,1.60854
are,2007,1.7628
are,2008,2.04964
are,2009,1.72529
are,2010,1.91843
are,2011,2.12661
are,2012,2.17772
are,2013,2.21332
are,2014,2.18257
are,2015,2.18778
are,2016,2.18975
are,2017,2.22179
are,2018,2.34776
are,2019,2.20407
are,2020,1.99569
arg,1990,0.29383
arg,1991,0.68355
arg,1992,0.77573
arg,1993,0.73079
arg,1994,0.7359
arg,1995,0.7436
arg,1996,0.72984
arg,1997,0.71369
arg,1998,0.69372
arg,1999,0.67128
arg,2000,0.66342
arg,2001,0.64206
arg,2002,0.8252
arg,2003,0.89518
arg,2004,1.03179
arg,2005,1.10386
arg,2006,1.21866
arg,2007,1.36408
arg,2008,1.6481
arg,2009,1.88715
arg,2010,2.25557
arg,2011,2.73313
arg,2012,3.21815
arg,2013,3.94097
arg,2014,5.45196
arg,2015,6.86655
arg,2016,9.29497
arg,2017,10.25682
arg,2018,14.22656
arg,2019,21.09438
arg,2020,29.15777
arm,1990,0.00513
arm,1991,0.0089
arm,1992,0.0582
arm,1993,0.84775
arm,1994,34.92161
arm,1995,89.3295
arm,1996,104.90986
arm,1997,121.34679
arm,1998,132.834
arm,1999,131.01388
arm,2000,126.38879
arm,2001,128.65768
arm,2002,129.64006
arm,2003,133.12924
arm,2004,137.77859
arm,2005,137.90394
arm,2006,140.03463
arm,2007,142.20511
arm,2008,147.84676
arm,2009,150.39235
arm,2010,160.20907
arm,2011,163.65001
arm,2012,157.96384
arm,2013,159.8461
arm,2014,165.1859
arm,2015,172.92352
arm,2016,161.22888
arm,2017,155.9707
arm,2018,156.55974
arm,2019,155.45301
arm,2020,156.70846
atg,1990,1.7598
atg,1991,1.7466
atg,1992,1.74971
atg,1993,1.74019
atg,1994,1.75909
atg,1995,1.76437
atg,1996,1.78423
atg,1997,1.78492
atg,1998,1.80229
atg,1999,1.80336
atg,2000,1.74286
atg,2001,1.73074
atg,2002,1.71574
atg,2003,1.66989
atg,2004,1.65115
atg,2005,1.67271
atg,2006,1.6302
atg,2007,1.64683
atg,2008,1.68618
atg,2009,1.70416
atg,2010,1.70935
atg,2011,1.69138
atg,2012,1.82857
atg,2013,1.85441
atg,2014,1.91472
atg,2015,2.03954
atg,2016,2.06004
atg,2017,2.0935
atg,2018,2.09252
atg,2019,2.06009
atg,2020,2.07108
aus,1990,1.36507
aus,1991,1.34797
aus,1992,1.32811
aus,1993,1.31235
aus,1994,1.30057
aus,1995,1.31042
aus,1996,1.31174
