geo,time,dt_nfl_pngb_cd
alb,2005,27488000
alb,2006,27488000
alb,2007,18005000
alb,2008,-49779000
alb,2009,-527000
alb,2010,46355000
alb,2011,108885000
alb,2012,54524000
alb,2013,33474000
alb,2014,-22174000
alb,2015,-110687000
alb,2016,15208000
alb,2017,42781000
alb,2018,53282000
alb,2019,-20294000
alb,2020,-42699000
arg,1990,21000000
arg,1991,265000000
arg,1992,1384952000
arg,1993,3555000000
arg,1994,2139540000
arg,1995,203237000
arg,1996,1178696000
arg,1997,1615788000
arg,1998,1513734000
arg,1999,-1027012000
arg,2000,-901373000
arg,2001,-889061000
arg,2004,-668993000
arg,2005,-140000000
arg,2006,1592824000
arg,2007,1635264000
arg,2008,-2008500000
arg,2009,25596000
arg,2010,1067222000
arg,2011,1294551000
arg,2012,-574452000
arg,2013,-624027000
arg,2014,619737000
arg,2015,1317572000
arg,2016,3187046000
arg,2017,5514833000
arg,2018,1317324000
arg,2019,782124000
arg,2020,-599394000
arm,2020,300000000
aze,2020,500000000
bgr,2003,52018000
bgr,2004,253321000
bgr,2005,239151000
bgr,2006,166085000
bgr,2008,-286690000
bgr,2009,-372317000
bgr,2011,-109141000
bgr,2012,282522000
bgr,2013,1320000000
bgr,2014,-150000000
bgr,2015,52701000
bgr,2016,52701000
bgr,2017,131782000
bgr,2018,-149025000
bgr,2019,85678000
bgr,2020,-82352000
blr,2020,1267590000
bra,1991,398125000
bra,1992,2405000000
bra,1993,4562773000
bra,1994,2008971000
bra,1995,1893681000
bra,1996,2925304000
bra,1997,783273000
bra,1998,1897598000
bra,1999,203217000
bra,2000,110928000
bra,2001,812754000
bra,2002,-1225225000
bra,2003,3598895000
bra,2004,-4472129000
bra,2005,-483984000
bra,2006,4352891000
bra,2007,5458857000
bra,2008,4334000000
bra,2009,15430000000
bra,2010,29727889000
bra,2011,27098814000
bra,2012,1667877000
bra,2013,-6679250000
bra,2014,-1424184000
bra,2015,-1062307000
bra,2016,-7385716000
bra,2017,1407055000
bra,2018,3678028000
bra,2019,-2172534000
bra,2020,-1102088000
bwa,2012,79689000
bwa,2015,-79689000
chn,1992,197575000
chn,1993,332000000
chn,1995,543889000
chn,1996,128786000
chn,1997,1311070000
chn,1998,262000000
chn,2000,-143633000
chn,2001,475647000
chn,2002,10217000
chn,2003,65000000
chn,2004,711217000
chn,2005,1252145000
chn,2006,1705472000
chn,2007,740000000
chn,2008,-350000000
chn,2009,461199000
chn,2010,-1459326000
chn,2011,13105700000
chn,2012,19393256000
chn,2013,22075896000
chn,2014,34986384000
chn,2015,-2766385000
chn,2016,19749290000
chn,2017,50102743000
chn,2018,31693352000
chn,2019,54734209000
chn,2020,88945714000
col,1994,125000000
col,1995,591930000
col,1996,108282000
col,1999,50600000
col,2000,-110000000
col,2001,-98260000
col,2003,-281930000
col,2004,-5600000
col,2006,170000000
col,2007,269000000
col,2009,1900000000
col,2010,620000000
col,2011,2720000000
col,2012,2600000000
col,2013,3100000000
col,2014,150000000
col,2015,80000000
col,2016,496488000
col,2017,1060000000
col,2018,-685000000
col,2019,960000000
col,2020,-1527082000
cri,2013,1000000000
cri,2014,350000000
cri,2016,500000000
cri,2017,300000000
cri,2018,-50000000
dom,2006,412000000
dom,2007,430408000
dom,2012,119377000
dom,2013,-250000000
dom,2014,488350000
dom,2015,200000000
dom,2016,370000000
dom,2019,-550000000
dom,2020,-688350000
ecu,1995,10000000
ecu,1997,-10000000
egy,1999,100000000
egy,2000,0
egy,2001,0
egy,2002,0
egy,2003,0
egy,2004,-100000000
geo,2012,750000000
geo,2015,150000000
geo,2016,154000000
geo,2017,-204000000
geo,2018,236185000
geo,2019,1322943000
geo,2020,209868000
gha,1996,250000000
gha,2003,-250000000
gha,2010,0
gha,2014,253189000
gtm,2004,50000000
gtm,2008,5000000
gtm,2009,-50000000
gtm,2011,150000000
gtm,2012,200000000
gtm,2014,800000000
gtm,2015,-5000000
gtm,2017,500000000
gtm,2020,200000000
idn,1990,120000000
idn,1991,393172000
idn,1992,243521000
idn,1993,485000000
idn,1994,495000000
idn,1995,1643137000
idn,1996,3306295000
idn,1997,3069549000
idn,1998,-141000000
idn,1999,-1237760000
idn,2000,-2050260000
idn,2001,-1350400000
idn,2002,-470632000
idn,2003,-600000000
idn,2004,520000000
idn,2005,-73797000
