global,time,vc_idp_nwds
world,2008,38241123
world,2009,16734400
world,2010,42350200
world,2011,15023796
world,2012,30148600
world,2013,22125871
world,2014,19120870
world,2015,19189827
world,2016,24213693
world,2017,18776796
world,2018,17176954
world,2019,24804408
world,2020,30688209
