global,time,cm_mkt_trnr
world,1984,54.16731
world,1985,51.90897
world,1986,64.18589
world,1987,89.46783
world,1988,63.79322
world,1989,59.79628
world,1990,68.90653
world,1991,44.7685
world,1992,45.80087
world,1993,51.77447
world,1994,58.17578
world,1995,55.98416
world,1996,59.21381
world,1997,76.35828
world,1998,87.90456
world,1999,93.63469
world,2000,144.39049
world,2001,121.83192
world,2002,119.97823
world,2003,90.77721
world,2004,94.63019
world,2005,108.32223
world,2006,112.93319
world,2007,146.92953
world,2008,249.60468
world,2009,142.87571
world,2010,129.93341
world,2011,152.38014
world,2012,106.79098
world,2013,98.74143
world,2014,109.15402
world,2015,158.79001
world,2016,101.67945
world,2017,100.03407
world,2018,104.38152
