geo,time,lp_imp_durs_md
afg,2007,20.7
afg,2010,4
ago,2007,10.6
ago,2010,8
ago,2014,4
ago,2016,14
alb,2010,2
alb,2014,1
alb,2018,14
are,2007,4.1
are,2010,2.03
are,2012,2
are,2014,2
are,2016,2
are,2018,2
arg,2007,4.1
arg,2010,3.79
arg,2012,11
arg,2014,3
arg,2016,4
arg,2018,5
aus,2007,3.4
aus,2010,2.83
aus,2012,3
aus,2014,2
aus,2016,2
aus,2018,1
aut,2007,3.3
aut,2010,3.74
aut,2014,2
aut,2016,2
aut,2018,3
aze,2010,3
aze,2018,2
bdi,2012,18
bdi,2016,15
bel,2007,3.5
bel,2010,1.62
bel,2012,3
bel,2014,1
bel,2016,3
bel,2018,3
ben,2007,7
ben,2014,8
ben,2016,2
ben,2018,10
bfa,2010,14
bfa,2016,4
bfa,2018,2
bgd,2007,4.5
bgd,2010,1.41
bgd,2012,6
bgd,2014,3
bgd,2016,5
bgr,2007,1
bgr,2010,3.87
bgr,2012,2
bgr,2014,1
bgr,2016,2
bgr,2018,2
bhr,2007,2
bhr,2010,2
bhr,2012,2
bhr,2014,1
bhs,2012,3
bhs,2014,2
bih,2007,1
bih,2010,2
bih,2012,2
bih,2014,2
bih,2016,3
blr,2012,3
blr,2016,4
blr,2018,2
bol,2007,4
bol,2010,28.28
bol,2012,3
bol,2014,4
bol,2016,13
bol,2018,6
bra,2007,7
bra,2010,3.88
bra,2012,2
bra,2014,3
bra,2016,4
bra,2018,5
brn,2018,1
caf,2012,12
can,2007,4
can,2010,3.68
can,2012,2
can,2014,2
can,2016,2
can,2018,5
che,2007,3.8
che,2010,2.62
che,2012,6
che,2014,1
che,2016,2
che,2018,2
chl,2007,3.2
chl,2010,3.04
chl,2012,2
chl,2014,1
chl,2018,3
chn,2007,3.8
chn,2010,2.56
chn,2012,4
chn,2014,3
chn,2016,5
chn,2018,6
civ,2010,1
civ,2012,5
civ,2016,10
civ,2018,4
cmr,2007,10
cmr,2010,8.89
cmr,2012,45
cmr,2014,5
cmr,2016,9
cmr,2018,6
cod,2010,3
cod,2016,7
cog,2016,12
