geo,time,fb_bnk_capa_zs
afg,2011,8.24541
afg,2012,7.62598
afg,2013,11.63815
afg,2014,11.86748
afg,2015,9.23269
afg,2016,11.4371
afg,2017,11.69894
afg,2018,11.08363
ago,2010,9.25424
ago,2011,9.4402
ago,2012,9.55152
ago,2013,10.22496
ago,2014,8.9129
ago,2015,9.44007
ago,2016,10.17541
ago,2017,11.63033
ago,2018,13.32359
alb,2010,8.65739
alb,2011,8.13171
alb,2012,7.92991
alb,2013,7.73183
alb,2014,7.42401
alb,2015,8.43099
alb,2016,8.74723
alb,2017,9.01865
alb,2018,9.15081
alb,2019,9.07841
alb,2020,9.06901
alb,2021,8.84649
are,2009,12.70872
are,2010,11.95733
are,2011,12.5956
are,2012,12.99331
are,2013,12.54039
are,2014,12.51846
are,2015,12.854
are,2016,13.15153
are,2017,12.87118
are,2018,12.1611
are,2019,12.4301
are,2020,12.30818
are,2021,11.82607
arg,2005,9.24977
arg,2006,8.81033
arg,2007,8.85836
arg,2008,8.5827
arg,2009,8.54703
arg,2010,7.23503
arg,2011,6.86816
arg,2012,7.24753
arg,2013,10.15605
arg,2014,10.88239
arg,2015,10.47696
arg,2016,9.71493
arg,2017,9.78135
arg,2018,8.71336
arg,2019,9.91212
arg,2020,12.66124
arm,2008,20.40533
arm,2010,17.75258
arm,2011,14.94373
arm,2012,13.52963
arm,2013,12.64094
arm,2014,11.62917
arm,2015,11.85845
arm,2016,12.9515
arm,2017,12.76062
arm,2018,12.50277
arm,2019,11.85864
arm,2020,11.50393
atg,2015,3.04883
atg,2016,3.91139
atg,2017,3.94744
atg,2018,3.87413
atg,2019,5.45499
atg,2020,6.47597
aus,2005,4.939
aus,2006,4.75093
aus,2007,4.50428
aus,2008,4.19912
aus,2009,4.703
aus,2010,4.62022
aus,2011,4.69685
aus,2012,4.75558
aus,2013,4.6725
aus,2014,4.697
aus,2015,5.31732
aus,2016,5.44397
aus,2017,5.91272
aus,2018,5.91854
aus,2019,6.19863
aus,2020,6.37432
aus,2021,6.16934
aut,2006,5.23982
aut,2007,6.4845
aut,2008,6.28405
aut,2009,6.9768
aut,2010,7.49276
aut,2011,7.18605
aut,2012,7.77011
aut,2013,7.98594
aut,2014,6.84192
aut,2015,7.44689
aut,2016,7.33423
aut,2017,7.54199
aut,2018,7.707
aut,2019,7.94926
bdi,2010,11.70575
bdi,2011,13.19403
bdi,2012,14.27227
bdi,2013,14.5225
bdi,2014,13.44803
bdi,2015,13.45262
bdi,2016,13.82867
bdi,2017,12.17412
bel,2005,7.86186
bel,2006,3.04176
bel,2007,4.29751
bel,2008,3.88354
bel,2009,4.52617
bel,2010,5.02588
bel,2011,4.92118
bel,2012,5.33174
bel,2013,5.78444
bel,2014,5.3782
bel,2015,5.68502
bel,2016,5.87334
bel,2017,6.34337
bel,2018,6.33769
bel,2019,6.23057
bel,2020,6.25219
bgd,2011,8.00542
bgd,2012,6.18703
bgd,2013,6.56102
bgd,2014,6.18389
bgd,2015,5.72473
bgd,2016,5.71072
bgd,2017,5.24619
bgd,2018,4.74201
bgd,2019,5.16829
bgd,2020,4.77447
bgr,2008,8.55634
bgr,2009,10.84216
bgr,2010,10.46769
